iter	RMSE
0	0.4994128495
1	0.4990166292
2	0.4987064852
3	0.4984676652
4	0.4982473883
5	0.4980912256
6	0.4979579859
7	0.4978336016
8	0.4977334007
9	0.4976601003
10	0.4975694434
11	0.4974958812
12	0.4974317263
13	0.4973627197
14	0.4972920244
15	0.497221646
16	0.4971592691
17	0.4970940004
18	0.4970386989
19	0.4969727156
20	0.4969115416
21	0.4968530669
22	0.4968067224
23	0.4967573391
24	0.4967039044
25	0.4966713825
26	0.4966287706
27	0.4965834171
28	0.4965345027
29	0.49647899
30	0.4964284279
31	0.4963731118
32	0.4963164645
33	0.49627546
34	0.4962359114
35	0.4961824206
36	0.4961386645
37	0.4960997158
38	0.4960542692
39	0.4960086694
40	0.4959643319
41	0.4959290647
42	0.4958963132
43	0.4958703102
44	0.4958184341
45	0.4957664483
46	0.4957399466
47	0.4956928123
48	0.4956517115
49	0.4955964131
50	0.4955575111
51	0.4955146693
52	0.4954739713
53	0.4954391911
54	0.4954015894
55	0.4953535279
56	0.4953115934
57	0.4952729675
58	0.4952317572
59	0.4951880664
60	0.4951524902
61	0.495121329
62	0.4950777777
63	0.4950239826
64	0.4949758695
65	0.4949376653
66	0.4949056395
67	0.4948524678
68	0.4948204066
69	0.4947761717
70	0.4947364734
71	0.4947074968
72	0.4946750229
73	0.4946364668
74	0.4945964884
75	0.4945619753
76	0.4945146391
77	0.4944858885
78	0.4944418179
79	0.4944001946
80	0.4943570581
81	0.4943163844
82	0.4942650031
83	0.4942269532
84	0.4941806765
85	0.4941332888
86	0.4940841019
87	0.4940493884
88	0.4939978297
89	0.4939564084
90	0.4939199356
91	0.4938774005
92	0.4938388569
93	0.4938043357
94	0.4937668041
95	0.4937266355
96	0.4936899362
97	0.4936440282
98	0.4936034754
99	0.4935565713
100	0.493516146
101	0.4934823809
102	0.4934472507
103	0.4934179887
104	0.493383468
105	0.4933378011
106	0.4932967438
107	0.4932463798
108	0.4932106336
109	0.4931753342
110	0.4931372153
111	0.4931000974
112	0.4930621375
113	0.4930208324
114	0.4929768707
115	0.4929403554
116	0.4929007791
117	0.4928635835
118	0.4928246607
119	0.4927842804
120	0.4927505251
121	0.492713978
122	0.4926597898
123	0.4926104857
124	0.4925595415
125	0.492526626
126	0.4924944285
127	0.4924525056
128	0.4924173319
129	0.4923796046
130	0.492338017
131	0.4923051618
132	0.4922662099
133	0.4922267295
134	0.4921989112
135	0.4921624583
136	0.4921255822
137	0.4920698875
138	0.4920329144
139	0.491993115
140	0.4919568871
141	0.4919236609
142	0.4918889001
143	0.4918623697
144	0.491817974
145	0.4917672482
146	0.4917271567
147	0.4916952675
148	0.4916559667
149	0.491619203
150	0.4915870663
151	0.4915550327
152	0.4915156606
153	0.4914781797
154	0.491434501
155	0.4914031041
156	0.4913659004
157	0.4913232946
158	0.4912933044
159	0.4912641848
160	0.4912166963
161	0.4911805917
162	0.4911344943
163	0.4911056963
164	0.4910805681
165	0.4910499762
166	0.4910173207
167	0.4909781463
168	0.4909339866
169	0.4909038974
170	0.4908729633
171	0.4908395282
172	0.4908077469
173	0.490767547
174	0.4907426725
175	0.4907017896
176	0.4906661139
177	0.4906299839
178	0.4905808976
179	0.4905524437
180	0.4905233404
181	0.4904870943
182	0.4904507854
183	0.4904118068
184	0.4903752813
185	0.4903394312
186	0.4903041361
187	0.4902785599
188	0.4902431701
189	0.4902000295
190	0.4901705887
191	0.4901390656
192	0.490113707
193	0.4900752443
194	0.4900363565
195	0.4900019142
196	0.4899671529
197	0.4899309411
198	0.489895149
199	0.4898637138
200	0.489831477
201	0.4897970053
202	0.4897664841
203	0.4897281602
204	0.4896856835
205	0.4896524994
206	0.4896131403
207	0.4895788343
208	0.4895494768
209	0.4895191968
210	0.489489081
211	0.4894572725
212	0.4894222459
213	0.4893823851
214	0.4893401654
215	0.4893031672
216	0.4892684921
217	0.489239539
218	0.4892045875
219	0.4891668087
220	0.489125084
221	0.4890837485
222	0.4890426513
223	0.4890033187
224	0.4889735036
225	0.4889401502
226	0.4889028044
227	0.4888695217
228	0.4888386252
229	0.4888069557
230	0.4887700533
231	0.4887413276
232	0.4887030443
233	0.4886677671
234	0.488645039
235	0.48862172
236	0.4885884938
237	0.4885526488
238	0.4885216566
239	0.4884904506
240	0.4884547194
241	0.4884207254
242	0.48838219
243	0.4883371903
244	0.4883037329
245	0.4882764932
246	0.4882512043
247	0.4882225389
248	0.4881878476
249	0.4881471594
250	0.4881124022
251	0.4880777182
252	0.4880394585
253	0.4880050268
254	0.4879753929
255	0.4879481197
256	0.4879145448
257	0.4878828305
258	0.4878553097
259	0.4878181535
260	0.4877901899
261	0.4877593764
262	0.4877239401
263	0.487682698
264	0.4876559994
265	0.4876237834
266	0.4875923078
267	0.4875563289
268	0.4875266677
269	0.4874930486
270	0.4874659303
271	0.4874344597
272	0.4874021835
273	0.4873663574
274	0.4873351836
275	0.4873042352
276	0.4872693118
277	0.4872328995
278	0.4872013683
279	0.4871691374
280	0.4871308063
281	0.4870969475
282	0.4870632077
283	0.4870378558
284	0.4870106059
285	0.4869773002
286	0.4869378462
287	0.4869035187
288	0.4868737268
289	0.4868439178
290	0.486805546
291	0.4867679453
292	0.4867305087
293	0.4866933426
294	0.486660167
295	0.4866286898
296	0.4865925181
297	0.4865634361
298	0.4865300542
299	0.486499404
