iter	Passed	Remaining
0	9	2834
1	15	2350
2	22	2197
3	28	2115
4	35	2075
5	41	2047
6	48	2047
7	55	2025
8	62	2028
9	69	2021
10	76	1997
11	82	1981
12	90	1992
13	97	2001
14	105	2001
15	111	1986
16	118	1971
17	124	1956
18	130	1935
19	137	1929
20	144	1916
21	150	1900
22	156	1890
23	163	1879
24	169	1861
25	175	1847
26	182	1844
27	188	1835
28	195	1826
29	201	1814
30	207	1801
31	215	1802
32	220	1780
33	228	1789
34	236	1791
35	243	1783
36	250	1779
37	258	1782
38	265	1778
39	273	1778
40	280	1771
41	287	1765
42	295	1764
43	302	1761
44	311	1763
45	317	1755
46	321	1732
47	330	1735
48	340	1746
49	348	1744
50	355	1736
51	365	1744
52	373	1739
53	380	1735
54	387	1726
55	395	1722
56	405	1730
57	414	1729
58	421	1720
59	431	1726
60	438	1718
61	446	1715
62	457	1719
63	464	1713
64	474	1714
65	484	1716
66	491	1708
67	498	1701
68	507	1697
69	516	1698
70	523	1687
71	532	1687
72	540	1680
73	550	1682
74	558	1676
75	566	1668
76	574	1664
77	583	1662
78	592	1657
79	598	1647
80	606	1638
81	612	1629
82	621	1624
83	630	1621
84	638	1614
85	646	1608
86	655	1605
87	664	1600
88	672	1593
89	680	1588
90	690	1585
91	698	1578
92	705	1570
93	716	1569
94	724	1562
95	730	1553
96	738	1545
97	745	1537
98	752	1528
99	762	1525
100	769	1516
101	778	1511
102	785	1503
103	795	1498
104	804	1494
105	813	1489
106	822	1482
107	831	1478
108	840	1472
109	850	1469
110	859	1462
111	867	1455
112	874	1446
113	883	1440
114	890	1432
115	896	1422
116	903	1413
117	910	1404
118	917	1395
119	924	1386
120	932	1378
121	939	1371
122	948	1364
123	956	1357
124	963	1349
125	971	1341
126	978	1332
127	985	1324
128	992	1315
129	1001	1309
130	1009	1301
131	1017	1294
132	1024	1285
133	1031	1277
134	1038	1268
135	1044	1259
136	1050	1250
137	1058	1242
138	1066	1234
139	1071	1224
140	1077	1215
141	1083	1205
142	1090	1197
143	1096	1188
144	1103	1179
145	1110	1171
146	1116	1162
147	1123	1153
148	1130	1145
149	1137	1137
150	1143	1128
151	1150	1120
152	1157	1111
153	1164	1103
154	1171	1095
155	1177	1087
156	1183	1078
157	1191	1070
158	1198	1062
159	1205	1055
160	1211	1046
161	1218	1038
162	1225	1030
163	1232	1021
164	1240	1014
165	1247	1006
166	1253	998
167	1260	990
168	1266	982
169	1274	974
170	1280	966
171	1287	958
172	1294	950
173	1300	941
174	1308	934
175	1314	926
176	1320	917
177	1326	909
178	1332	900
179	1339	893
180	1346	885
181	1356	879
182	1363	871
183	1369	863
184	1376	855
185	1380	846
186	1386	837
187	1393	829
188	1399	821
189	1405	813
190	1411	805
191	1417	797
192	1423	789
193	1429	781
194	1435	773
195	1442	765
196	1448	757
197	1455	749
198	1462	742
199	1469	734
200	1476	727
201	1482	719
202	1489	711
203	1496	704
204	1504	697
205	1510	689
206	1518	682
207	1524	674
208	1535	668
209	1542	661
210	1549	653
211	1558	646
212	1564	639
213	1570	631
214	1576	623
215	1583	615
216	1589	607
217	1596	600
218	1604	593
219	1609	585
220	1616	577
221	1623	570
222	1630	562
223	1637	555
224	1644	548
225	1651	540
226	1658	533
227	1666	526
228	1672	518
229	1680	511
230	1688	504
231	1695	496
232	1704	490
233	1710	482
234	1717	475
235	1724	467
236	1731	460
237	1737	452
238	1744	445
239	1750	437
240	1757	430
241	1764	422
242	1769	415
243	1777	407
244	1783	400
245	1791	393
246	1797	385
247	1804	378
248	1810	370
249	1817	363
250	1824	356
251	1829	348
252	1837	341
253	1843	333
254	1851	326
255	1856	319
256	1862	311
257	1869	304
258	1875	296
259	1882	289
260	1889	282
261	1895	274
262	1902	267
263	1909	260
264	1918	253
265	1924	245
266	1930	238
267	1938	231
268	1944	224
269	1952	216
270	1959	209
271	1967	202
272	1974	195
273	1980	187
274	1987	180
275	1995	173
276	2002	166
277	2009	159
278	2016	151
279	2025	144
280	2032	137
281	2039	130
282	2047	123
283	2055	115
284	2061	108
285	2068	101
286	2074	93
287	2081	86
288	2087	79
289	2094	72
290	2101	64
291	2107	57
292	2113	50
293	2120	43
294	2126	36
295	2133	28
296	2139	21
297	2146	14
298	2152	7
299	2159	0
