expert,symbol,period,rows,start_dt,end_dt,policy_enabled,policy_scope,policy_method,intersect_cols_count,intersect_all_null_cols_count,missing_threshold_cols_count,missing_threshold_rows
Alpha-Dir-TFT-base,ADA_USDT,1d,1543,2021-06-18 00:00:00+00:00,2025-09-07 00:00:00+00:00,False,,,0,0,0,0
Alpha-Dir-TFT-base,ADA_USDT,1h,42383,2020-11-08 02:00:00+00:00,2025-09-09 00:00:00+00:00,False,,,0,0,0,0
Alpha-Dir-TFT-base,ADA_USDT,4h,10511,2020-11-22 00:00:00+00:00,2025-09-08 16:00:00+00:00,False,,,0,0,0,0
Alpha-Dir-TFT-base,BNB_USDT,1d,1543,2021-06-18 00:00:00+00:00,2025-09-07 00:00:00+00:00,False,,,0,0,0,0
Alpha-Dir-TFT-base,BNB_USDT,1h,42383,2020-11-08 02:00:00+00:00,2025-09-09 00:00:00+00:00,False,,,0,0,0,0
Alpha-Dir-TFT-base,BNB_USDT,4h,10511,2020-11-22 00:00:00+00:00,2025-09-08 16:00:00+00:00,False,,,0,0,0,0
Alpha-Dir-TFT-base,BTC_USDT,1d,1543,2021-06-18 00:00:00+00:00,2025-09-07 00:00:00+00:00,False,,,0,0,0,0
Alpha-Dir-TFT-base,BTC_USDT,1h,42383,2020-11-08 02:00:00+00:00,2025-09-09 00:00:00+00:00,False,,,0,0,0,0
Alpha-Dir-TFT-base,BTC_USDT,4h,10511,2020-11-22 00:00:00+00:00,2025-09-08 16:00:00+00:00,False,,,0,0,0,0
Alpha-Dir-TFT-base,ETH_USDT,1d,1543,2021-06-18 00:00:00+00:00,2025-09-07 00:00:00+00:00,False,,,0,0,0,0
Alpha-Dir-TFT-base,ETH_USDT,1h,42383,2020-11-08 02:00:00+00:00,2025-09-09 00:00:00+00:00,False,,,0,0,0,0
Alpha-Dir-TFT-base,ETH_USDT,4h,10511,2020-11-22 00:00:00+00:00,2025-09-08 16:00:00+00:00,False,,,0,0,0,0
Alpha-Dir-TFT-base,SOL_USDT,1d,1543,2021-06-18 00:00:00+00:00,2025-09-07 00:00:00+00:00,False,,,0,0,0,0
