feature,coverage,variance,keep,cluster_rep
open,1.0,545689259.968292,False,donchian_high_20
high,1.0,551168741.3097996,False,donchian_high_20
low,1.0,540107065.9471667,False,donchian_high_20
close,1.0,545797504.2599761,False,donchian_high_20
volume,1.0,5872687913558875.0,True,volume
ma5,1.0,545544911.7338085,False,donchian_high_20
ma20,1.0,544628045.0495521,False,donchian_high_20
rsi,1.0,272.3055572450914,True,rsi
macd_hist,1.0,4776.373525688772,True,macd_hist
kdj_k,1.0,418.58330802806046,False,kdj_k
kdj_j,1.0,1019.2409729421466,True,kdj_j
momentum,1.0,219815.66446777535,True,momentum
vol_ma,1.0,5016615853869634.0,False,volume
vol_change,1.0,0.5903474111640802,True,vol_change
obv,1.0,2.4652958089326273e+19,True,obv
boll_upper,1.0,568535767.8265214,False,donchian_high_20
boll_lower,1.0,521789245.73352873,False,donchian_high_20
atr,1.0,102208.6625559219,False,donchian_high_20
cci,1.0,13039.511838622242,True,cci
adx,1.0,129.6977942183109,True,adx
plus_di,1.0,59.14289749745744,True,plus_di
minus_di,1.0,60.402233226414964,True,minus_di
adx_scaled,1.0,0.012969779415048734,False,adx
vwap,1.0,187068035.56767964,False,donchian_high_20
trend_flag,1.0,0.23552997351019725,True,trend_flag
boll_bandwidth,1.0,0.005702741900214063,True,boll_bandwidth
range_flag,1.0,0.032678736783120034,True,range_flag
high_vol_flag,1.0,0.009558406985827645,True,high_vol_flag
stress_flag,1.0,0.0008369669497571345,False,stress_flag
donchian_high_20,1.0,570306719.6093554,True,donchian_high_20
donchian_low_20,1.0,517907538.254416,False,donchian_high_20
keltner_upper_20,1.0,561366181.0033509,False,donchian_high_20
keltner_lower_20,1.0,528188998.6988786,False,donchian_high_20
squeeze_on,1.0,0.11723372484413995,True,squeeze_on
ppo,1.0,0.0002532834524905364,True,ppo
stoch_rsi,1.0,0.1345671226009947,True,stoch_rsi
williams_r,1.0,712.0755978265997,True,williams_r
tsi,1.0,0.04265060880455982,True,tsi
ichimoku_conv,1.0,544576585.6687546,False,donchian_high_20
ichimoku_base,1.0,542937769.0721226,False,donchian_high_20
ichimoku_span_a,1.0,540830501.7912935,False,donchian_high_20
ichimoku_span_b,1.0,537908297.1730567,False,donchian_high_20
cloud_thickness,1.0,286675.84488841787,True,cloud_thickness
psar,1.0,544078173.3695858,False,donchian_high_20
psar_flip_flag,1.0,0.01979860077979784,True,psar_flip_flag
supertrend_10_3,1.0,539761579.0989494,False,donchian_high_20
heikin_ashi_trend,1.0,25590.499642583265,True,heikin_ashi_trend
ret_skew_30d,1.0,1.0173024386175344,True,ret_skew_30d
ret_kurt_30d,1.0,8.930126539082544,True,ret_kurt_30d
var_95_30d,1.0,0.00020303333562397835,True,var_95_30d
cvar_95_30d,1.0,0.0003920891991325208,True,cvar_95_30d
z_score_gap,1.0,7.933617193020624e-05,True,z_score_gap
doji_ratio_20,1.0,0.004780873977139818,True,doji_ratio_20
hammer_cnt_20,1.0,4.2748511727611165,True,hammer_cnt_20
engulfing_up_cnt_20,1.0,1.3296587798982793,True,engulfing_up_cnt_20
mfi,1.0,306.7378626658842,True,mfi
cmf,1.0,0.015910846366266163,True,cmf
price_volume_corr_20,1.0,0.16430043541158673,True,price_volume_corr_20
ma200,1.0,533972854.5172886,False,donchian_high_20
price_position_ma200,1.0,0.017348081633466284,True,price_position_ma200
log_close,1.0,14.584834557160065,False,donchian_high_20
r_sym,1.0,0.00019819763464745606,True,r_sym
r_btc,1.0,8.944819123955608e-05,True,r_btc
beta_btc_60d,1.0,0.07396097476159226,True,beta_btc_60d
pivot_point,1.0,545556990.2326456,False,donchian_high_20
distance_to_pivot,1.0,2.4873392735580494e-05,True,distance_to_pivot
volume_profile_hvn,1.0,489730945.0726601,False,donchian_high_20
volume_profile_lvn,1.0,500515123.2150527,False,donchian_high_20
hour_sin,1.0,0.48583402045714563,True,hour_sin
hour_cos,1.0,0.5133667288456895,True,hour_cos
dow_sin,1.0,0.4998088210517399,True,dow_sin
dow_cos,1.0,0.500193988361693,True,dow_cos
trend_flag_diff1,1.0,0.08950562832942584,True,trend_flag_diff1
trend_flag_slope_24h,1.0,0.0048735407976030435,True,trend_flag_slope_24h
range_flag_diff1,1.0,0.008747758855502268,True,range_flag_diff1
range_flag_slope_24h,1.0,0.00019146550394076126,True,range_flag_slope_24h
ppo_diff1,1.0,3.103537697281301e-06,True,ppo_diff1
ppo_slope_24h,1.0,1.8986746607319742e-06,True,ppo_slope_24h
stoch_rsi_diff1,1.0,0.04818585629600017,True,stoch_rsi_diff1
stoch_rsi_slope_24h,1.0,0.003505278513568942,True,stoch_rsi_slope_24h
psar_diff1,1.0,68394.74879821032,True,psar_diff1
psar_slope_24h,1.0,27908.79029593438,True,psar_slope_24h
ret_skew_30d_diff1,1.0,0.09598950689271214,True,ret_skew_30d_diff1
ret_skew_30d_slope_24h,1.0,0.008744351684025072,True,ret_skew_30d_slope_24h
ret_kurt_30d_diff1,1.0,0.9945671045193163,True,ret_kurt_30d_diff1
ret_kurt_30d_slope_24h,1.0,0.07536399295197785,True,ret_kurt_30d_slope_24h
mfi_diff1,1.0,37.19735982908264,True,mfi_diff1
mfi_slope_24h,1.0,4.078532912857028,True,mfi_slope_24h
price_position_ma200_diff1,1.0,0.00025310465600809966,True,price_position_ma200_diff1
price_position_ma200_slope_24h,1.0,9.898238576227039e-05,True,price_position_ma200_slope_24h
macd_bullish_cross,1.0,0.037007297197589696,True,macd_bullish_cross
rsi_overbought,1.0,0.11536372117015196,True,rsi_overbought
rsi_oversold,1.0,0.0981170732818403,True,rsi_oversold
price_above_ma20,1.0,0.24990240785103324,True,price_above_ma20
breakout_recent_high,1.0,0.0464232792503754,True,breakout_recent_high
pullback_from_high,1.0,0.0016033692841788264,False,distance_to_resistance
trendline_slope_20,1.0,2527.3157971298824,True,trendline_slope_20
ma_diff_5_20,1.0,158648.09218758694,False,ma_diff_5_20
volume_relative_20,1.0,0.512897763711907,True,volume_relative_20
volume_percentile,1.0,0.08974982486893156,True,volume_percentile
support_level_20,1.0,517907538.254416,False,donchian_high_20
resistance_level_20,1.0,570306719.6093554,False,donchian_high_20
distance_to_support,1.0,0.0023247039033195845,True,distance_to_support
distance_to_resistance,1.0,0.002883549957211429,True,distance_to_resistance
volume_spike_near_support,1.0,0.06689385416547257,True,volume_spike_near_support
volume_spike_near_resist,1.0,0.07013682533598001,True,volume_spike_near_resist
obv_diff1,1.0,6078588508462872.0,True,obv_diff1
obv_pct,1.0,0.04674141042337617,True,obv_pct
obv_slope_14,1.0,583549187031049.0,True,obv_slope_14
atr_ratio_price,1.0,0.0002326507205400862,True,atr_ratio_price
atr_ratio_range,1.0,0.31633964253711533,True,atr_ratio_range
