feature,target,metric,value,window_start,window_end
donchian_high_20,target_logreturn,ic,0.0017458113755547896,2020-11-03 08:00:00,2025-06-11 00:00:00
volume,target_logreturn,ic,0.0024678529277543876,2020-11-03 08:00:00,2025-06-11 00:00:00
rsi,target_logreturn,ic,-0.024906220036089718,2020-11-03 08:00:00,2025-06-11 00:00:00
macd_hist,target_logreturn,ic,-0.017021968239096408,2020-11-03 08:00:00,2025-06-11 00:00:00
kdj_j,target_logreturn,ic,-0.04106538335652397,2020-11-03 08:00:00,2025-06-11 00:00:00
momentum,target_logreturn,ic,-0.03523756341888075,2020-11-03 08:00:00,2025-06-11 00:00:00
vol_change,target_logreturn,ic,0.0036169181289437435,2020-11-03 08:00:00,2025-06-11 00:00:00
obv,target_logreturn,ic,-0.003463012308425374,2020-11-03 08:00:00,2025-06-11 00:00:00
adx,target_logreturn,ic,0.009899653581293813,2020-11-03 08:00:00,2025-06-11 00:00:00
plus_di,target_logreturn,ic,-0.02162050733236055,2020-11-03 08:00:00,2025-06-11 00:00:00
minus_di,target_logreturn,ic,0.024472456776895378,2020-11-03 08:00:00,2025-06-11 00:00:00
trend_flag,target_logreturn,ic,0.007737725680384542,2020-11-03 08:00:00,2025-06-11 00:00:00
boll_bandwidth,target_logreturn,ic,0.017350735587528143,2020-11-03 08:00:00,2025-06-11 00:00:00
range_flag,target_logreturn,ic,-0.005157313934430753,2020-11-03 08:00:00,2025-06-11 00:00:00
high_vol_flag,target_logreturn,ic,-0.0004216567944593206,2020-11-03 08:00:00,2025-06-11 00:00:00
squeeze_on,target_logreturn,ic,-0.012057775051031281,2020-11-03 08:00:00,2025-06-11 00:00:00
ppo,target_logreturn,ic,-0.009497949789748666,2020-11-03 08:00:00,2025-06-11 00:00:00
stoch_rsi_mm30,target_logreturn,ic,-0.009168499278051538,2020-11-03 08:00:00,2025-06-11 00:00:00
cloud_thickness,target_logreturn,ic,-0.006177525222818115,2020-11-03 08:00:00,2025-06-11 00:00:00
heikin_ashi_trend,target_logreturn,ic,-0.022649523880303998,2020-11-03 08:00:00,2025-06-11 00:00:00
ret_skew_30d,target_logreturn,ic,0.00030974105612037385,2020-11-03 08:00:00,2025-06-11 00:00:00
ret_kurt_30d,target_logreturn,ic,-0.0028742667882821612,2020-11-03 08:00:00,2025-06-11 00:00:00
var_95_30d,target_logreturn,ic,-0.01714471710907062,2020-11-03 08:00:00,2025-06-11 00:00:00
cvar_95_30d,target_logreturn,ic,-0.014803268147618858,2020-11-03 08:00:00,2025-06-11 00:00:00
z_score_gap,target_logreturn,ic,0.0018136997069407657,2020-11-03 08:00:00,2025-06-11 00:00:00
doji_ratio_20,target_logreturn,ic,0.00039104691862728994,2020-11-03 08:00:00,2025-06-11 00:00:00
hammer_cnt_20,target_logreturn,ic,0.017972879234370097,2020-11-03 08:00:00,2025-06-11 00:00:00
engulfing_up_cnt_20,target_logreturn,ic,-0.007090789223486748,2020-11-03 08:00:00,2025-06-11 00:00:00
mfi,target_logreturn,ic,-0.012942175719667532,2020-11-03 08:00:00,2025-06-11 00:00:00
cmf,target_logreturn,ic,-0.007702085472737421,2020-11-03 08:00:00,2025-06-11 00:00:00
price_volume_corr_20,target_logreturn,ic,-0.010439197910396941,2020-11-03 08:00:00,2025-06-11 00:00:00
price_position_ma200,target_logreturn,ic,0.0006255616788569674,2020-11-03 08:00:00,2025-06-11 00:00:00
r_sym,target_logreturn,ic,-0.048590215123083924,2020-11-03 08:00:00,2025-06-11 00:00:00
r_btc,target_logreturn,ic,-0.05223439196049068,2020-11-03 08:00:00,2025-06-11 00:00:00
beta_btc_60d,target_logreturn,ic,-0.008091596229104422,2020-11-03 08:00:00,2025-06-11 00:00:00
distance_to_pivot,target_logreturn,ic,-0.012647923869747476,2020-11-03 08:00:00,2025-06-11 00:00:00
hour_cos,target_logreturn,ic,0.005382856160928259,2020-11-03 08:00:00,2025-06-11 00:00:00
dow_sin,target_logreturn,ic,0.004810371367878499,2020-11-03 08:00:00,2025-06-11 00:00:00
dow_cos,target_logreturn,ic,-0.002447976737408243,2020-11-03 08:00:00,2025-06-11 00:00:00
trend_flag_diff1,target_logreturn,ic,0.004963068980565974,2020-11-03 08:00:00,2025-06-11 00:00:00
trend_flag_slope_24h,target_logreturn,ic,0.003375035637685224,2020-11-03 08:00:00,2025-06-11 00:00:00
range_flag_diff1,target_logreturn,ic,-0.001805322844220124,2020-11-03 08:00:00,2025-06-11 00:00:00
range_flag_slope_24h,target_logreturn,ic,-0.0011552546821308812,2020-11-03 08:00:00,2025-06-11 00:00:00
ppo_diff1,target_logreturn,ic,-0.02610862735367674,2020-11-03 08:00:00,2025-06-11 00:00:00
ppo_slope_24h,target_logreturn,ic,-0.017419433253144472,2020-11-03 08:00:00,2025-06-11 00:00:00
stoch_rsi_diff1,target_logreturn,ic,-0.009012342609585515,2020-11-03 08:00:00,2025-06-11 00:00:00
stoch_rsi_slope_24h,target_logreturn,ic,0.0013174410905951253,2020-11-03 08:00:00,2025-06-11 00:00:00
psar_diff1,target_logreturn,ic,-0.007301626718781927,2020-11-03 08:00:00,2025-06-11 00:00:00
psar_slope_24h,target_logreturn,ic,-0.003773680354128737,2020-11-03 08:00:00,2025-06-11 00:00:00
ret_skew_30d_diff1,target_logreturn,ic,0.0050945426797334705,2020-11-03 08:00:00,2025-06-11 00:00:00
ret_skew_30d_slope_24h,target_logreturn,ic,-0.006408896740183467,2020-11-03 08:00:00,2025-06-11 00:00:00
ret_kurt_30d_diff1,target_logreturn,ic,-0.004649262705979948,2020-11-03 08:00:00,2025-06-11 00:00:00
ret_kurt_30d_slope_24h,target_logreturn,ic,-0.0004697172882300205,2020-11-03 08:00:00,2025-06-11 00:00:00
mfi_diff1,target_logreturn,ic,-0.01419883540592582,2020-11-03 08:00:00,2025-06-11 00:00:00
mfi_slope_24h,target_logreturn,ic,-0.007119782278236848,2020-11-03 08:00:00,2025-06-11 00:00:00
price_position_ma200_diff1,target_logreturn,ic,-0.021660255006849347,2020-11-03 08:00:00,2025-06-11 00:00:00
price_position_ma200_slope_24h,target_logreturn,ic,-0.023528632336022946,2020-11-03 08:00:00,2025-06-11 00:00:00
macd_bullish_cross,target_logreturn,ic,-0.003321125056942086,2020-11-03 08:00:00,2025-06-11 00:00:00
rsi_overbought,target_logreturn,ic,-0.011353570618162612,2020-11-03 08:00:00,2025-06-11 00:00:00
rsi_oversold,target_logreturn,ic,0.0221780789895607,2020-11-03 08:00:00,2025-06-11 00:00:00
price_above_ma20,target_logreturn,ic,-0.02405408067396662,2020-11-03 08:00:00,2025-06-11 00:00:00
breakout_recent_high,target_logreturn,ic,-0.013525878374489143,2020-11-03 08:00:00,2025-06-11 00:00:00
distance_to_resistance,target_logreturn,ic,0.0401929759536949,2020-11-03 08:00:00,2025-06-11 00:00:00
trendline_slope_20,target_logreturn,ic,-0.011677878117882397,2020-11-03 08:00:00,2025-06-11 00:00:00
volume_relative_20,target_logreturn,ic,0.007582874279120295,2020-11-03 08:00:00,2025-06-11 00:00:00
volume_percentile,target_logreturn,ic,0.014980659898579125,2020-11-03 08:00:00,2025-06-11 00:00:00
distance_to_support,target_logreturn,ic,-0.01578839156483465,2020-11-03 08:00:00,2025-06-11 00:00:00
volume_spike_near_support,target_logreturn,ic,0.007913048683160768,2020-11-03 08:00:00,2025-06-11 00:00:00
volume_spike_near_resist,target_logreturn,ic,-0.0074712480953709375,2020-11-03 08:00:00,2025-06-11 00:00:00
obv_diff1,target_logreturn,ic,-0.03961697904084023,2020-11-03 08:00:00,2025-06-11 00:00:00
obv_pct,target_logreturn,ic,-0.016237875248690758,2020-11-03 08:00:00,2025-06-11 00:00:00
obv_slope_14,target_logreturn,ic,-0.013361055061376692,2020-11-03 08:00:00,2025-06-11 00:00:00
atr_ratio_price,target_logreturn,ic,0.01778320471233182,2020-11-03 08:00:00,2025-06-11 00:00:00
atr_ratio_range,target_logreturn,ic,-0.0154757533869894,2020-11-03 08:00:00,2025-06-11 00:00:00
atr_change,target_logreturn,ic,0.012027747384284727,2020-11-03 08:00:00,2025-06-11 00:00:00
atr_slope,target_logreturn,ic,0.007813521651049505,2020-11-03 08:00:00,2025-06-11 00:00:00
ma20_zn30,target_logreturn,ic,-0.010405643684884176,2020-11-03 08:00:00,2025-06-11 00:00:00
boll_upper_zn30,target_logreturn,ic,-0.0036935504909252174,2020-11-03 08:00:00,2025-06-11 00:00:00
boll_lower_zn30,target_logreturn,ic,-0.016248240220901624,2020-11-03 08:00:00,2025-06-11 00:00:00
support_level_20_zn30,target_logreturn,ic,-0.014287062879672357,2020-11-03 08:00:00,2025-06-11 00:00:00
donchian_high_20_zn30,target_logreturn,ic,-0.00820715299074508,2020-11-03 08:00:00,2025-06-11 00:00:00
distance_to_support_zn30,target_logreturn,ic,-0.020395693921543757,2020-11-03 08:00:00,2025-06-11 00:00:00
distance_to_resistance_zn30,target_logreturn,ic,0.034969018240221326,2020-11-03 08:00:00,2025-06-11 00:00:00
vol_ma_zn30,target_logreturn,ic,0.01227849907024745,2020-11-03 08:00:00,2025-06-11 00:00:00
volume_relative_20_zn30,target_logreturn,ic,0.0034651499849196886,2020-11-03 08:00:00,2025-06-11 00:00:00
obv_zn30,target_logreturn,ic,-0.02791849621005707,2020-11-03 08:00:00,2025-06-11 00:00:00
atr_zn30,target_logreturn,ic,0.012935883194936647,2020-11-03 08:00:00,2025-06-11 00:00:00
amplitude_range_zn30,target_logreturn,ic,0.01828377143484497,2020-11-03 08:00:00,2025-06-11 00:00:00
atr_slope_zn30,target_logreturn,ic,0.009309799025421681,2020-11-03 08:00:00,2025-06-11 00:00:00
trendline_slope_20_zn30,target_logreturn,ic,-0.008417083072982699,2020-11-03 08:00:00,2025-06-11 00:00:00
ma_diff_5_20_zn30,target_logreturn,ic,-0.013656477552613802,2020-11-03 08:00:00,2025-06-11 00:00:00
cci_zn30,target_logreturn,ic,-0.022518056469803177,2020-11-03 08:00:00,2025-06-11 00:00:00
adx_scaled_zn30,target_logreturn,ic,0.00697026126666689,2020-11-03 08:00:00,2025-06-11 00:00:00
vwap_zn30,target_logreturn,ic,0.003735249562587683,2020-11-03 08:00:00,2025-06-11 00:00:00
obv_diff1_zn30,target_logreturn,ic,-0.035109728799117286,2020-11-03 08:00:00,2025-06-11 00:00:00
obv_pct_zn30,target_logreturn,ic,-0.013517873506616564,2020-11-03 08:00:00,2025-06-11 00:00:00
obv_slope_14_zn30,target_logreturn,ic,-0.010634577023440568,2020-11-03 08:00:00,2025-06-11 00:00:00
trend_flag_zn30,target_logreturn,ic,0.006153705877662383,2020-11-03 08:00:00,2025-06-11 00:00:00
range_flag_zn30,target_logreturn,ic,0.0015063586524571113,2020-11-03 08:00:00,2025-06-11 00:00:00
high_vol_flag_zn30,target_logreturn,ic,0.001587310607580009,2020-11-03 08:00:00,2025-06-11 00:00:00
stress_flag_zn30,target_logreturn,ic,0.0009060161072631195,2020-11-03 08:00:00,2025-06-11 00:00:00
squeeze_on_zn30,target_logreturn,ic,-0.004458378004889014,2020-11-03 08:00:00,2025-06-11 00:00:00
ppo_zn30,target_logreturn,ic,-0.011802200982872641,2020-11-03 08:00:00,2025-06-11 00:00:00
stoch_rsi_zn30,target_logreturn,ic,-0.0054034210726623426,2020-11-03 08:00:00,2025-06-11 00:00:00
williams_r_zn30,target_logreturn,ic,-0.017820215497667383,2020-11-03 08:00:00,2025-06-11 00:00:00
ichimoku_conv_zn30,target_logreturn,ic,-0.012639019105094133,2020-11-03 08:00:00,2025-06-11 00:00:00
ichimoku_base_zn30,target_logreturn,ic,-0.006706041587012752,2020-11-03 08:00:00,2025-06-11 00:00:00
ichimoku_span_a_zn30,target_logreturn,ic,0.007204797819436428,2020-11-03 08:00:00,2025-06-11 00:00:00
ichimoku_span_b_zn30,target_logreturn,ic,0.005404571331407246,2020-11-03 08:00:00,2025-06-11 00:00:00
cloud_thickness_zn30,target_logreturn,ic,-0.004687040619861251,2020-11-03 08:00:00,2025-06-11 00:00:00
psar_zn30,target_logreturn,ic,-0.0015055859130622263,2020-11-03 08:00:00,2025-06-11 00:00:00
psar_flip_flag_zn30,target_logreturn,ic,0.0012334621065649876,2020-11-03 08:00:00,2025-06-11 00:00:00
supertrend_10_3_zn30,target_logreturn,ic,-0.019802397855225907,2020-11-03 08:00:00,2025-06-11 00:00:00
heikin_ashi_trend_zn30,target_logreturn,ic,-0.02274375803151567,2020-11-03 08:00:00,2025-06-11 00:00:00
ret_skew_30d_zn30,target_logreturn,ic,-0.005001681008597269,2020-11-03 08:00:00,2025-06-11 00:00:00
ret_kurt_30d_zn30,target_logreturn,ic,-0.001998584113503071,2020-11-03 08:00:00,2025-06-11 00:00:00
var_95_30d_zn30,target_logreturn,ic,-0.0178901264314323,2020-11-03 08:00:00,2025-06-11 00:00:00
cvar_95_30d_zn30,target_logreturn,ic,-0.016370038184771507,2020-11-03 08:00:00,2025-06-11 00:00:00
z_score_gap_zn30,target_logreturn,ic,0.0016291240777557509,2020-11-03 08:00:00,2025-06-11 00:00:00
engulfing_up_cnt_20_zn30,target_logreturn,ic,-0.007510537928248958,2020-11-03 08:00:00,2025-06-11 00:00:00
doji_ratio_20_zn30,target_logreturn,ic,-0.0008411182663020352,2020-11-03 08:00:00,2025-06-11 00:00:00
hammer_cnt_20_zn30,target_logreturn,ic,0.016536857505241052,2020-11-03 08:00:00,2025-06-11 00:00:00
mfi_zn30,target_logreturn,ic,-0.010381539509706952,2020-11-03 08:00:00,2025-06-11 00:00:00
cmf_zn30,target_logreturn,ic,-0.008966550801864362,2020-11-03 08:00:00,2025-06-11 00:00:00
price_volume_corr_20_zn30,target_logreturn,ic,-0.011652923861298176,2020-11-03 08:00:00,2025-06-11 00:00:00
price_position_ma200_zn30,target_logreturn,ic,-0.02142327997532359,2020-11-03 08:00:00,2025-06-11 00:00:00
beta_btc_60d_zn30,target_logreturn,ic,-0.0008066556411997561,2020-11-03 08:00:00,2025-06-11 00:00:00
distance_to_pivot_zn30,target_logreturn,ic,-0.011372212474409985,2020-11-03 08:00:00,2025-06-11 00:00:00
volume_profile_hvn_zn30,target_logreturn,ic,0.0015911066741010375,2020-11-03 08:00:00,2025-06-11 00:00:00
volume_profile_lvn_zn30,target_logreturn,ic,0.0004402076590499926,2020-11-03 08:00:00,2025-06-11 00:00:00
dow_sin_zn30,target_logreturn,ic,0.0010489781863398482,2020-11-03 08:00:00,2025-06-11 00:00:00
dow_cos_zn30,target_logreturn,ic,-0.003642166728879795,2020-11-03 08:00:00,2025-06-11 00:00:00
high_mm30,target_logreturn,ic,-0.0226632527812607,2020-11-03 08:00:00,2025-06-11 00:00:00
low_mm30,target_logreturn,ic,-0.02787196790062161,2020-11-03 08:00:00,2025-06-11 00:00:00
ma5_mm30,target_logreturn,ic,-0.021316761129799446,2020-11-03 08:00:00,2025-06-11 00:00:00
boll_upper_mm30,target_logreturn,ic,-0.0031173550307014727,2020-11-03 08:00:00,2025-06-11 00:00:00
boll_lower_mm30,target_logreturn,ic,-0.01607447656985259,2020-11-03 08:00:00,2025-06-11 00:00:00
support_level_20_mm30,target_logreturn,ic,-0.012255497255096436,2020-11-03 08:00:00,2025-06-11 00:00:00
resistance_level_20_mm30,target_logreturn,ic,-0.007300776015445321,2020-11-03 08:00:00,2025-06-11 00:00:00
distance_to_support_mm30,target_logreturn,ic,-0.023393646487694212,2020-11-03 08:00:00,2025-06-11 00:00:00
distance_to_resistance_mm30,target_logreturn,ic,0.03759049739101162,2020-11-03 08:00:00,2025-06-11 00:00:00
volume_mm30,target_logreturn,ic,0.010049109038851764,2020-11-03 08:00:00,2025-06-11 00:00:00
vol_ma_mm30,target_logreturn,ic,0.012287233921615,2020-11-03 08:00:00,2025-06-11 00:00:00
volume_relative_20_mm30,target_logreturn,ic,0.00406800632682785,2020-11-03 08:00:00,2025-06-11 00:00:00
obv_mm30,target_logreturn,ic,-0.030374410673994063,2020-11-03 08:00:00,2025-06-11 00:00:00
amplitude_range_mm30,target_logreturn,ic,0.017512649368860725,2020-11-03 08:00:00,2025-06-11 00:00:00
atr_slope_mm30,target_logreturn,ic,0.00672269293477046,2020-11-03 08:00:00,2025-06-11 00:00:00
cci_mm30,target_logreturn,ic,-0.01992917369518892,2020-11-03 08:00:00,2025-06-11 00:00:00
adx_scaled_mm30,target_logreturn,ic,0.007641434918248048,2020-11-03 08:00:00,2025-06-11 00:00:00
vwap_mm30,target_logreturn,ic,0.006254696835839708,2020-11-03 08:00:00,2025-06-11 00:00:00
obv_diff1_mm30,target_logreturn,ic,-0.03168847482364938,2020-11-03 08:00:00,2025-06-11 00:00:00
obv_pct_mm30,target_logreturn,ic,-0.013648669425010015,2020-11-03 08:00:00,2025-06-11 00:00:00
obv_slope_14_mm30,target_logreturn,ic,-0.012147421405726973,2020-11-03 08:00:00,2025-06-11 00:00:00
trend_flag_mm30,target_logreturn,ic,0.006874509556114316,2020-11-03 08:00:00,2025-06-11 00:00:00
keltner_upper_20_mm30,target_logreturn,ic,-0.010516703026123956,2020-11-03 08:00:00,2025-06-11 00:00:00
keltner_lower_20_mm30,target_logreturn,ic,-0.01581279795566989,2020-11-03 08:00:00,2025-06-11 00:00:00
tsi_mm30,target_logreturn,ic,-0.014070566507897642,2020-11-03 08:00:00,2025-06-11 00:00:00
williams_r_mm30,target_logreturn,ic,-0.020196619321359986,2020-11-03 08:00:00,2025-06-11 00:00:00
ichimoku_conv_mm30,target_logreturn,ic,-0.013143590779320183,2020-11-03 08:00:00,2025-06-11 00:00:00
ichimoku_base_mm30,target_logreturn,ic,-0.008182539644985878,2020-11-03 08:00:00,2025-06-11 00:00:00
ichimoku_span_a_mm30,target_logreturn,ic,0.00674723955793977,2020-11-03 08:00:00,2025-06-11 00:00:00
ichimoku_span_b_mm30,target_logreturn,ic,0.00548521841317544,2020-11-03 08:00:00,2025-06-11 00:00:00
cloud_thickness_mm30,target_logreturn,ic,-0.00499378123349991,2020-11-03 08:00:00,2025-06-11 00:00:00
supertrend_10_3_mm30,target_logreturn,ic,-0.02009222698207715,2020-11-03 08:00:00,2025-06-11 00:00:00
heikin_ashi_trend_mm30,target_logreturn,ic,-0.01889762249544113,2020-11-03 08:00:00,2025-06-11 00:00:00
ret_skew_30d_mm30,target_logreturn,ic,-0.004008041186456794,2020-11-03 08:00:00,2025-06-11 00:00:00
ret_kurt_30d_mm30,target_logreturn,ic,-0.0019605024336632536,2020-11-03 08:00:00,2025-06-11 00:00:00
var_95_30d_mm30,target_logreturn,ic,-0.01668819654821997,2020-11-03 08:00:00,2025-06-11 00:00:00
cvar_95_30d_mm30,target_logreturn,ic,-0.014984121478019601,2020-11-03 08:00:00,2025-06-11 00:00:00
z_score_gap_mm30,target_logreturn,ic,0.0014665644166992778,2020-11-03 08:00:00,2025-06-11 00:00:00
engulfing_up_cnt_20_mm30,target_logreturn,ic,-0.007165964323348618,2020-11-03 08:00:00,2025-06-11 00:00:00
doji_ratio_20_mm30,target_logreturn,ic,-0.0009165075476017018,2020-11-03 08:00:00,2025-06-11 00:00:00
hammer_cnt_20_mm30,target_logreturn,ic,0.016655962135678774,2020-11-03 08:00:00,2025-06-11 00:00:00
cmf_mm30,target_logreturn,ic,-0.010222335280624856,2020-11-03 08:00:00,2025-06-11 00:00:00
price_volume_corr_20_mm30,target_logreturn,ic,-0.012501454443534718,2020-11-03 08:00:00,2025-06-11 00:00:00
price_position_ma200_mm30,target_logreturn,ic,-0.02134045039998888,2020-11-03 08:00:00,2025-06-11 00:00:00
beta_btc_60d_mm30,target_logreturn,ic,-0.0008480695880592333,2020-11-03 08:00:00,2025-06-11 00:00:00
distance_to_pivot_mm30,target_logreturn,ic,-0.010744673299200124,2020-11-03 08:00:00,2025-06-11 00:00:00
volume_profile_hvn_mm30,target_logreturn,ic,0.0059636948740618536,2020-11-03 08:00:00,2025-06-11 00:00:00
volume_profile_lvn_mm30,target_logreturn,ic,0.006558541633119144,2020-11-03 08:00:00,2025-06-11 00:00:00
hour_sin_mm30,target_logreturn,ic,-0.004757977232523555,2020-11-03 08:00:00,2025-06-11 00:00:00
hour_cos_mm30,target_logreturn,ic,0.0046438823215001375,2020-11-03 08:00:00,2025-06-11 00:00:00
dow_sin_mm30,target_logreturn,ic,0.0023157774836985953,2020-11-03 08:00:00,2025-06-11 00:00:00
dow_cos_mm30,target_logreturn,ic,-0.0020228582869402808,2020-11-03 08:00:00,2025-06-11 00:00:00
_orig_idx,target_logreturn,ic,-0.008925812455010677,2020-11-03 08:00:00,2025-06-11 00:00:00
_orig_ts,target_logreturn,ic,-0.004734681150236771,2020-11-03 08:00:00,2025-06-11 00:00:00
rolling_volatility,target_logreturn,ic,0.012125648467406115,2020-11-03 08:00:00,2025-06-11 00:00:00
ewmavolatility,target_logreturn,ic,0.014405526991885595,2020-11-03 08:00:00,2025-06-11 00:00:00
return_skewness,target_logreturn,ic,0.021520139377793294,2020-11-03 08:00:00,2025-06-11 00:00:00
tail_bias_norm,target_logreturn,ic,0.052175400840686344,2020-11-03 08:00:00,2025-06-11 00:00:00
logreturn_pct_rank,target_logreturn,ic,-0.043795176768525984,2020-11-03 08:00:00,2025-06-11 00:00:00
