feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
cvar_95_30d,0.03098609,5.685991715214389e-05,1.5724427177657685e-05,-0.03314740735604317,5.685991715214389e-05,1.0,45.0,23.0,0.12041884816753927,1d,target_logreturn,2025,36,0,0,4.3076849026160695e-05,7.064298527812709e-05
trend_flag,0.024034992,7.620287603611608e-06,1.1623242499371971e-06,-0.03314740735604317,7.620287603611608e-06,2.0,76.0,39.0,0.20418848167539266,1d,target_logreturn,2025,36,0,0,6.601465477987245e-06,8.639109729235972e-06
ewmavolatility,0.022127684,0.00027630129545722917,0.00010801311100164738,-0.03314740735604317,0.00027630129545722917,3.0,6.0,4.5,0.02356020942408377,1d,target_logreturn,2025,36,0,0,0.0001816236292621509,0.0003709789616523074
adx_scaled_mm30,0.016661515,-0.00021203940093484085,1.6242243668383097e-05,-0.03314740735604317,-0.00021203940093484085,4.0,186.0,95.0,0.4973821989528796,1d,target_logreturn,2025,36,0,0,-0.00022627635522709196,-0.00019780244664258974
return_skewness,0.016133608,0.004283954452070962,0.00025489734562344585,-0.03314740735604317,0.004283954452070962,5.0,1.0,3.0,0.015706806282722512,1d,target_logreturn,2025,36,0,0,0.004060527077568435,0.004507381826573489
obv_diff1_zn30,0.014643289,-2.8722935341193855e-05,0.00011770990384751015,-0.03314740735604317,-2.8722935341193855e-05,6.0,143.0,74.5,0.3900523560209424,1d,target_logreturn,2025,36,0,0,-0.00013190021521936857,7.445434453698087e-05
ichimoku_span_a_zn30,0.01438733,0.0004527682473048411,0.0002452416893280339,-0.03314740735604317,0.0004527682473048411,7.0,4.0,5.5,0.028795811518324606,1d,target_logreturn,2025,36,0,0,0.00023780442870912865,0.0006677320659005536
var_95_30d_mm30,0.013859026,0.00015692897262554323,5.8453789859366766e-05,-0.03314740735604317,0.00015692897262554323,8.0,21.0,14.5,0.07591623036649214,1d,target_logreturn,2025,36,0,0,0.00010569196673967471,0.00020816597851141175
atr_ratio_price,0.012902668,-4.606234274683041e-06,0.00020345765335662663,-0.03314740735604317,-4.606234274683041e-06,9.0,124.0,66.5,0.3481675392670157,1d,target_logreturn,2025,36,0,0,-0.00018294473050630114,0.00017373226195693508
atr_ratio_range,0.012875342,-2.964765974079742e-06,0.00010027617746793172,-0.03314740735604317,-2.964765974079742e-06,10.0,120.0,65.0,0.3403141361256545,1d,target_logreturn,2025,36,0,0,-9.086071091619394e-05,8.493117896803445e-05
resistance_level_20_mm30,0.012699607,8.390372068869945e-06,1.4660670730807075e-05,-0.03314740735604317,8.390372068869945e-06,11.0,74.0,42.5,0.22251308900523561,1d,target_logreturn,2025,36,0,0,-4.460272420261901e-06,2.124101655800179e-05
