feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
cmf_mm30,0.04874872,2.1527644663785207e-05,5.284908755867265e-06,-0.03524786153754889,2.1527644663785207e-05,1.0,62.0,31.5,0.12701612903225806,1d,target_logreturn,2025,36,0,0,1.6895217892448015e-05,2.6160071435122398e-05
amplitude_range,0.037358377,-3.2058004393026304e-05,7.836345139274962e-06,-0.03524786153754889,-3.2058004393026304e-05,2.0,206.0,104.0,0.41935483870967744,1d,target_logreturn,2025,36,0,0,-3.89268637602413e-05,-2.5189145025811305e-05
_orig_idx,0.030145168,0.0,0.0,-0.03524786153754889,0.0,3.0,128.5,65.75,0.2651209677419355,1d,target_logreturn,2025,36,0,0,0.0,0.0
altcoin_index_index,0.027247988,0.00031829857470962175,0.00016817803103053573,-0.03524786153754889,0.00031829857470962175,4.0,6.0,5.0,0.020161290322580645,1d,target_logreturn,2025,36,0,0,0.0001708840309047338,0.0004657131185145097
correlation_iwm,0.025724247,-0.0004924854687318847,0.00010606355442239979,-0.03524786153754889,-0.0004924854687318847,5.0,245.0,125.0,0.5040322580645161,1d,target_logreturn,2025,36,0,0,-0.0005854542732403885,-0.00039951666422338077
correlation_qqq,0.025165996,-0.00012977175088935006,1.4575304174788456e-05,-0.03524786153754889,-0.00012977175088935006,6.0,235.0,120.5,0.48588709677419356,1d,target_logreturn,2025,36,0,0,-0.00014254756829295493,-0.00011699593348574519
dow_cos_mm30,0.02502355,0.00031314407991552413,0.0003318383105639083,-0.03524786153754889,0.00031314407991552413,7.0,7.0,7.0,0.028225806451612902,1d,target_logreturn,2025,36,0,0,2.2274976091366666e-05,0.0006040131837396816
r_btc,0.022919375,0.0003582000792719142,0.00011372927627090721,-0.03524786153754889,0.0003582000792719142,8.0,5.0,6.5,0.02620967741935484,1d,target_logreturn,2025,36,0,0,0.00025851197330466213,0.0004578881852391663
bitcoin_dominance_bitcoin_bitcoin_dominance,0.019255448,0.000538219250684914,0.0002217174935667916,-0.03524786153754889,0.000538219250684914,9.0,3.0,6.0,0.024193548387096774,1d,target_logreturn,2025,36,0,0,0.0003438752988177564,0.0007325632025520716
short_term_holder_supply_bitcoin_bitcoin_short_term_holder_supply,0.01848182,-0.00017327501633861847,5.760857946102958e-05,-0.03524786153754889,-0.00017327501633861847,10.0,240.0,125.0,0.5040322580645161,1d,target_logreturn,2025,36,0,0,-0.00022377116264534613,-0.0001227788700318908
google_trend_percent_bitcoin_bubble_index,0.018062538,0.0,0.0,-0.03524786153754889,0.0,11.0,128.5,69.75,0.28125,1d,target_logreturn,2025,36,0,0,0.0,0.0
cdri_index_value_futures_cdri,0.017613992,0.0002485114540287478,5.5701951471564704e-05,-0.03524786153754889,0.0002485114540287478,12.0,10.0,11.0,0.04435483870967742,1d,target_logreturn,2025,36,0,0,0.00019968654084058106,0.0002973363672169145
sth_sopr_bitcoin_sth_sopr,0.017589072,-7.837377220741848e-05,4.681016807965303e-05,-0.03524786153754889,-7.837377220741848e-05,13.0,226.0,119.5,0.48185483870967744,1d,target_logreturn,2025,36,0,0,-0.00011940469361022211,-3.734285080461486e-05
etf_btc_change_usd,0.016267527,0.0010650253032690987,0.0003023710573730975,-0.03524786153754889,0.0010650253032690987,14.0,1.0,7.5,0.03024193548387097,1d,target_logreturn,2025,36,0,0,0.0007999853856929225,0.0013300652208452749
var_95_30d,0.016162312,-3.0202659203108773e-05,9.5132902698434e-06,-0.03524786153754889,-3.0202659203108773e-05,15.0,202.0,108.5,0.4375,1d,target_logreturn,2025,36,0,0,-3.8541425786467176e-05,-2.186389261975037e-05
premium_premium_index,0.016152713,-2.7025070492209257e-06,2.9600344639341995e-05,-0.03524786153754889,-2.7025070492209257e-06,16.0,164.0,90.0,0.3629032258064516,1d,target_logreturn,2025,36,0,0,-2.864835309544908e-05,2.324333899700723e-05
global_m2_yoy_growth_bitcoin_bitcoin_vs_global_m2_growth,0.016045937,0.0003783432649188609,0.0001257157317020377,-0.03524786153754889,0.0003783432649188609,17.0,4.0,10.5,0.04233870967741935,1d,target_logreturn,2025,36,0,0,0.0002681485675235233,0.0004885379623141984
correlation_gld,0.014752148,-0.00016691771189187438,0.0001035757263178817,-0.03524786153754889,-0.00016691771189187438,18.0,239.0,128.5,0.5181451612903226,1d,target_logreturn,2025,36,0,0,-0.00025770583891922776,-7.612958486452098e-05
new_address_count_bitcoin_new_addresses,0.013749046,0.00014884248915211367,0.00014025500371557986,-0.03524786153754889,0.00014884248915211367,19.0,18.0,18.5,0.07459677419354839,1d,target_logreturn,2025,36,0,0,2.590355793504498e-05,0.00027178142036918235
ret_skew_30d_zn30,0.013485432,-1.2782940781233543e-06,0.00014117943538775705,-0.03524786153754889,-1.2782940781233543e-06,20.0,159.0,89.5,0.36088709677419356,1d,target_logreturn,2025,36,0,0,-0.00012502752538253248,0.00012247093722628577
bubble_index_bitcoin_bubble_index,0.0132275075,0.0,0.0,-0.03524786153754889,0.0,21.0,128.5,74.75,0.3014112903225806,1d,target_logreturn,2025,36,0,0,0.0,0.0
vwap_zn30,0.013189102,1.8816296659415753e-05,1.3013382409900558e-05,-0.03524786153754889,1.8816296659415753e-05,22.0,66.0,44.0,0.1774193548387097,1d,target_logreturn,2025,36,0,0,7.409564046606583e-06,3.022302927222492e-05
vocd_bitcoin_bitcoin_reserve_risk,0.013060034,-2.0469709294104743e-05,2.324500489524634e-05,-0.03524786153754889,-2.0469709294104743e-05,23.0,193.0,108.0,0.43548387096774194,1d,target_logreturn,2025,36,0,0,-4.084485443867453e-05,-9.456414953495825e-08
etf_eth_net_assets_usd,0.01207143,0.0,0.0,-0.03524786153754889,0.0,24.0,128.5,76.25,0.3074596774193548,1d,target_logreturn,2025,36,0,0,0.0,0.0
keltner_upper_20_mm30,0.012021249,1.3619234438633221e-05,2.2456404894144684e-05,-0.03524786153754889,1.3619234438633221e-05,25.0,74.0,49.5,0.19959677419354838,1d,target_logreturn,2025,36,0,0,-6.064672327804839e-06,3.330314120507128e-05
net_unpnl_bitcoin_bitcoin_net_unrealized_profit_loss,0.0117974,-3.6800977166467906e-05,1.263093495521006e-06,-0.03524786153754889,-3.6800977166467906e-05,26.0,210.0,118.0,0.47580645161290325,1d,target_logreturn,2025,36,0,0,-3.790812743029364e-05,-3.569382690264217e-05
etf_eth_change_usd,0.011719316,-5.009531045659654e-05,0.00027975952304336126,-0.03524786153754889,-5.009531045659654e-05,27.0,219.0,123.0,0.4959677419354839,1d,target_logreturn,2025,36,0,0,-0.0002953153443207234,0.00019512472340753033
