feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
target_breakout_prob,0.2868828,0.0574897266972791,0.002589007710391013,-1.0415524815784438,0.0574897266972791,1.0,3.0,2.0,0.008064516129032258,1h,target_logsharpe_ratio,2025,36,0,0,0.055220361381274584,0.05975909201328362
low_mm30,0.02863476,0.018925511355140933,0.001213796943816025,-1.0415524815784438,0.018925511355140933,2.0,7.0,4.5,0.018145161290322582,1h,target_logsharpe_ratio,2025,36,0,0,0.017861571424057317,0.01998945128622455
mining_difficulty_bitcoin_bubble_index,0.013588341,0.0,0.0,-1.0415524815784438,0.0,3.0,162.0,82.5,0.3326612903225806,1h,target_logsharpe_ratio,2025,36,0,0,0.0,0.0
target_vol_jump_prob,0.013243603,0.002244202071718648,0.00011819515776322722,-1.0415524815784438,0.002244202071718648,4.0,20.0,12.0,0.04838709677419355,1h,target_logsharpe_ratio,2025,36,0,0,0.002140599448029652,0.0023478046954076444
rsi_oversold,0.012593988,4.229544312361888e-05,2.075613776086527e-05,-1.0415524815784438,4.229544312361888e-05,5.0,143.0,74.0,0.29838709677419356,1h,target_logsharpe_ratio,2025,36,0,0,2.4101886210030038e-05,6.048900003720773e-05
rolling_volatility,0.012532193,-0.0018180967162898742,0.0002556607190373056,-1.0415524815784438,-0.0018180967162898742,6.0,246.0,126.0,0.5080645161290323,1h,target_logsharpe_ratio,2025,36,0,0,-0.002042193217091879,-0.0015940002154878692
ewmavolatility,0.011791179,0.0485687067160967,0.0011956195436496674,-1.0415524815784438,0.0485687067160967,7.0,4.0,5.5,0.02217741935483871,1h,target_logsharpe_ratio,2025,36,0,0,0.04752069997876415,0.049616713453429245
taker_imbalance_z,0.009865492,0.023676926145436594,0.0017782965219895691,-1.0415524815784438,0.023676926145436594,8.0,6.0,7.0,0.028225806451612902,1h,target_logsharpe_ratio,2025,36,0,0,0.022118180517767105,0.025235671773106084
cvar_95_30d,0.0077971313,0.04146913639076253,0.0007496154227124566,-1.0415524815784438,0.04146913639076253,9.0,5.0,7.0,0.028225806451612902,1h,target_logsharpe_ratio,2025,36,0,0,0.04081206950223295,0.04212620327929211
ma5_mm30,0.007247882,0.002583533228891044,0.0007656856193597545,-1.0415524815784438,0.002583533228891044,10.0,17.0,13.5,0.05443548387096774,1h,target_logsharpe_ratio,2025,36,0,0,0.0019123801919323277,0.0032546862658497603
