feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
target_breakout_prob,0.037483606,0.023890110841526147,0.0020694253613864114,0.542091355228388,0.023890110841526147,1.0,1.0,1.0,0.004032258064516129,4h,target_binarytrend,2025,36,0,0,0.02207617953481669,0.025704042148235604
range_flag_zn30,0.023307456,0.0,0.0,0.542091355228388,0.0,2.0,138.5,70.25,0.28326612903225806,4h,target_binarytrend,2025,36,0,0,0.0,0.0
high_vol_flag_zn30,0.017919712,0.0,0.0,0.542091355228388,0.0,3.0,138.5,70.75,0.2852822580645161,4h,target_binarytrend,2025,36,0,0,0.0,0.0
rsi_overbought,0.014139876,-8.188691166592932e-05,0.00010029057509694301,0.542091355228388,-8.188691166592932e-05,4.0,156.5,80.25,0.3235887096774194,4h,target_binarytrend,2025,36,0,0,-0.00016979547668629968,6.02165335444104e-06
volume_spike_near_resist,0.013511112,0.0,0.0,0.542091355228388,0.0,5.0,138.5,71.75,0.28931451612903225,4h,target_binarytrend,2025,36,0,0,0.0,0.0
trend_flag_diff1,0.010878735,-8.188691166592932e-05,0.00010029057509694301,0.542091355228388,-8.188691166592932e-05,6.0,156.5,81.25,0.3276209677419355,4h,target_binarytrend,2025,36,0,0,-0.00016979547668629968,6.02165335444104e-06
high_vol_flag,0.008259311,0.0,0.0,0.542091355228388,0.0,7.0,138.5,72.75,0.2933467741935484,4h,target_binarytrend,2025,36,0,0,0.0,0.0
cci,0.007837503,0.0021713795029912443,0.002984713079009288,0.542091355228388,0.0021713795029912443,8.0,50.0,29.0,0.11693548387096774,4h,target_binarytrend,2025,36,0,0,-0.0004448368615037634,0.004787595867486252
donchian_high_20,0.0078020324,0.0,0.0,0.542091355228388,0.0,9.0,138.5,73.75,0.2973790322580645,4h,target_binarytrend,2025,36,0,0,0.0,0.0
taker_imbalance_z,0.0077615725,0.016643370604789265,0.0028680506716293993,0.542091355228388,0.016643370604789265,10.0,3.0,6.5,0.02620967741935484,4h,target_binarytrend,2025,36,0,0,0.014129413349035778,0.019157327860542753
us_m2_yoy_growth_bitcoin_bitcoin_vs_us_m2_growth,0.007567557,0.0006732290244622519,0.00010015089463019403,0.542091355228388,0.0006732290244622519,11.0,100.0,55.5,0.22379032258064516,4h,target_binarytrend,2025,36,0,0,0.0005854428947692431,0.0007610151541552607
hour_sin_mm30,0.0075612343,0.012146625982426485,0.002978677737205833,0.542091355228388,0.012146625982426485,12.0,4.0,8.0,0.03225806451612903,4h,target_binarytrend,2025,36,0,0,0.009535699828271146,0.014757552136581824
ppo,0.007224118,-0.0008780913741655904,0.0005632032021321142,0.542091355228388,-0.0008780913741655904,13.0,186.0,99.5,0.4012096774193548,4h,target_binarytrend,2025,36,0,0,-0.0013717607470498715,-0.0003844220012813094
mining_difficulty_bitcoin_bubble_index,0.007012142,0.0,0.0,0.542091355228388,0.0,14.0,138.5,76.25,0.3074596774193548,4h,target_binarytrend,2025,36,0,0,0.0,0.0
support_level_20_zn30,0.0069069485,0.007361374062153226,0.001175138262905251,0.542091355228388,0.007361374062153226,15.0,7.0,11.0,0.04435483870967742,4h,target_binarytrend,2025,36,0,0,0.006331319958936899,0.008391428165369553
boll_upper_zn30,0.0067573227,0.0017719463703509187,0.0008659378595516207,0.542091355228388,0.0017719463703509187,16.0,61.0,38.5,0.15524193548387097,4h,target_binarytrend,2025,36,0,0,0.0010129183703976676,0.0025309743703041698
