feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
high_mm30,0.16864833,-0.0019290465478435602,0.002412618641197291,0.9177914110429448,-0.0019290465478435602,1.0,150.0,75.5,0.39528795811518325,1d,target_drawdown_prob,2025,36,0,0,-0.0040438000277596845,0.000185706932072564
low_mm30,0.13519706,0.002148759998164085,0.0024671178058197876,0.9177914110429448,0.002148759998164085,2.0,3.0,2.5,0.013089005235602094,1d,target_drawdown_prob,2025,36,0,0,-1.3764105782678067e-05,0.004311284102110848
obv_mm30,0.023386193,-0.002821054858578176,0.0016203789397969109,0.9177914110429448,-0.002821054858578176,3.0,169.0,86.0,0.450261780104712,1d,target_drawdown_prob,2025,36,0,0,-0.004241379622386589,-0.0014007300947697626
kdj_j,0.017161105,-0.004833073088915318,0.0020455558496557387,0.9177914110429448,-0.004833073088915318,4.0,186.0,95.0,0.4973821989528796,1d,target_drawdown_prob,2025,36,0,0,-0.006626081846103526,-0.0030400643317271105
squeeze_on_zn30,0.015633818,0.0,0.0,0.9177914110429448,0.0,5.0,73.0,39.0,0.20418848167539266,1d,target_drawdown_prob,2025,36,0,0,0.0,0.0
obv_diff1,0.014495414,0.0005317978324113515,0.0006513166678629665,0.9177914110429448,0.0005317978324113515,6.0,34.0,20.0,0.10471204188481675,1d,target_drawdown_prob,2025,36,0,0,-3.910639852298481e-05,0.0011027020633456877
boll_upper_zn30,0.013106266,0.0017136473573620137,0.0018785761888403842,0.9177914110429448,0.0017136473573620137,7.0,7.0,7.0,0.03664921465968586,1d,target_drawdown_prob,2025,36,0,0,6.700272617145829e-05,0.0033602919885525693
mfi_zn30,0.010616806,-0.0060402586932366996,0.002102237131721298,0.9177914110429448,-0.0060402586932366996,8.0,191.0,99.5,0.5209424083769634,1d,target_drawdown_prob,2025,36,0,0,-0.007882950784727076,-0.004197566601746323
ichimoku_span_a_mm30,0.010332896,-0.0011275078759741541,0.0,0.9177914110429448,-0.0011275078759741541,9.0,130.0,69.5,0.36387434554973824,1d,target_drawdown_prob,2025,36,0,0,-0.0011275078759741541,-0.0011275078759741541
rsi,0.009972727,-0.0023826890415843405,0.0007681619914793363,0.9177914110429448,-0.0023826890415843405,10.0,160.0,85.0,0.44502617801047123,1d,target_drawdown_prob,2025,36,0,0,-0.003056012714410669,-0.0017093653687580118
price_position_ma200,0.008880636,0.0,0.0,0.9177914110429448,0.0,11.0,73.0,42.0,0.2198952879581152,1d,target_drawdown_prob,2025,36,0,0,0.0,0.0
heikin_ashi_trend,0.008556535,-0.0015908338990956005,0.0005291957664338653,0.9177914110429448,-0.0015908338990956005,12.0,142.0,77.0,0.4031413612565445,1d,target_drawdown_prob,2025,36,0,0,-0.0020546944402988804,-0.0011269733578923207
ma5_mm30,0.008473466,0.0009216428870891802,0.0008374482010269201,0.9177914110429448,0.0009216428870891802,13.0,21.0,17.0,0.08900523560209424,1d,target_drawdown_prob,2025,36,0,0,0.00018758717387778805,0.0016556986003005724
r_sym,0.008282179,0.0008572924618393873,0.001702873103441406,0.9177914110429448,0.0008572924618393873,14.0,25.0,19.5,0.10209424083769633,1d,target_drawdown_prob,2025,36,0,0,-0.0006353416245702103,0.002349926548248985
distance_to_resistance_zn30,0.008040894,0.0007567467076669887,0.000622387933063121,0.9177914110429448,0.0007567467076669887,15.0,27.0,21.0,0.1099476439790576,1d,target_drawdown_prob,2025,36,0,0,0.00021119963079873553,0.0013022937845352418
