feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
distance_to_resistance,0.3580481,0.018976040522568436,0.0029437634136392637,-0.03719954239338636,0.018976040522568436,1.0,1.0,1.0,0.005235602094240838,1d,target_max_drawdown,2025,36,0,0,0.01639571812235934,0.02155636292277753
high_mm30,0.15375306,0.010589008535638971,0.001594512252870276,-0.03719954239338636,0.010589008535638971,2.0,2.0,2.0,0.010471204188481676,1d,target_max_drawdown,2025,36,0,0,0.009191356922596258,0.011986660148681685
ppo,0.11175538,-3.960400464207564e-05,0.0001358097345715231,-0.03719954239338636,-3.960400464207564e-05,3.0,149.0,76.0,0.39790575916230364,1d,target_max_drawdown,2025,36,0,0,-0.00015864648565726218,7.943847637311089e-05
low_mm30,0.052589208,0.00221064087590164,0.00022816156304393905,-0.03719954239338636,0.00221064087590164,4.0,4.0,4.0,0.020942408376963352,1d,target_max_drawdown,2025,36,0,0,0.00201064844809265,0.00241063330371063
var_95_30d,0.04155393,-8.038860490427874e-05,1.1155409148775914e-05,-0.03719954239338636,-8.038860490427874e-05,5.0,165.0,85.0,0.44502617801047123,1d,target_max_drawdown,2025,36,0,0,-9.016675214828525e-05,-7.061045766027223e-05
donchian_high_20_zn30,0.039682005,0.003213600733608736,3.778542689397053e-05,-0.03719954239338636,0.003213600733608736,6.0,3.0,4.5,0.02356020942408377,1d,target_max_drawdown,2025,36,0,0,0.0031804803466359793,0.0032467211205814924
rolling_volatility,0.025121758,-1.4954871746380993e-06,8.200195290039442e-05,-0.03719954239338636,-1.4954871746380993e-06,7.0,126.0,66.5,0.3481675392670157,1d,target_max_drawdown,2025,36,0,0,-7.337336803606113e-05,7.038239368678493e-05
resistance_level_20_mm30,0.012455119,8.616823107071569e-07,1.0853132490254808e-05,-0.03719954239338636,8.616823107071569e-07,8.0,93.0,50.5,0.2643979057591623,1d,target_max_drawdown,2025,36,0,0,-8.651507759965202e-06,1.0374872381379515e-05
ret_skew_30d,0.0114610605,1.1896827057486515e-05,9.159546307631194e-05,-0.03719954239338636,1.1896827057486515e-05,9.0,82.0,45.5,0.23821989528795812,1d,target_max_drawdown,2025,36,0,0,-6.839013623524204e-05,9.218379035021506e-05
cvar_95_30d,0.009021841,-8.247831999397132e-05,8.817075587875362e-05,-0.03719954239338636,-8.247831999397132e-05,10.0,168.0,89.0,0.46596858638743455,1d,target_max_drawdown,2025,36,0,0,-0.00015976339507276478,-5.193244915177863e-06
return_skewness,0.007489492,0.00035873224278638454,5.8987682445917515e-05,-0.03719954239338636,0.00035873224278638454,11.0,11.0,11.0,0.05759162303664921,1d,target_max_drawdown,2025,36,0,0,0.00030702725941496144,0.00041043722615780764
cmf,0.0068664304,0.0003656155414457976,0.0001239514554370394,-0.03719954239338636,0.0003656155414457976,12.0,10.0,11.0,0.05759162303664921,1d,target_max_drawdown,2025,36,0,0,0.0002569673003810333,0.00047426378251056193
ma20_zn30,0.0067341686,3.4671048388376645e-06,3.581993699200073e-05,-0.03719954239338636,3.4671048388376645e-06,13.0,89.0,51.0,0.2670157068062827,1d,target_max_drawdown,2025,36,0,0,-2.7930454274200544e-05,3.486466395187587e-05
plus_di,0.0047862967,0.0004048805025315058,0.0001306896207992179,-0.03719954239338636,0.0004048805025315058,14.0,9.0,11.5,0.060209424083769635,1d,target_max_drawdown,2025,36,0,0,0.00029032599911570295,0.0005194350059473087
distance_to_resistance_zn30,0.0042853463,-0.0007834754265752031,0.00012035459521727513,-0.03719954239338636,-0.0007834754265752031,15.0,191.0,103.0,0.5392670157068062,1d,target_max_drawdown,2025,36,0,0,-0.00088897088064884,-0.0006779799725015661
volume_profile_hvn_mm30,0.0037876086,0.00013472571298766973,8.59004208842382e-05,-0.03719954239338636,0.00013472571298766973,16.0,36.0,26.0,0.13612565445026178,1d,target_max_drawdown,2025,36,0,0,5.943067427361404e-05,0.0002100207517017254
cci_mm30,0.0034701354,0.0003538231395762745,3.540932312880524e-05,-0.03719954239338636,0.0003538231395762745,17.0,12.0,14.5,0.07591623036649214,1d,target_max_drawdown,2025,36,0,0,0.000322785499383395,0.000384860779769154
boll_upper_zn30,0.0034500035,0.0002827990425788796,7.865131831705796e-05,-0.03719954239338636,0.0002827990425788796,18.0,17.0,17.5,0.09162303664921466,1d,target_max_drawdown,2025,36,0,0,0.00021385812242232853,0.00035173996273543066
_orig_idx,0.003132306,0.0,0.0,-0.03719954239338636,0.0,19.0,108.0,63.5,0.3324607329842932,1d,target_max_drawdown,2025,36,0,0,0.0,0.0
ewmavolatility,0.003097607,-5.027300103524201e-05,0.00013386742476079983,-0.03719954239338636,-5.027300103524201e-05,20.0,153.0,86.5,0.45287958115183247,1d,target_max_drawdown,2025,36,0,0,-0.0001676129724365329,6.706697036604886e-05
logreturn_pct_rank,0.0028426382,-7.524093205419219e-05,0.00013159138322254408,-0.03719954239338636,-7.524093205419219e-05,21.0,162.0,91.5,0.4790575916230366,1d,target_max_drawdown,2025,36,0,0,-0.00019058586508461506,4.010400097623069e-05
keltner_lower_20_mm30,0.0027413853,-0.00010649823509393807,5.399844300585488e-05,-0.03719954239338636,-0.00010649823509393807,22.0,175.0,98.5,0.5157068062827225,1d,target_max_drawdown,2025,36,0,0,-0.000153829957276112,-5.916651291176416e-05
psar_zn30,0.002420649,0.00024422575870158977,8.312183400805007e-05,-0.03719954239338636,0.00024422575870158977,23.0,21.0,22.0,0.11518324607329843,1d,target_max_drawdown,2025,36,0,0,0.0001713662587690599,0.00031708525863411965
price_position_ma200,0.0024048234,-2.0100784963159035e-05,1.2282350340468052e-05,-0.03719954239338636,-2.0100784963159035e-05,24.0,142.0,83.0,0.43455497382198954,1d,target_max_drawdown,2025,36,0,0,-3.08667397147827e-05,-9.33483021153537e-06
