feature,period,target,tree_importance,boruta_keep,linear_coef,shap_value,tft_vsn_importance
volume,1d,target_binarytrend,0.005746140610426664,0.05,0.0,0.0,0.0
rsi,1d,target_binarytrend,0.005733876954764128,0.0,0.0,0.0,0.0
macd_hist,1d,target_binarytrend,0.002998865908011794,0.0,0.0,0.0,0.0
kdj_j,1d,target_binarytrend,0.0036635813303291798,0.0,0.0,0.0,0.0
momentum,1d,target_binarytrend,0.0033899948466569185,0.0,0.0,0.0,0.0
vol_change,1d,target_binarytrend,0.006140036508440971,0.0,0.0,0.0,0.0
obv,1d,target_binarytrend,0.007234042044728994,0.0,0.0,0.0,0.0
cci,1d,target_binarytrend,0.0066025578416883945,0.05,0.0,0.0,0.0
adx,1d,target_binarytrend,0.002445816993713379,0.0,0.0,0.0,0.0
plus_di,1d,target_binarytrend,0.0013756424887105823,0.0,0.0,0.0,0.0
minus_di,1d,target_binarytrend,0.004301324486732483,0.05,0.0,0.0,0.0
trend_flag,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0
boll_bandwidth,1d,target_binarytrend,0.003980147186666727,0.0,0.0,0.0,0.0
range_flag,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0
high_vol_flag,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0
stress_flag,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0
donchian_high_20,1d,target_binarytrend,0.00018544310296420008,0.0,0.0,0.0,0.0
squeeze_on,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0
ppo,1d,target_binarytrend,0.0035897407215088606,0.0,0.0,0.0,0.0
tsi,1d,target_binarytrend,0.0033968426287174225,0.05,0.0,0.0,0.0
cloud_thickness,1d,target_binarytrend,0.0040564872324466705,0.0,0.0,0.0,0.0
heikin_ashi_trend,1d,target_binarytrend,0.004078331403434277,0.0,0.0,0.0,0.0
ret_skew_30d,1d,target_binarytrend,0.0026053907349705696,0.0,0.0,0.0,0.0
ret_kurt_30d,1d,target_binarytrend,0.0035339316818863153,0.0,0.0,0.0,0.0
var_95_30d,1d,target_binarytrend,0.004798078443855047,0.0,0.0,0.0,0.0
cvar_95_30d,1d,target_binarytrend,0.001959720393642783,0.0,0.0,0.0,0.0
z_score_gap,1d,target_binarytrend,0.007090803701430559,0.05,0.0,0.0,0.0
doji_ratio_20,1d,target_binarytrend,0.0005237914738245308,0.0,0.0,0.0,0.0
hammer_cnt_20,1d,target_binarytrend,0.0019370680674910545,0.0,0.0,0.0,0.0
engulfing_up_cnt_20,1d,target_binarytrend,0.00018401292618364096,0.0,0.0,0.0,0.0
mfi,1d,target_binarytrend,0.0016836212016642094,0.0,0.0,0.0,0.0
cmf,1d,target_binarytrend,0.005192110314965248,0.0,0.0,0.0,0.0
price_volume_corr_20,1d,target_binarytrend,0.0032235411927103996,0.0,0.0,0.0,0.0
price_position_ma200,1d,target_binarytrend,0.00364189175888896,0.0,0.0,0.0,0.0
r_sym,1d,target_binarytrend,0.004332957323640585,0.1,0.0,0.0,0.0
r_btc,1d,target_binarytrend,0.008756659924983978,0.0,0.0,0.0,0.0
beta_btc_60d,1d,target_binarytrend,0.0007090655853971839,0.05,0.0,0.0,0.0
distance_to_pivot,1d,target_binarytrend,0.0023211126681417227,0.05,0.0,0.0,0.0
hour_cos,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0
dow_sin,1d,target_binarytrend,0.004284717608243227,0.0,0.0,0.0,0.0
dow_cos,1d,target_binarytrend,0.0006722240359522402,0.05,0.0,0.0,0.0
trend_flag_diff1,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0
trend_flag_slope_24h,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0
range_flag_diff1,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0
range_flag_slope_24h,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0
ppo_diff1,1d,target_binarytrend,0.00767696974799037,0.0,0.0,0.0,0.0
ppo_slope_24h,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0
stoch_rsi_diff1,1d,target_binarytrend,0.01095688994973898,0.15,0.0,0.0,0.0
stoch_rsi_slope_24h,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0
psar_diff1,1d,target_binarytrend,0.0026806150563061237,0.0,0.0,0.0,0.0
psar_slope_24h,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0
ret_skew_30d_diff1,1d,target_binarytrend,0.003377838060259819,0.0,0.0,0.0,0.0
ret_skew_30d_slope_24h,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0
ret_kurt_30d_diff1,1d,target_binarytrend,0.006422698497772217,0.0,0.0,0.0,0.0
ret_kurt_30d_slope_24h,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0
mfi_diff1,1d,target_binarytrend,0.005036818794906139,0.0,0.0,0.0,0.0
mfi_slope_24h,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0
price_position_ma200_diff1,1d,target_binarytrend,0.003612716216593981,0.1,0.0,0.0,0.0
price_position_ma200_slope_24h,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0
macd_bullish_cross,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0
rsi_overbought,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0
rsi_oversold,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0
price_above_ma20,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0
breakout_recent_high,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0
trendline_slope_20,1d,target_binarytrend,0.0021841940470039845,0.0,0.0,0.0,0.0
ma_diff_5_20,1d,target_binarytrend,0.002464737743139267,0.0,0.0,0.0,0.0
volume_relative_20,1d,target_binarytrend,0.004148028325289488,0.0,0.0,0.0,0.0
volume_percentile,1d,target_binarytrend,0.008227857761085033,0.0,0.0,0.0,0.0
distance_to_support,1d,target_binarytrend,0.002118300413712859,0.0,0.0,0.0,0.0
distance_to_resistance,1d,target_binarytrend,0.005616927985101938,0.05,0.0,0.0,0.0
volume_spike_near_support,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0
volume_spike_near_resist,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0
obv_diff1,1d,target_binarytrend,0.0017005368135869503,0.0,0.0,0.0,0.0
obv_pct,1d,target_binarytrend,0.004191935062408447,0.0,0.0,0.0,0.0
obv_slope_14,1d,target_binarytrend,0.004028507508337498,0.0,0.0,0.0,0.0
atr_ratio_price,1d,target_binarytrend,0.002432865323498845,0.0,0.0,0.0,0.0
atr_ratio_range,1d,target_binarytrend,0.0030384070705622435,0.0,0.0,0.0,0.0
atr_change,1d,target_binarytrend,0.002778048627078533,0.0,0.0,0.0,0.0
atr_slope,1d,target_binarytrend,0.004537353292107582,0.0,0.0,0.0,0.0
amplitude_range,1d,target_binarytrend,0.004034972283989191,0.0,0.0,0.0,0.0
ma20_zn30,1d,target_binarytrend,0.008466443978250027,0.05,0.0,0.0,0.0
boll_upper_zn30,1d,target_binarytrend,0.003800088306888938,0.05,0.0,0.0,0.0
boll_lower_zn30,1d,target_binarytrend,0.006339677609503269,0.1,0.0,0.0,0.0
support_level_20_zn30,1d,target_binarytrend,0.0034072743728756905,0.0,0.0,0.0,0.0
resistance_level_20_zn30,1d,target_binarytrend,0.0042340392246842384,0.0,0.0,0.0,0.0
distance_to_support_zn30,1d,target_binarytrend,0.0011237171711400151,0.0,0.0,0.0,0.0
distance_to_resistance_zn30,1d,target_binarytrend,0.003419192973524332,0.05,0.0,0.0,0.0
volume_zn30,1d,target_binarytrend,0.0035506796557456255,0.0,0.0,0.0,0.0
vol_ma_zn30,1d,target_binarytrend,0.003649343503639102,0.0,0.0,0.0,0.0
volume_relative_20_zn30,1d,target_binarytrend,0.0013527347473427653,0.1,0.0,0.0,0.0
obv_zn30,1d,target_binarytrend,0.004325430374592543,0.0,0.0,0.0,0.0
atr_zn30,1d,target_binarytrend,0.0026335250586271286,0.0,0.0,0.0,0.0
amplitude_range_zn30,1d,target_binarytrend,0.0016823542537167668,0.0,0.0,0.0,0.0
atr_slope_zn30,1d,target_binarytrend,0.0018809903413057327,0.0,0.0,0.0,0.0
trendline_slope_20_zn30,1d,target_binarytrend,0.004933122079819441,0.0,0.0,0.0,0.0
ma_diff_5_20_zn30,1d,target_binarytrend,0.0035401226487010717,0.0,0.0,0.0,0.0
cci_zn30,1d,target_binarytrend,0.002182401018217206,0.0,0.0,0.0,0.0
adx_scaled_zn30,1d,target_binarytrend,0.0036426116712391376,0.0,0.0,0.0,0.0
vwap_zn30,1d,target_binarytrend,0.005420421715825796,0.05,0.0,0.0,0.0
obv_diff1_zn30,1d,target_binarytrend,0.00566211948171258,0.35,0.0,0.0,0.0
obv_pct_zn30,1d,target_binarytrend,0.00491258455440402,0.0,0.0,0.0,0.0
obv_slope_14_zn30,1d,target_binarytrend,0.005201085936278105,0.0,0.0,0.0,0.0
trend_flag_zn30,1d,target_binarytrend,0.009710646234452724,0.0,0.0,0.0,0.0
range_flag_zn30,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0
high_vol_flag_zn30,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0
stress_flag_zn30,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0
