feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
high_mm30,0.270218,0.0015940495246073993,0.0005976352544509938,0.9150485436893204,0.0015940495246073993,1.0,13.0,7.0,0.028225806451612902,1d,target_drawdown_prob,2025,36,0,0,0.0010701991271638996,0.002117899922050899
tsi,0.03295771,0.0013304425813888132,0.000442585662924655,0.9150485436893204,0.0013304425813888132,2.0,16.0,9.0,0.036290322580645164,1d,target_drawdown_prob,2025,36,0,0,0.0009424991431476091,0.0017183860196300174
r_sym,0.03254672,0.0004436598999705943,0.0005433701871310907,0.9150485436893204,0.0004436598999705943,3.0,56.5,29.75,0.11995967741935484,1d,target_drawdown_prob,2025,36,0,0,-3.262506877519056e-05,0.0009199448687163792
ichimoku_base_mm30,0.024957791,0.0008873197999411886,0.0004436598999705943,0.9150485436893204,0.0008873197999411886,4.0,29.5,16.75,0.06754032258064516,1d,target_drawdown_prob,2025,36,0,0,0.0004984347514129864,0.0012762048484693909
beta_btc_60d,0.0238387,0.0024271844660194164,0.0,0.9150485436893204,0.0024271844660194164,5.0,2.0,3.5,0.014112903225806451,1d,target_drawdown_prob,2025,36,0,0,0.0024271844660194164,0.0024271844660194164
cci,0.020223508,-0.0002630185348631908,0.0005260370697263816,0.9150485436893204,-0.0002630185348631908,6.0,231.0,118.5,0.4778225806451613,1d,target_drawdown_prob,2025,36,0,0,-0.0007241103563276413,0.00019807328660125965
bubble_index_bitcoin_bubble_index,0.019610545,0.0,0.0,0.9150485436893204,0.0,7.0,148.5,77.75,0.31350806451612906,1d,target_drawdown_prob,2025,36,0,0,0.0,0.0
plus_di,0.019600812,0.0,0.0,0.9150485436893204,0.0,8.0,148.5,78.25,0.3155241935483871,1d,target_drawdown_prob,2025,36,0,0,0.0,0.0
price_volume_corr_20,0.01946397,0.0,0.0,0.9150485436893204,0.0,9.0,148.5,78.75,0.3175403225806452,1d,target_drawdown_prob,2025,36,0,0,0.0,0.0
boll_upper_zn30,0.018582389,0.002215613907238123,0.0,0.9150485436893204,0.002215613907238123,10.0,4.0,7.0,0.028225806451612902,1d,target_drawdown_prob,2025,36,0,0,0.002215613907238123,0.002215613907238123
price_position_ma200_zn30,0.012419636,0.0004431227814476246,0.0008862455628952492,0.9150485436893204,0.0004431227814476246,11.0,62.0,36.5,0.14717741935483872,1d,target_drawdown_prob,2025,36,0,0,-0.00033370570532178156,0.0012199512682170308
mining_difficulty_bitcoin_bubble_index,0.011835503,0.0,0.0,0.9150485436893204,0.0,12.0,148.5,80.25,0.3235887096774194,1d,target_drawdown_prob,2025,36,0,0,0.0,0.0
ret_skew_30d_zn30,0.011338915,0.0,0.0,0.9150485436893204,0.0,13.0,148.5,80.75,0.32560483870967744,1d,target_drawdown_prob,2025,36,0,0,0.0,0.0
cdri_index_value_futures_cdri,0.011174987,0.0,0.0,0.9150485436893204,0.0,14.0,148.5,81.25,0.3276209677419355,1d,target_drawdown_prob,2025,36,0,0,0.0,0.0
distance_to_resistance,0.0109162545,0.0018691104193651943,0.0009655869096195878,0.9150485436893204,0.0018691104193651943,15.0,10.0,12.5,0.05040322580645161,1d,target_drawdown_prob,2025,36,0,0,0.0010227361758726036,0.002715484662857785
obv_pct_zn30,0.009809357,0.0,0.0,0.9150485436893204,0.0,16.0,148.5,82.25,0.3316532258064516,1d,target_drawdown_prob,2025,36,0,0,0.0,0.0
var_95_30d_zn30,0.009672033,0.005072874589563736,0.0,0.9150485436893204,0.005072874589563736,17.0,1.0,9.0,0.036290322580645164,1d,target_drawdown_prob,2025,36,0,0,0.005072874589563736,0.005072874589563736
rsi,0.009580017,0.0,0.0,0.9150485436893204,0.0,18.0,148.5,83.25,0.33568548387096775,1d,target_drawdown_prob,2025,36,0,0,0.0,0.0
psar_zn30,0.009554189,0.0,0.0,0.9150485436893204,0.0,19.0,148.5,83.75,0.3377016129032258,1d,target_drawdown_prob,2025,36,0,0,0.0,0.0
atr_slope_mm30,0.009205509,0.0008461810801781544,0.0005259373394966626,0.9150485436893204,0.0008461810801781544,20.0,37.0,28.5,0.11491935483870967,1d,target_drawdown_prob,2025,36,0,0,0.0003851766761143447,0.001307185484241964
vwap_zn30,0.0090531865,-0.0016584291279960971,0.0009082384145040483,0.9150485436893204,-0.0016584291279960971,21.0,247.0,134.0,0.5403225806451613,1d,target_drawdown_prob,2025,36,0,0,-0.002454535199162309,-0.0008623230568298854
obv_diff1_zn30,0.008836852,0.000886782681418219,0.0008291506137191871,0.9150485436893204,0.000886782681418219,22.0,34.0,28.0,0.11290322580645161,1d,target_drawdown_prob,2025,36,0,0,0.00016000012416040427,0.0016135652386760338
vol_ma_zn30,0.008371654,0.0006654898499558915,0.0005433701871310907,0.9150485436893204,0.0006654898499558915,23.0,45.0,34.0,0.13709677419354838,1d,target_drawdown_prob,2025,36,0,0,0.00018920488121010662,0.0011417748187016762
