feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
distance_to_resistance,0.31818077,0.01971940294135955,0.0019615331274112306,-0.04053082244070808,0.01971940294135955,1.0,1.0,1.0,0.004032258064516129,1d,target_max_drawdown,2025,36,0,0,0.018000043347459915,0.021438762535259184
high_mm30,0.114027806,0.012548075933636748,0.0008284515843405795,-0.04053082244070808,0.012548075933636748,2.0,2.0,2.0,0.008064516129032258,1d,target_max_drawdown,2025,36,0,0,0.011821906102644797,0.0132742457646287
var_95_30d,0.050867833,5.542599378834251e-05,0.00016254041762754892,-0.04053082244070808,5.542599378834251e-05,3.0,62.0,32.5,0.1310483870967742,1d,target_max_drawdown,2025,36,0,0,-8.704696399096804e-05,0.00019789895156765305
boll_lower_mm30,0.0496987,-1.6764030077151547e-06,4.584137346045213e-07,-0.04053082244070808,-1.6764030077151547e-06,4.0,167.0,85.5,0.34475806451612906,1d,target_max_drawdown,2025,36,0,0,-2.0782203624940957e-06,-1.274585652936214e-06
resistance_level_20_zn30,0.03928195,0.007336933512057099,0.0012113470878202296,-0.04053082244070808,0.007336933512057099,5.0,3.0,4.0,0.016129032258064516,1d,target_max_drawdown,2025,36,0,0,0.006275140974433823,0.008398726049680377
keltner_upper_20_mm30,0.03760734,5.1457585490613524e-05,1.5449137606662308e-06,-0.04053082244070808,5.1457585490613524e-05,6.0,64.0,35.0,0.14112903225806453,1d,target_max_drawdown,2025,36,0,0,5.0103408872829506e-05,5.281176210839754e-05
engulfing_up_cnt_20,0.026472157,0.00030424881460288376,1.4088960054720288e-06,-0.04053082244070808,0.00030424881460288376,7.0,15.0,11.0,0.04435483870967742,1d,target_max_drawdown,2025,36,0,0,0.0003030138628042301,0.0003054837664015374
trend_flag_zn30,0.020166626,0.0003273726029873969,8.195577812391549e-05,-0.04053082244070808,0.0003273726029873969,8.0,14.0,11.0,0.04435483870967742,1d,target_max_drawdown,2025,36,0,0,0.0002555351961020826,0.00039921000987271126
global_m2_yoy_growth_bitcoin_bitcoin_vs_global_m2_growth,0.01666018,0.0,0.0,-0.04053082244070808,0.0,9.0,138.5,73.75,0.2973790322580645,1d,target_max_drawdown,2025,36,0,0,0.0,0.0
keltner_upper_20_zn30,0.016402032,0.0001773942856053673,0.0001693312485941168,-0.04053082244070808,0.0001773942856053673,10.0,27.0,18.5,0.07459677419354839,1d,target_max_drawdown,2025,36,0,0,2.8968902037393847e-05,0.00032581966917334074
cvar_95_30d_mm30,0.012643405,0.0,0.0,-0.04053082244070808,0.0,11.0,138.5,74.75,0.3014112903225806,1d,target_max_drawdown,2025,36,0,0,0.0,0.0
beta_btc_60d,0.010320519,5.0210434547888486e-05,1.1789415374997981e-05,-0.04053082244070808,5.0210434547888486e-05,12.0,66.0,39.0,0.15725806451612903,1d,target_max_drawdown,2025,36,0,0,3.987655634404564e-05,6.0544312751731334e-05
boll_upper_zn30,0.008748495,0.0005196146594520779,2.876107414816216e-05,-0.04053082244070808,0.0005196146594520779,13.0,8.0,10.5,0.04233870967741935,1d,target_max_drawdown,2025,36,0,0,0.0004944044664268065,0.0005448248524773492
oi_mean_oc,0.008572801,-1.5887371986739174e-07,0.0,-0.04053082244070808,-1.5887371986739174e-07,14.0,163.0,88.5,0.35685483870967744,1d,target_max_drawdown,2025,36,0,0,-1.5887371986739174e-07,-1.5887371986739174e-07
psar_zn30,0.007920393,0.00011769231228815486,0.00015702464449793068,-0.04053082244070808,0.00011769231228815486,15.0,39.0,27.0,0.10887096774193548,1d,target_max_drawdown,2025,36,0,0,-1.9945857173968794e-05,0.0002553304817502785
long_percent_ls_pos_top,0.0076581105,-3.389884113598196e-05,4.9286228259509346e-05,-0.04053082244070808,-3.389884113598196e-05,16.0,196.0,106.0,0.4274193548387097,1d,target_max_drawdown,2025,36,0,0,-7.71001249791729e-05,9.302442707208986e-06
hammer_cnt_20_mm30,0.007545301,1.1217993621318034e-06,8.484705401474116e-07,-0.04053082244070808,1.1217993621318034e-06,17.0,114.0,65.5,0.26411290322580644,1d,target_max_drawdown,2025,36,0,0,3.7808214269897735e-07,1.8655165815646295e-06
stoch_rsi_mm30,0.0074410317,6.907590138130887e-05,3.584137246462308e-05,-0.04053082244070808,6.907590138130887e-05,18.0,58.0,38.0,0.1532258064516129,1d,target_max_drawdown,2025,36,0,0,3.765955324809661e-05,0.00010049224951452112
ma20_zn30,0.007239887,0.0004534888113061172,0.00012239481115587154,-0.04053082244070808,0.0004534888113061172,19.0,11.0,15.0,0.06048387096774194,1d,target_max_drawdown,2025,36,0,0,0.0003462050291137081,0.0005607725934985263
price_position_ma200,0.006174716,0.00024765216552126294,6.628991214843917e-05,-0.04053082244070808,0.00024765216552126294,20.0,21.0,20.5,0.08266129032258064,1d,target_max_drawdown,2025,36,0,0,0.0001895464956049945,0.00030575783543753136
correlation_gld,0.0060343454,0.0004537560918078429,0.00045467357935596235,-0.04053082244070808,0.0004537560918078429,21.0,10.0,15.5,0.0625,1d,target_max_drawdown,2025,36,0,0,5.521712765071675e-05,0.0008522950559649691
ret_kurt_30d,0.005798578,-0.0002736050621098149,5.101072484534786e-05,-0.04053082244070808,-0.0002736050621098149,22.0,241.0,131.5,0.530241935483871,1d,target_max_drawdown,2025,36,0,0,-0.0003183179338574231,-0.0002288921903622067
distance_to_resistance_zn30,0.005097399,0.0004447847051326448,0.0002783213598800457,-0.04053082244070808,0.0004447847051326448,23.0,12.0,17.5,0.07056451612903226,1d,target_max_drawdown,2025,36,0,0,0.00020082527686211458,0.000688744133403175
ahr999_value_ahr999,0.004658796,0.0,0.0,-0.04053082244070808,0.0,24.0,138.5,81.25,0.3276209677419355,1d,target_max_drawdown,2025,36,0,0,0.0,0.0
beta_btc_60d_zn30,0.0046538077,0.00010430310418683281,7.044613305647103e-05,-0.04053082244070808,0.00010430310418683281,25.0,43.0,34.0,0.13709677419354838,1d,target_max_drawdown,2025,36,0,0,4.255434601845723e-05,0.0001660518623552084
plus_di,0.004449034,-0.00072920876254471,0.0002560214261834908,-0.04053082244070808,-0.00072920876254471,26.0,248.0,137.0,0.5524193548387096,1d,target_max_drawdown,2025,36,0,0,-0.0009536214371006601,-0.0005047960879887598
distance_to_resistance_mm30,0.0044364524,0.00048665389680199874,9.977854691708015e-05,-0.04053082244070808,0.00048665389680199874,27.0,9.0,18.0,0.07258064516129033,1d,target_max_drawdown,2025,36,0,0,0.0003991941442697234,0.0005741136493342741
volume_profile_lvn_mm30,0.004084076,-4.571215989798844e-05,4.249556729097603e-05,-0.04053082244070808,-4.571215989798844e-05,28.0,208.0,118.0,0.47580645161290325,1d,target_max_drawdown,2025,36,0,0,-8.296116696236371e-05,-8.46315283361316e-06
cvar_95_30d,0.0040058238,1.0740949006575462e-05,3.1856976260284935e-05,-0.04053082244070808,1.0740949006575462e-05,29.0,96.0,62.5,0.25201612903225806,1d,target_max_drawdown,2025,36,0,0,-1.718292186785744e-05,3.866481988100837e-05
bitcoin_dominance_bitcoin_bitcoin_dominance,0.003982153,-0.0004337034308364712,0.0,-0.04053082244070808,-0.0004337034308364712,30.0,246.0,138.0,0.5564516129032258,1d,target_max_drawdown,2025,36,0,0,-0.0004337034308364712,-0.0004337034308364712
mfi,0.0038341344,-4.9640287099057824e-05,0.00019229364141102112,-0.04053082244070808,-4.9640287099057824e-05,31.0,210.0,120.5,0.48588709677419356,1d,target_max_drawdown,2025,36,0,0,-0.00021819309540277443,0.0001189125212046588
ret_skew_30d_mm30,0.0038294303,-6.0509044553937186e-05,0.00014223670988718624,-0.04053082244070808,-6.0509044553937186e-05,32.0,221.0,126.5,0.5100806451612904,1d,target_max_drawdown,2025,36,0,0,-0.00018518501781777382,6.416692870989945e-05
low_mm30,0.0036896544,0.0016555603647884372,6.564597619314109e-05,-0.04053082244070808,0.0016555603647884372,33.0,4.0,18.5,0.07459677419354839,1d,target_max_drawdown,2025,36,0,0,0.0015980191296232963,0.0017131015999535782
var_95_30d_mm30,0.0036883964,-0.0001227273164549389,3.9601841828684165e-06,-0.04053082244070808,-0.0001227273164549389,34.0,233.0,133.5,0.5383064516129032,1d,target_max_drawdown,2025,36,0,0,-0.0001261985709411737,-0.00011925606196870412
cmf_zn30,0.003621119,-6.121947158006791e-06,5.5690521894652146e-05,-0.04053082244070808,-6.121947158006791e-06,35.0,171.0,103.0,0.4153225806451613,1d,target_max_drawdown,2025,36,0,0,-5.493684188028876e-05,4.269294756427518e-05
ewmavolatility,0.0035940025,-4.968383344096105e-05,6.726317692471382e-05,-0.04053082244070808,-4.968383344096105e-05,36.0,211.0,123.5,0.49798387096774194,1d,target_max_drawdown,2025,36,0,0,-0.00010864260754757314,9.274940665651044e-06
cci_mm30,0.0033630265,0.0002894623172659691,0.0002170830149400153,-0.04053082244070808,0.0002894623172659691,37.0,16.0,26.5,0.10685483870967742,1d,target_max_drawdown,2025,36,0,0,9.91806650247103e-05,0.00047974396950722795
vwap_zn30,0.0033573778,-0.00024031456797485445,4.940007075895333e-05,-0.04053082244070808,-0.00024031456797485445,38.0,240.0,139.0,0.5604838709677419,1d,target_max_drawdown,2025,36,0,0,-0.0002836156391684996,-0.0001970134967812093
distance_to_support_mm30,0.0032686251,-0.00010072526026534967,4.640037510855842e-05,-0.04053082244070808,-0.00010072526026534967,39.0,231.0,135.0,0.5443548387096774,1d,target_max_drawdown,2025,36,0,0,-0.0001413969822916462,-6.0053538239053156e-05
taker_imbalance_z,0.0030665982,3.9647134789144725e-05,1.0831024116650244e-05,-0.04053082244070808,3.9647134789144725e-05,40.0,74.0,57.0,0.22983870967741934,1d,target_max_drawdown,2025,36,0,0,3.015332356236306e-05,4.914094601592639e-05
active_address_count_bitcoin_active_addresses,0.0029925504,9.100099872157152e-05,7.518489694209895e-05,-0.04053082244070808,9.100099872157152e-05,41.0,52.0,46.5,0.1875,1d,target_max_drawdown,2025,36,0,0,2.5098530867582596e-05,0.00015690346657556045
distance_to_support,0.0029266144,-9.432303848832812e-05,0.00012937626066831102,-0.04053082244070808,-9.432303848832812e-05,42.0,229.0,135.5,0.5463709677419355,1d,target_max_drawdown,2025,36,0,0,-0.00020772633099172585,1.90802540150696e-05
mfi_zn30,0.0028610146,0.00012599228834875854,2.5755420904922346e-05,-0.04053082244070808,0.00012599228834875854,43.0,34.0,38.5,0.15524193548387097,1d,target_max_drawdown,2025,36,0,0,0.00010341666655120854,0.00014856791014630853
var_95_30d_zn30,0.0028416305,-0.00014481534584519505,2.0113385066125845e-05,-0.04053082244070808,-0.00014481534584519505,44.0,235.0,139.5,0.5625,1d,target_max_drawdown,2025,36,0,0,-0.00016244550518126576,-0.00012718518650912434
price_position_ma200_diff1,0.0027806507,-0.0006429611519706516,0.00020164637125962354,-0.04053082244070808,-0.0006429611519706516,45.0,247.0,146.0,0.5887096774193549,1d,target_max_drawdown,2025,36,0,0,-0.0008197119894433015,-0.0004662103144980018
obv_slope_14_zn30,0.0026966978,-5.0171245606128735e-05,5.130130448020074e-05,-0.04053082244070808,-5.0171245606128735e-05,46.0,212.0,129.0,0.5201612903225806,1d,target_max_drawdown,2025,36,0,0,-9.513882163376893e-05,-5.203669578488538e-06
support_level_20_mm30,0.0026170237,0.0001093202262468923,0.0,-0.04053082244070808,0.0001093202262468923,47.0,41.0,44.0,0.1774193548387097,1d,target_max_drawdown,2025,36,0,0,0.0001093202262468923,0.0001093202262468923
interest_rate_borrow_interest_rate_binance,0.0024526333,-6.193752138013153e-06,1.6075714157021525e-05,-0.04053082244070808,-6.193752138013153e-06,48.0,172.0,110.0,0.4435483870967742,1d,target_max_drawdown,2025,36,0,0,-2.0284736877659847e-05,7.897232601633542e-06
net_unpnl_bitcoin_bitcoin_net_unrealized_profit_loss,0.0023565073,2.455447248830844e-06,2.5462436225352885e-07,-0.04053082244070808,2.455447248830844e-06,49.0,111.0,80.0,0.3225806451612903,1d,target_max_drawdown,2025,36,0,0,2.232259154802087e-06,2.6786353428596014e-06
altcoin_index_index,0.0022799799,3.708117658031279e-05,1.4532654376376705e-05,-0.04053082244070808,3.708117658031279e-05,50.0,76.0,63.0,0.2540322580645161,1d,target_max_drawdown,2025,36,0,0,2.4342743373310247e-05,4.981960978731533e-05
trendline_slope_20,0.002209571,-0.0001776695275525181,6.413765006127233e-05,-0.04053082244070808,-0.0001776695275525181,51.0,236.0,143.5,0.5786290322580645,1d,target_max_drawdown,2025,36,0,0,-0.0002338886565705247,-0.00012145039853451149
cloud_thickness_zn30,0.0022020186,9.899757796460046e-05,5.923562176641884e-05,-0.04053082244070808,9.899757796460046e-05,52.0,46.0,49.0,0.1975806451612903,1d,target_max_drawdown,2025,36,0,0,4.707526619660241e-05,0.0001509198897325985
