feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
ppo,0.31651834,0.013957673063013779,0.00010814039737373512,-0.01988070487432377,0.013957673063013779,1.0,1.0,1.0,0.004032258064516129,4h,target_max_drawdown,2025,36,0,0,0.013862883825394306,0.014052462300633251
keltner_upper_20_mm30,0.08845467,0.005211260378403049,0.00013372903818708142,-0.01988070487432377,0.005211260378403049,2.0,3.0,2.5,0.010080645161290322,4h,target_max_drawdown,2025,36,0,0,0.005094041708181873,0.005328479048624225
rolling_volatility,0.07593154,0.00026414979463523016,8.485805407712072e-05,-0.01988070487432377,0.00026414979463523016,3.0,14.0,8.5,0.034274193548387094,4h,target_max_drawdown,2025,36,0,0,0.00018976843071215048,0.0003385311585583098
distance_to_resistance,0.06329615,0.013270175910451033,0.000952030777002577,-0.01988070487432377,0.013270175910451033,4.0,2.0,3.0,0.012096774193548387,4h,target_max_drawdown,2025,36,0,0,0.012435684141103548,0.014104667679798517
cvar_95_30d,0.051842794,3.995445864977964e-06,2.1285728505007872e-05,-0.01988070487432377,3.995445864977964e-06,5.0,114.0,59.5,0.2399193548387097,4h,target_max_drawdown,2025,36,0,0,-1.4662317803040646e-05,2.2653209532996573e-05
net_unpnl_bitcoin_bitcoin_net_unrealized_profit_loss,0.04578298,-1.2530229811028026e-07,0.0,-0.01988070487432377,-1.2530229811028026e-07,6.0,162.0,84.0,0.3387096774193548,4h,target_max_drawdown,2025,36,0,0,-1.2530229811028026e-07,-1.2530229811028026e-07
resistance_level_20_mm30,0.035735883,0.0039190279038227045,3.235841803822274e-05,-0.01988070487432377,0.0039190279038227045,7.0,4.0,5.5,0.02217741935483871,4h,target_max_drawdown,2025,36,0,0,0.0038906644998505983,0.00394739130779481
short_term_holder_supply_bitcoin_bitcoin_short_term_holder_supply,0.026598051,5.392250649671054e-06,9.528075767757799e-07,-0.01988070487432377,5.392250649671054e-06,8.0,105.0,56.5,0.22782258064516128,4h,target_max_drawdown,2025,36,0,0,4.557077985301237e-06,6.227423314040871e-06
ichimoku_span_b_mm30,0.020719007,6.611130971105605e-07,6.968243724278895e-07,-0.01988070487432377,6.611130971105605e-07,9.0,135.0,72.0,0.2903225806451613,4h,target_max_drawdown,2025,36,0,0,5.0319604380623185e-08,1.2719065898404978e-06
beta_btc_60d,0.013757877,-8.412802376599055e-05,1.75845614392097e-05,-0.01988070487432377,-8.412802376599055e-05,10.0,247.0,128.5,0.5181451612903226,4h,target_max_drawdown,2025,36,0,0,-9.954157146116756e-05,-6.871447607081354e-05
bubble_index_bitcoin_bubble_index,0.0114973895,0.0,0.0,-0.01988070487432377,0.0,11.0,150.5,80.75,0.32560483870967744,4h,target_max_drawdown,2025,36,0,0,0.0,0.0
var_95_30d,0.009128661,-0.00013081599160880765,1.9864254727350326e-05,-0.01988070487432377,-0.00013081599160880765,12.0,248.0,130.0,0.5241935483870968,4h,target_max_drawdown,2025,36,0,0,-0.0001482277785747566,-0.00011340420464285872
oi_mean_oc,0.006862083,-7.457195319790499e-08,1.0032298924051725e-08,-0.01988070487432377,-7.457195319790499e-08,13.0,161.0,87.0,0.35080645161290325,4h,target_max_drawdown,2025,36,0,0,-8.336565092489784e-08,-6.577825547091214e-08
ewmavolatility,0.0067113237,-6.558384488475829e-05,3.2241919396958446e-05,-0.01988070487432377,-6.558384488475829e-05,14.0,244.0,129.0,0.5201612903225806,4h,target_max_drawdown,2025,36,0,0,-9.384513329545218e-05,-3.73225564740644e-05
trend_flag_zn30,0.006579003,0.00046047352081177715,9.551605370561344e-05,-0.01988070487432377,0.00046047352081177715,15.0,7.0,11.0,0.04435483870967742,4h,target_max_drawdown,2025,36,0,0,0.0003767500083126944,0.0005441970333108599
distance_to_resistance_mm30,0.006242449,0.0004290825051637616,8.428494271077951e-05,-0.01988070487432377,0.0004290825051637616,16.0,8.0,12.0,0.04838709677419355,4h,target_max_drawdown,2025,36,0,0,0.0003552034955024181,0.0005029615148251051
correlation_gld,0.0059057884,0.00020027485443976646,6.76276988709882e-06,-0.01988070487432377,0.00020027485443976646,17.0,17.0,17.0,0.06854838709677419,4h,target_max_drawdown,2025,36,0,0,0.00019434702527173977,0.00020620268360779315
new_address_count_bitcoin_new_addresses,0.00509339,2.0164761517954542e-05,9.933346268615657e-06,-0.01988070487432377,2.0164761517954542e-05,18.0,74.0,46.0,0.18548387096774194,4h,target_max_drawdown,2025,36,0,0,1.1457799617692493e-05,2.887172341821659e-05
resistance_level_20_zn30,0.004108258,0.00032933620777039557,1.1470187750000744e-05,-0.01988070487432377,0.00032933620777039557,19.0,10.0,14.5,0.05846774193548387,4h,target_max_drawdown,2025,36,0,0,0.00031928214491711026,0.00033939027062368087
taker_imbalance_z,0.00368072,2.1268703437844066e-05,6.520083817112258e-05,-0.01988070487432377,2.1268703437844066e-05,20.0,71.0,45.5,0.18346774193548387,4h,target_max_drawdown,2025,36,0,0,-3.5882351047668446e-05,7.841975792335657e-05
sth_sopr_bitcoin_sth_sopr,0.0034661202,-3.0019020447339533e-05,1.3289602890918798e-05,-0.01988070487432377,-3.0019020447339533e-05,21.0,229.0,125.0,0.5040322580645161,4h,target_max_drawdown,2025,36,0,0,-4.1667870986903816e-05,-1.837016990777525e-05
distance_to_support_mm30,0.003312371,5.784594760868677e-06,5.0160959251445706e-05,-0.01988070487432377,5.784594760868677e-06,22.0,103.0,62.5,0.25201612903225806,4h,target_max_drawdown,2025,36,0,0,-3.8183424602640506e-05,4.9752614124377864e-05
ppo_diff1,0.0031714302,7.477368457508432e-06,2.7595511029957004e-06,-0.01988070487432377,7.477368457508432e-06,23.0,95.0,59.0,0.23790322580645162,4h,target_max_drawdown,2025,36,0,0,5.058515266864732e-06,9.896221648152133e-06
boll_upper_mm30,0.0030116283,0.0003292986761123863,2.1898182117000824e-05,-0.01988070487432377,0.0003292986761123863,24.0,11.0,17.5,0.07056451612903226,4h,target_max_drawdown,2025,36,0,0,0.0003101040731838509,0.0003484932790409217
correlation_qqq,0.0029044086,1.892421670026956e-05,4.850431222338678e-06,-0.01988070487432377,1.892421670026956e-05,25.0,76.0,50.5,0.20362903225806453,4h,target_max_drawdown,2025,36,0,0,1.467262627840158e-05,2.3175807122137538e-05
beta_btc_60d_mm30,0.0028908558,6.133523800269658e-06,3.9077461729623845e-06,-0.01988070487432377,6.133523800269658e-06,26.0,100.0,63.0,0.2540322580645161,4h,target_max_drawdown,2025,36,0,0,2.7082332562987092e-06,9.558814344240606e-06
long_percent_ls_acc_top,0.0027571411,-2.3924233453178484e-05,2.1429756836098656e-05,-0.01988070487432377,-2.3924233453178484e-05,27.0,226.0,126.5,0.5100806451612904,4h,target_max_drawdown,2025,36,0,0,-4.2708243519686985e-05,-5.14022338666998e-06
google_trend_percent_bitcoin_bubble_index,0.0027264613,0.0,0.0,-0.01988070487432377,0.0,28.0,150.5,89.25,0.3598790322580645,4h,target_max_drawdown,2025,36,0,0,0.0,0.0
minus_di,0.0026744716,0.00033306849645283257,2.2323775082804257e-05,-0.01988070487432377,0.00033306849645283257,29.0,9.0,19.0,0.07661290322580645,4h,target_max_drawdown,2025,36,0,0,0.00031350084484180256,0.0003526361480638626
donchian_high_20,0.0026089314,-1.8027056058467217e-07,1.95367959473845e-06,-0.01988070487432377,-1.8027056058467217e-07,30.0,163.0,96.5,0.38911290322580644,4h,target_max_drawdown,2025,36,0,0,-1.8927462295797227e-06,1.5322051084103782e-06
distance_to_support_zn30,0.0025319569,9.320067807847624e-05,1.551455372181693e-05,-0.01988070487432377,9.320067807847624e-05,31.0,28.0,29.5,0.11895161290322581,4h,target_max_drawdown,2025,36,0,0,7.960157214755467e-05,0.0001067997840093978
