feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
volume_spike_near_resist,0.027462296,2.422038511069001e-06,1.6614040085698283e-06,-0.006552369245072743,2.422038511069001e-06,1.0,78.0,39.5,0.20680628272251309,1h,target_logreturn,2025,36,0,0,9.657536889779117e-07,3.8783233331600905e-06
vwap_mm30,0.025459247,0.0,0.0,-0.006552369245072743,0.0,2.0,122.5,62.25,0.32591623036649214,1h,target_logreturn,2025,36,0,0,0.0,0.0
cvar_95_30d,0.022451006,0.0008671965686455421,1.2988444919512082e-05,-0.006552369245072743,0.0008671965686455421,3.0,3.0,3.0,0.015706806282722512,1h,target_logreturn,2025,36,0,0,0.0008558116947068221,0.0008785814425842621
atr_ratio_price,0.019014224,0.0005812389447671295,3.099178160873355e-05,-0.006552369245072743,0.0005812389447671295,4.0,5.0,4.5,0.02356020942408377,1h,target_logreturn,2025,36,0,0,0.0005540734504421148,0.0006084044390921443
ewmavolatility,0.016398232,0.004022163927446068,3.744421313063975e-05,-0.006552369245072743,0.004022163927446068,5.0,1.0,3.0,0.015706806282722512,1h,target_logreturn,2025,36,0,0,0.003989342627523821,0.004054985227368316
return_skewness,0.015421627,0.0018971540366385826,1.1954013474520339e-05,-0.006552369245072743,0.0018971540366385826,6.0,2.0,4.0,0.020942408376963352,1h,target_logreturn,2025,36,0,0,0.0018866758818392561,0.0019076321914379092
rolling_volatility,0.014376415,8.016478036708668e-05,8.097537632138587e-06,-0.006552369245072743,8.016478036708668e-05,7.0,9.0,8.0,0.041884816753926704,1h,target_logreturn,2025,36,0,0,7.306697568552344e-05,8.726258504864991e-05
r_sym,0.01031535,0.00012316364610997707,7.248337851205632e-06,-0.006552369245072743,0.00012316364610997707,8.0,7.0,7.5,0.03926701570680628,1h,target_logreturn,2025,36,0,0,0.00011681019785557829,0.00012951709436437585
macd_bullish_cross,0.008689712,4.913433055970043e-07,2.668063783336032e-07,-0.006552369245072743,4.913433055970043e-07,9.0,111.0,60.0,0.31413612565445026,1h,target_logreturn,2025,36,0,0,2.574772036734945e-07,7.252094075205141e-07
distance_to_resistance_zn30,0.008682423,-2.0892601778666616e-06,2.110323010452411e-06,-0.006552369245072743,-2.0892601778666616e-06,10.0,161.0,85.5,0.4476439790575916,1h,target_logreturn,2025,36,0,0,-3.9390398545612684e-06,-2.394805011720543e-07
support_level_20_mm30,0.008618158,-2.3936070605613813e-07,9.99573038520673e-07,-0.006552369245072743,-2.3936070605613813e-07,11.0,134.0,72.5,0.3795811518324607,1h,target_logreturn,2025,36,0,0,-1.1155251049985686e-06,6.368036928862922e-07
var_95_30d_mm30,0.008293071,4.870863499217837e-06,9.074612538047844e-07,-0.006552369245072743,4.870863499217837e-06,12.0,52.0,32.0,0.16753926701570682,1h,target_logreturn,2025,36,0,0,4.075438639439599e-06,5.666288358996074e-06
volume_profile_lvn_mm30,0.008264019,3.962033121802933e-06,1.0511222571836583e-06,-0.006552369245072743,3.962033121802933e-06,13.0,62.0,37.5,0.19633507853403143,1h,target_logreturn,2025,36,0,0,3.0406838404704677e-06,4.883382403135398e-06
dow_cos_mm30,0.008004181,2.6700805554440157e-07,2.8469988375695327e-07,-0.006552369245072743,2.6700805554440157e-07,14.0,114.0,64.0,0.33507853403141363,1h,target_logreturn,2025,36,0,0,1.745760458380199e-08,5.165585065050011e-07
ppo_zn30,0.007941498,6.318724002925269e-06,2.8346424882444333e-06,-0.006552369245072743,6.318724002925269e-06,15.0,44.0,29.5,0.1544502617801047,1h,target_logreturn,2025,36,0,0,3.834050311040778e-06,8.803397694809759e-06
atr_zn30,0.007883174,8.418326903978854e-06,2.950306305480886e-06,-0.006552369245072743,8.418326903978854e-06,16.0,38.0,27.0,0.14136125654450263,1h,target_logreturn,2025,36,0,0,5.832269406206258e-06,1.100438440175145e-05
obv_diff1_zn30,0.0078108315,8.95676570919976e-06,3.924231145034713e-06,-0.006552369245072743,8.95676570919976e-06,17.0,34.0,25.5,0.13350785340314136,1h,target_logreturn,2025,36,0,0,5.517025450109734e-06,1.2396505968289786e-05
ret_skew_30d,0.0077347327,0.0007022476838650759,1.930955423005209e-05,-0.006552369245072743,0.0007022476838650759,18.0,4.0,11.0,0.05759162303664921,1h,target_logreturn,2025,36,0,0,0.0006853221133226188,0.000719173254407533
ret_kurt_30d_mm30,0.007406076,5.530279915376586e-06,1.4860208910739959e-06,-0.006552369245072743,5.530279915376586e-06,19.0,50.0,34.5,0.1806282722513089,1h,target_logreturn,2025,36,0,0,4.2277251738334905e-06,6.832834656919682e-06
dow_sin,0.007157682,2.286554317922941e-06,9.840197073555614e-07,-0.006552369245072743,2.286554317922941e-06,20.0,80.0,50.0,0.2617801047120419,1h,target_logreturn,2025,36,0,0,1.424023014839119e-06,3.149085621006763e-06
distance_to_support,0.0070605944,1.8197936794987248e-05,4.214672480295473e-06,-0.006552369245072743,1.8197936794987248e-05,21.0,20.0,20.5,0.10732984293193717,1h,target_logreturn,2025,36,0,0,1.4503613480802627e-05,2.189226010917187e-05
distance_to_resistance,0.0067125256,-4.656939846480954e-06,1.8334249149524935e-06,-0.006552369245072743,-4.656939846480954e-06,22.0,172.0,97.0,0.5078534031413613,1h,target_logreturn,2025,36,0,0,-6.264007641139368e-06,-3.04987205182254e-06
obv_zn30,0.0066395327,1.1112541326081804e-06,1.93036571074865e-06,-0.006552369245072743,1.1112541326081804e-06,23.0,99.0,61.0,0.3193717277486911,1h,target_logreturn,2025,36,0,0,-5.807860160539413e-07,2.803294281270302e-06
cci_mm30,0.0065540085,5.0552552645573116e-05,4.968761938802665e-05,-0.006552369245072743,5.0552552645573116e-05,24.0,13.0,18.5,0.0968586387434555,1h,target_logreturn,2025,36,0,0,6.999433965601598e-06,9.410567132554464e-05
amplitude_range_zn30,0.0062805214,2.2170098929107097e-05,7.391461813185293e-06,-0.006552369245072743,2.2170098929107097e-05,25.0,18.0,21.5,0.112565445026178,1h,target_logreturn,2025,36,0,0,1.569119699069564e-05,2.8649000867518554e-05
volume_mm30,0.0062783705,8.685143647620304e-06,3.3522785055483847e-06,-0.006552369245072743,8.685143647620304e-06,26.0,36.0,31.0,0.16230366492146597,1h,target_logreturn,2025,36,0,0,5.746741981396607e-06,1.1623545313844e-05
cvar_95_30d_zn30,0.0062748445,7.106974509994476e-05,1.2824435680378675e-06,-0.006552369245072743,7.106974509994476e-05,27.0,10.0,18.5,0.0968586387434555,1h,target_logreturn,2025,36,0,0,6.994563374973227e-05,7.219385645015726e-05
logreturn_pct_rank,0.0062630903,3.716572493572476e-07,8.391795510283817e-07,-0.006552369245072743,3.716572493572476e-07,28.0,113.0,70.5,0.36910994764397903,1h,target_logreturn,2025,36,0,0,-3.639160590422207e-07,1.1072305577567159e-06
volume_spike_near_support,0.0060784025,1.7360853931926158e-06,1.853701475928911e-06,-0.006552369245072743,1.7360853931926158e-06,29.0,89.0,59.0,0.3089005235602094,1h,target_logreturn,2025,36,0,0,1.1124440920647163e-07,3.36092637717876e-06
tsi_mm30,0.00604941,-1.6995048191800062e-06,1.5177974329066676e-06,-0.006552369245072743,-1.6995048191800062e-06,30.0,155.0,92.5,0.48429319371727747,1h,target_logreturn,2025,36,0,0,-3.0299129277131683e-06,-3.6909671064684425e-07
tail_bias_norm,0.0060159336,-1.0250865629148412e-05,6.171862357051824e-06,-0.006552369245072743,-1.0250865629148412e-05,31.0,186.0,108.5,0.5680628272251309,1h,target_logreturn,2025,36,0,0,-1.5660741510179277e-05,-4.840989748117549e-06
atr_ratio_range,0.005970855,-5.53157314207818e-06,4.5104537588705275e-06,-0.006552369245072743,-5.53157314207818e-06,32.0,176.0,104.0,0.5445026178010471,1h,target_logreturn,2025,36,0,0,-9.485160178046125e-06,-1.5779861061102347e-06
engulfing_up_cnt_20_mm30,0.00596102,-4.87565764505319e-06,1.5593230093282435e-06,-0.006552369245072743,-4.87565764505319e-06,33.0,173.0,103.0,0.5392670157068062,1h,target_logreturn,2025,36,0,0,-6.2424645261662855e-06,-3.5088507639400933e-06
dow_sin_zn30,0.005940322,7.51071725413853e-07,3.4302178693318143e-06,-0.006552369245072743,7.51071725413853e-07,34.0,107.0,70.5,0.36910994764397903,1h,target_logreturn,2025,36,0,0,-2.255646805302634e-06,3.7577902561303406e-06
volume_profile_hvn_mm30,0.005914552,-4.864068413445305e-07,1.7858636969272686e-07,-0.006552369245072743,-4.864068413445305e-07,35.0,138.0,86.5,0.45287958115183247,1h,target_logreturn,2025,36,0,0,-6.42944696239766e-07,-3.298689864492951e-07
cmf_mm30,0.0058862907,8.252773809618031e-06,3.159317682808923e-06,-0.006552369245072743,8.252773809618031e-06,36.0,40.0,38.0,0.19895287958115182,1h,target_logreturn,2025,36,0,0,5.483509761917106e-06,1.1022037857318956e-05
volume_percentile,0.005776725,2.995992062029395e-05,8.277149315781853e-06,-0.006552369245072743,2.995992062029395e-05,37.0,15.0,26.0,0.13612565445026178,1h,target_logreturn,2025,36,0,0,2.2704679356532345e-05,3.7215161884055554e-05
beta_btc_60d_mm30,0.0057619144,-1.98151108755755e-07,2.130920350756999e-06,-0.006552369245072743,-1.98151108755755e-07,38.0,132.0,85.0,0.44502617801047123,1h,target_logreturn,2025,36,0,0,-2.06598515025645e-06,1.6696829327449403e-06
trend_flag_slope_24h,0.005726645,9.976931522893626e-06,6.028089300581838e-06,-0.006552369245072743,9.976931522893626e-06,39.0,32.0,35.5,0.18586387434554974,1h,target_logreturn,2025,36,0,0,4.6930782822818864e-06,1.5260784763505366e-05
donchian_high_20_zn30,0.005661699,-1.0468203033767686e-05,1.9952661557431273e-06,-0.006552369245072743,-1.0468203033767686e-05,40.0,187.0,113.5,0.5942408376963351,1h,target_logreturn,2025,36,0,0,-1.2217130930686642e-05,-8.71927513684873e-06
cci_zn30,0.0056584114,1.255443326314727e-06,2.4162195563157676e-06,-0.006552369245072743,1.255443326314727e-06,41.0,98.0,69.5,0.36387434554973824,1h,target_logreturn,2025,36,0,0,-8.624664948679564e-07,3.3733531474974105e-06
support_level_20_zn30,0.0056509017,3.0188518165517875e-06,2.585832022355099e-06,-0.006552369245072743,3.0188518165517875e-06,42.0,72.0,57.0,0.29842931937172773,1h,target_logreturn,2025,36,0,0,7.522701138421391e-07,5.285433519261436e-06
boll_upper_mm30,0.0056430837,3.3572168974729116e-06,3.2966173728008623e-06,-0.006552369245072743,3.3572168974729116e-06,43.0,67.0,55.0,0.2879581151832461,1h,target_logreturn,2025,36,0,0,4.6760436524823024e-07,6.2468294296975934e-06
