feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
ppo,0.44697443,0.01335299049557026,0.00038827237466246435,-0.008874967697297575,0.01335299049557026,1.0,1.0,1.0,0.005235602094240838,1h,target_max_drawdown,2025,36,0,0,0.01301265475354629,0.013693326237594231
distance_to_resistance,0.11825232,0.008446574366015914,0.00037122055666013646,-0.008874967697297575,0.008446574366015914,2.0,2.0,2.0,0.010471204188481676,1h,target_max_drawdown,2025,36,0,0,0.008121185201475662,0.008771963530556166
resistance_level_20_mm30,0.11814342,0.0035712069512842323,2.9370433505506555e-05,-0.008874967697297575,0.0035712069512842323,3.0,3.0,3.0,0.015706806282722512,1h,target_max_drawdown,2025,36,0,0,0.003545462631232228,0.0035969512713362366
rolling_volatility,0.07260339,0.0005147228993716508,1.8936933490865027e-05,-0.008874967697297575,0.0005147228993716508,4.0,7.0,5.5,0.028795811518324606,1h,target_max_drawdown,2025,36,0,0,0.000498123945307832,0.0005313218534354697
keltner_upper_20_mm30,0.032064322,0.0013354177359094159,4.643796962304138e-05,-0.008874967697297575,0.0013354177359094159,5.0,4.0,4.5,0.02356020942408377,1h,target_max_drawdown,2025,36,0,0,0.0012947130608382531,0.0013761224109805786
ppo_slope_24h,0.016153116,0.0009493230467441556,1.5565196167309763e-05,-0.008874967697297575,0.0009493230467441556,6.0,5.0,5.5,0.028795811518324606,1h,target_max_drawdown,2025,36,0,0,0.0009356795507525718,0.0009629665427357394
ma20_zn30,0.009969822,0.0002664567363773591,3.805287441857686e-05,-0.008874967697297575,0.0002664567363773591,7.0,15.0,11.0,0.05759162303664921,1h,target_max_drawdown,2025,36,0,0,0.00023310192131319245,0.0002998115514415257
var_95_30d,0.009453154,3.697457370975543e-05,3.90297586222899e-06,-0.008874967697297575,3.697457370975543e-05,8.0,43.0,25.5,0.13350785340314136,1h,target_max_drawdown,2025,36,0,0,3.355346452750136e-05,4.03956828920095e-05
trendline_slope_20_zn30,0.006294718,0.0008052204744020023,6.0179392529683265e-05,-0.008874967697297575,0.0008052204744020023,9.0,6.0,7.5,0.03926701570680628,1h,target_max_drawdown,2025,36,0,0,0.0007524709110859246,0.0008579700377180801
engulfing_up_cnt_20,0.0059925094,-5.293201791274279e-06,2.0039071551261975e-06,-0.008874967697297575,-5.293201791274279e-06,10.0,180.0,95.0,0.4973821989528796,1h,target_max_drawdown,2025,36,0,0,-7.049703858102753e-06,-3.536699724445805e-06
obv,0.005926628,3.262233250714286e-07,1.7260967407725583e-07,-0.008874967697297575,3.262233250714286e-07,11.0,142.0,76.5,0.4005235602094241,1h,target_max_drawdown,2025,36,0,0,1.749242748655843e-07,4.775223752772729e-07
distance_to_resistance_mm30,0.0053288913,0.00022214340426206548,2.8341170577288156e-05,-0.008874967697297575,0.00022214340426206548,12.0,18.0,15.0,0.07853403141361257,1h,target_max_drawdown,2025,36,0,0,0.00019730127294475402,0.00024698553557937693
boll_bandwidth,0.0043423637,0.00010905721927725286,6.4531769789321585e-06,-0.008874967697297575,0.00010905721927725286,13.0,21.0,17.0,0.08900523560209424,1h,target_max_drawdown,2025,36,0,0,0.00010340076025812708,0.00011471367829637864
volume_spike_near_resist,0.004224779,1.1404429787649495e-07,1.9319291723045315e-07,-0.008874967697297575,1.1404429787649495e-07,14.0,144.0,79.0,0.41361256544502617,1h,target_max_drawdown,2025,36,0,0,-5.529676043742822e-08,2.8338535619041813e-07
donchian_high_20_zn30,0.0035468508,0.00039537241152849055,7.386787660272178e-06,-0.008874967697297575,0.00039537241152849055,15.0,10.0,12.5,0.06544502617801047,1h,target_max_drawdown,2025,36,0,0,0.00038889760666575027,0.0004018472163912308
r_sym,0.0033514148,0.000235184856014865,2.453794105131365e-05,-0.008874967697297575,0.000235184856014865,16.0,17.0,16.5,0.08638743455497382,1h,target_max_drawdown,2025,36,0,0,0.00021367640236116597,0.000256693309668564
cci_zn30,0.003044083,2.607633627913393e-05,1.119548990043547e-05,-0.008874967697297575,2.607633627913393e-05,17.0,58.0,37.5,0.19633507853403143,1h,target_max_drawdown,2025,36,0,0,1.6263056707289794e-05,3.5889615850978065e-05
ret_kurt_30d,0.003006621,1.3376330197251152e-05,4.367722577317833e-06,-0.008874967697297575,1.3376330197251152e-05,18.0,84.0,51.0,0.2670157068062827,1h,target_max_drawdown,2025,36,0,0,9.547852558071797e-06,1.7204807836430508e-05
price_above_ma20,0.0028877158,4.002154289592802e-05,1.777577783626345e-06,-0.008874967697297575,4.002154289592802e-05,19.0,40.0,29.5,0.1544502617801047,1h,target_max_drawdown,2025,36,0,0,3.84634272702111e-05,4.157965852164493e-05
donchian_high_20,0.002761794,-7.215449042457384e-07,2.5578708015885018e-08,-0.008874967697297575,-7.215449042457384e-07,20.0,162.0,91.0,0.47643979057591623,1h,target_max_drawdown,2025,36,0,0,-7.439656303665923e-07,-6.991241781248845e-07
price_position_ma200,0.0027137133,2.4260100941059237e-05,2.8602963405217725e-06,-0.008874967697297575,2.4260100941059237e-05,21.0,60.0,40.5,0.21204188481675393,1h,target_max_drawdown,2025,36,0,0,2.1752940656204612e-05,2.6767261225913862e-05
low_mm30,0.0025903285,0.0003300133268978853,1.8631042798097414e-05,-0.008874967697297575,0.0003300133268978853,22.0,12.0,17.0,0.08900523560209424,1h,target_max_drawdown,2025,36,0,0,0.00031368249784808987,0.00034634415594768077
boll_upper_mm30,0.0025784264,0.0004826812723085289,3.20184994612832e-05,-0.008874967697297575,0.0004826812723085289,23.0,8.0,15.5,0.08115183246073299,1h,target_max_drawdown,2025,36,0,0,0.0004546158201060048,0.000510746724511053
momentum,0.0023024043,4.0345458259594125e-05,1.323579333881569e-05,-0.008874967697297575,4.0345458259594125e-05,24.0,39.0,31.5,0.1649214659685864,1h,target_max_drawdown,2025,36,0,0,2.8743773872035656e-05,5.194714264715259e-05
ichimoku_base_zn30,0.002263945,0.00033120839501866935,1.6230576978283997e-05,-0.008874967697297575,0.00033120839501866935,25.0,11.0,18.0,0.09424083769633508,1h,target_max_drawdown,2025,36,0,0,0.0003169816670311748,0.0003454351230061639
boll_lower_mm30,0.002239804,-7.449952963498041e-06,7.75531081238559e-06,-0.008874967697297575,-7.449952963498041e-06,26.0,187.0,106.5,0.5575916230366492,1h,target_max_drawdown,2025,36,0,0,-1.4247782611446295e-05,-6.521233155497888e-07
high_mm30,0.002068,0.00018720035918961056,7.98761469245736e-06,-0.008874967697297575,0.00018720035918961056,27.0,20.0,23.5,0.12303664921465969,1h,target_max_drawdown,2025,36,0,0,0.00018019890621288954,0.00019420181216633158
ewmavolatility,0.0019316691,0.0002503756820901665,7.1464098003258145e-06,-0.008874967697297575,0.0002503756820901665,28.0,16.0,22.0,0.11518324607329843,1h,target_max_drawdown,2025,36,0,0,0.00024411157771159564,0.00025663978646873743
