feature,reason,value
target_fundflow_strength,variance,0.0
altcoin_marketcap_index,variance,0.0
tweet_count_bitcoin_bubble_index,variance,0.0
rich_available,variance,0.0
rich_quality,variance,4.930457696032824e-32
open,corr_cluster,donchian_high_20
high,corr_cluster,donchian_high_20
low,corr_cluster,donchian_high_20
close,corr_cluster,donchian_high_20
ma5,corr_cluster,donchian_high_20
ma20,corr_cluster,donchian_high_20
boll_upper,corr_cluster,donchian_high_20
boll_lower,corr_cluster,donchian_high_20
vwap,corr_cluster,donchian_high_20
donchian_low_20,corr_cluster,donchian_high_20
keltner_upper_20,corr_cluster,donchian_high_20
keltner_lower_20,corr_cluster,donchian_high_20
ichimoku_conv,corr_cluster,donchian_high_20
ichimoku_base,corr_cluster,donchian_high_20
ichimoku_span_a,corr_cluster,donchian_high_20
ichimoku_span_b,corr_cluster,donchian_high_20
psar,corr_cluster,donchian_high_20
supertrend_10_3,corr_cluster,donchian_high_20
ma200,corr_cluster,donchian_high_20
log_close,corr_cluster,donchian_high_20
pivot_point,corr_cluster,donchian_high_20
volume_profile_hvn,corr_cluster,donchian_high_20
volume_profile_lvn,corr_cluster,donchian_high_20
support_level_20,corr_cluster,donchian_high_20
resistance_level_20,corr_cluster,donchian_high_20
vol_ma,corr_cluster,volume
atr,corr_cluster,amplitude_range
boll_pctb,corr_cluster,cci
adx_scaled,corr_cluster,adx
range_flag_mm30,corr_cluster,range_flag
high_vol_flag_mm30,corr_cluster,high_vol_flag
stress_flag_mm30,corr_cluster,stress_flag
squeeze_on_mm30,corr_cluster,squeeze_on
stoch_rsi,corr_cluster,stoch_rsi_mm30
psar_flip_flag_mm30,corr_cluster,psar_flip_flag
hour_sin,corr_cluster,hour_sin_zn30
pullback_from_high,corr_cluster,distance_to_resistance
range_to_atr,corr_cluster,atr_ratio_range
open_zn30,corr_cluster,pivot_point_zn30
donchian_low_20_zn30,corr_cluster,support_level_20_zn30
donchian_high_20_zn30,corr_cluster,resistance_level_20_zn30
atr_mm30,corr_cluster,atr_zn30
trendline_slope_20_mm30,corr_cluster,trendline_slope_20_zn30
ma_diff_5_20_mm30,corr_cluster,ma_diff_5_20_zn30
