feature,period,target,tree_importance,boruta_keep,linear_coef,shap_value,tft_vsn_importance,tree_rank,linear_rank,boruta_score,score_embedded
volume,1d,target_binarytrend,0.005746140610426664,0.05,0.0,0.0,0.0,51.0,124.5,0.05,0.4695141700404859
rsi,1d,target_binarytrend,0.005733876954764128,0.0,0.0,0.0,0.0,52.0,124.5,0.0,0.4587044534412955
macd_hist,1d,target_binarytrend,0.002998865908011794,0.0,0.0,0.0,0.0,137.0,124.5,0.0,0.3898785425101215
kdj_j,1d,target_binarytrend,0.0036635813303291798,0.0,0.0,0.0,0.0,107.0,124.5,0.0,0.41417004048583
momentum,1d,target_binarytrend,0.0033899948466569185,0.0,0.0,0.0,0.0,124.0,124.5,0.0,0.4004048582995951
vol_change,1d,target_binarytrend,0.006140036508440971,0.0,0.0,0.0,0.0,47.0,124.5,0.0,0.462753036437247
obv,1d,target_binarytrend,0.007234042044728994,0.0,0.0,0.0,0.0,36.0,124.5,0.0,0.4716599190283401
cci,1d,target_binarytrend,0.0066025578416883945,0.05,0.0,0.0,0.0,40.0,124.5,0.05,0.4784210526315789
adx,1d,target_binarytrend,0.002445816993713379,0.0,0.0,0.0,0.0,159.0,124.5,0.0,0.3720647773279352
plus_di,1d,target_binarytrend,0.0013756424887105823,0.0,0.0,0.0,0.0,191.0,124.5,0.0,0.34615384615384615
minus_di,1d,target_binarytrend,0.004301324486732483,0.05,0.0,0.0,0.0,85.0,124.5,0.05,0.44198380566801615
trend_flag,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0,230.0,124.5,0.0,0.3145748987854251
boll_bandwidth,1d,target_binarytrend,0.003980147186666727,0.0,0.0,0.0,0.0,102.0,124.5,0.0,0.4182186234817814
range_flag,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0,230.0,124.5,0.0,0.3145748987854251
high_vol_flag,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0,230.0,124.5,0.0,0.3145748987854251
stress_flag,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0,230.0,124.5,0.0,0.3145748987854251
donchian_high_20,1d,target_binarytrend,0.00018544310296420008,0.0,0.0,0.0,0.0,208.0,124.5,0.0,0.33238866396761135
squeeze_on,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0,230.0,124.5,0.0,0.3145748987854251
ppo,1d,target_binarytrend,0.0035897407215088606,0.0,0.0,0.0,0.0,112.0,124.5,0.0,0.4101214574898785
tsi,1d,target_binarytrend,0.0033968426287174225,0.05,0.0,0.0,0.0,123.0,124.5,0.05,0.4112145748987855
cloud_thickness,1d,target_binarytrend,0.0040564872324466705,0.0,0.0,0.0,0.0,98.0,124.5,0.0,0.42145748987854253
heikin_ashi_trend,1d,target_binarytrend,0.004078331403434277,0.0,0.0,0.0,0.0,97.0,124.5,0.0,0.42226720647773275
ret_skew_30d,1d,target_binarytrend,0.0026053907349705696,0.0,0.0,0.0,0.0,151.0,124.5,0.0,0.3785425101214575
ret_kurt_30d,1d,target_binarytrend,0.0035339316818863153,0.0,0.0,0.0,0.0,115.0,124.5,0.0,0.4076923076923077
var_95_30d,1d,target_binarytrend,0.004798078443855047,0.0,0.0,0.0,0.0,73.0,124.5,0.0,0.4417004048582996
cvar_95_30d,1d,target_binarytrend,0.001959720393642783,0.0,0.0,0.0,0.0,176.0,124.5,0.0,0.3582995951417004
z_score_gap,1d,target_binarytrend,0.007090803701430559,0.05,0.0,0.0,0.0,37.0,124.5,0.05,0.4808502024291498
doji_ratio_20,1d,target_binarytrend,0.0005237914738245308,0.0,0.0,0.0,0.0,204.0,124.5,0.0,0.33562753036437243
hammer_cnt_20,1d,target_binarytrend,0.0019370680674910545,0.0,0.0,0.0,0.0,177.0,124.5,0.0,0.35748987854251013
