feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
dow_cos_mm30,0.07703436,-0.0023814170835888327,0.004111461880019165,-1.1306402646286975,-0.0023814170835888327,1.0,230.0,115.5,0.4657258064516129,1d,target_logsharpe_ratio,2025,36,0,0,-0.0059852723178326316,0.001222438150654966
etf_eth_net_assets_usd,0.060803115,0.0,0.0,-1.1306402646286975,0.0,2.0,133.0,67.5,0.2721774193548387,1d,target_logsharpe_ratio,2025,36,0,0,0.0,0.0
global_m2_yoy_growth_bitcoin_bitcoin_vs_global_m2_growth,0.049634796,-0.004989331403355069,0.0011943308818484076,-1.1306402646286975,-0.004989331403355069,3.0,240.0,121.5,0.4899193548387097,1d,target_logsharpe_ratio,2025,36,0,0,-0.006036208578815669,-0.003942454227894468
movcd_bitcoin_bitcoin_reserve_risk,0.0401378,0.0,0.0,-1.1306402646286975,0.0,4.0,133.0,68.5,0.2762096774193548,1d,target_logsharpe_ratio,2025,36,0,0,0.0,0.0
bitcoin_dominance_bitcoin_bitcoin_dominance,0.028783996,0.027084929150911697,0.00420647327895273,-1.1306402646286975,0.027084929150911697,5.0,1.0,3.0,0.012096774193548387,1d,target_logsharpe_ratio,2025,36,0,0,0.023397792753579998,0.030772065548243396
correlation_qqq,0.028042695,0.0030406094108009984,0.00041622012661707606,-1.1306402646286975,0.0030406094108009984,6.0,25.0,15.5,0.0625,1d,target_logsharpe_ratio,2025,36,0,0,0.0026757763840870126,0.003405442437514984
etf_eth_change_usd,0.022846637,-0.003334723998082989,0.0019711017551714543,-1.1306402646286975,-0.003334723998082989,7.0,232.0,119.5,0.48185483870967744,1d,target_logsharpe_ratio,2025,36,0,0,-0.005062470864014936,-0.0016069771321510415
etf_btc_change_usd,0.022464212,0.024031963872973572,0.012806422871237958,-1.1306402646286975,0.024031963872973572,8.0,2.0,5.0,0.020161290322580645,1d,target_logsharpe_ratio,2025,36,0,0,0.012806639294204697,0.03525728845174245
premium_premium_index,0.021231603,0.003121926992681612,0.0029556642232247085,-1.1306402646286975,0.003121926992681612,9.0,24.0,16.5,0.06653225806451613,1d,target_logsharpe_ratio,2025,36,0,0,0.000531173072938144,0.005712680912425079
correlation_gld,0.019640159,0.004992385881724104,0.0010090815558080441,-1.1306402646286975,0.004992385881724104,10.0,12.0,11.0,0.04435483870967742,1d,target_logsharpe_ratio,2025,36,0,0,0.004107886899901914,0.005876884863546293
ahr999_value_ahr999,0.019590383,0.0011572555897179538,0.0002590465313182959,-1.1306402646286975,0.0011572555897179538,11.0,50.0,30.5,0.12298387096774194,1d,target_logsharpe_ratio,2025,36,0,0,0.0009301912935995645,0.001384319885836343
dow_cos_zn30,0.019589499,-0.0004876632752003118,0.00013039461995178531,-1.1306402646286975,-0.0004876632752003118,12.0,206.0,109.0,0.43951612903225806,1d,target_logsharpe_ratio,2025,36,0,0,-0.0006019591989723891,-0.00037336735142823443
cloud_thickness_mm30,0.017612979,-0.00043971892336749365,0.00018901351440199035,-1.1306402646286975,-0.00043971892336749365,13.0,200.0,106.5,0.42943548387096775,1d,target_logsharpe_ratio,2025,36,0,0,-0.0006053965735801361,-0.0002740412731548512
net_unpnl_bitcoin_bitcoin_net_unrealized_profit_loss,0.017542396,0.00020275997400025502,9.59534763842847e-05,-1.1306402646286975,0.00020275997400025502,14.0,92.0,53.0,0.21370967741935484,1d,target_logsharpe_ratio,2025,36,0,0,0.00011865304361816395,0.00028686690438234607
active_address_count_bitcoin_active_addresses,0.015433651,-0.016314432244374632,0.006238800279988317,-1.1306402646286975,-0.016314432244374632,15.0,247.0,131.0,0.5282258064516129,1d,target_logsharpe_ratio,2025,36,0,0,-0.021782981801821283,-0.010845882686927981
lth_sopr_bitcoin_lth_sopr,0.015320011,0.009512928656955254,0.007288916892326508,-1.1306402646286975,0.009512928656955254,16.0,5.0,10.5,0.04233870967741935,1d,target_logsharpe_ratio,2025,36,0,0,0.0031239113047485285,0.01590194600916198
