feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
target_breakout_prob,0.17121777,0.00464829608938575,0.00015325815226216615,0.9597177300793884,0.00464829608938575,1.0,1.0,1.0,0.004032258064516129,1h,target_drawdown_prob,2025,36,0,0,0.004513959395932577,0.004782632782838923
high_mm30,0.14583497,0.0012641817339150486,0.00032118659037951426,0.9597177300793884,0.0012641817339150486,2.0,2.0,2.0,0.008064516129032258,1h,target_drawdown_prob,2025,36,0,0,0.0009826492744914588,0.0015457141933386384
price_above_ma20,0.04523584,-0.00015931344089399336,0.00014656898323517687,0.9597177300793884,-0.00015931344089399336,3.0,202.0,102.5,0.41330645161290325,1h,target_drawdown_prob,2025,36,0,0,-0.0002877868191774913,-3.08400626104954e-05
resistance_level_20_mm30,0.042352594,-0.0009689030863430758,7.576764251774954e-05,0.9597177300793884,-0.0009689030863430758,4.0,247.0,125.5,0.5060483870967742,1h,target_drawdown_prob,2025,36,0,0,-0.0010353163532155955,-0.000902489819470556
macd_bullish_cross,0.026635647,0.0,0.0,0.9597177300793884,0.0,5.0,113.0,59.0,0.23790322580645162,1h,target_drawdown_prob,2025,36,0,0,0.0,0.0
ma5_mm30,0.020232702,-0.00024549558147841656,0.00012425366098759992,0.9597177300793884,-0.00024549558147841656,6.0,222.0,114.0,0.4596774193548387,1h,target_drawdown_prob,2025,36,0,0,-0.0003544087173876395,-0.00013658244556919363
target_vol_jump_prob,0.018690206,0.0,0.0,0.9597177300793884,0.0,7.0,113.0,60.0,0.24193548387096775,1h,target_drawdown_prob,2025,36,0,0,0.0,0.0
r_sym,0.0133036105,-0.00021728386528041543,0.00042712273902245813,0.9597177300793884,-0.00021728386528041543,8.0,214.0,111.0,0.4475806451612903,1h,target_drawdown_prob,2025,36,0,0,-0.0005916734531229419,0.000157105722562111
ichimoku_base_mm30,0.009952514,-0.000199965393523982,7.416099319947238e-05,0.9597177300793884,-0.000199965393523982,9.0,211.0,110.0,0.4435483870967742,1h,target_drawdown_prob,2025,36,0,0,-0.0002649703701765666,-0.00013496041687139742
keltner_upper_20_mm30,0.009417603,-0.0007203719275381548,0.00015035776083971265,0.9597177300793884,-0.0007203719275381548,10.0,244.0,127.0,0.5120967741935484,1h,target_drawdown_prob,2025,36,0,0,-0.0008521663158175981,-0.0005885775392587115
low_mm30,0.008227996,-0.0007040138597204981,0.00010233100428344458,0.9597177300793884,-0.0007040138597204981,11.0,243.0,127.0,0.5120967741935484,1h,target_drawdown_prob,2025,36,0,0,-0.000793710939779671,-0.0006143167796613253
boll_upper_mm30,0.007855476,-0.0011382345424818308,0.00015397257659242465,0.9597177300793884,-0.0011382345424818308,12.0,248.0,130.0,0.5241935483870968,1h,target_drawdown_prob,2025,36,0,0,-0.001273197456470961,-0.0010032716284927006
volume_spike_near_resist,0.0074034343,0.0,0.0,0.9597177300793884,0.0,13.0,113.0,63.0,0.2540322580645161,1h,target_drawdown_prob,2025,36,0,0,0.0,0.0
ichimoku_conv_mm30,0.007308048,-0.00010824568654261846,3.3508116717199584e-05,0.9597177300793884,-0.00010824568654261846,14.0,184.0,99.0,0.39919354838709675,1h,target_drawdown_prob,2025,36,0,0,-0.00013761684583945936,-7.887452724577755e-05
cci,0.0069553023,-0.0007851985981959686,9.832638648134636e-05,0.9597177300793884,-0.0007851985981959686,15.0,246.0,130.5,0.5262096774193549,1h,target_drawdown_prob,2025,36,0,0,-0.0008713854759844177,-0.0006990117204075196
boll_upper_zn30,0.0059151645,0.0001301671354160261,0.0001353837051653255,0.9597177300793884,0.0001301671354160261,16.0,35.0,25.5,0.1028225806451613,1h,target_drawdown_prob,2025,36,0,0,1.1498085640206858e-05,0.0002488361851918453
volume_profile_hvn_zn30,0.005859761,-7.52553010632484e-05,3.963016922601461e-05,0.9597177300793884,-7.52553010632484e-05,17.0,171.0,94.0,0.3790322580645161,1h,target_drawdown_prob,2025,36,0,0,-0.00010999267598413043,-4.0517926142366355e-05
ppo_slope_24h,0.0045636287,1.1918063530202971e-05,7.749631424920644e-05,0.9597177300793884,1.1918063530202971e-05,18.0,91.0,54.5,0.21975806451612903,1h,target_drawdown_prob,2025,36,0,0,-5.60104509232262e-05,7.984657798363214e-05
obv_diff1_zn30,0.004549837,-8.499433125772616e-05,0.00037883481903287525,0.9597177300793884,-8.499433125772616e-05,19.0,174.0,96.5,0.38911290322580644,1h,target_drawdown_prob,2025,36,0,0,-0.0004170576910374515,0.00024706902852199915
kdj_j,0.0044672866,-0.0005489283318757421,0.00040424349853660706,0.9597177300793884,-0.0005489283318757421,20.0,241.0,130.5,0.5262096774193549,1h,target_drawdown_prob,2025,36,0,0,-0.0009032633812142966,-0.00019459328253718761
google_trend_percent_bitcoin_bubble_index,0.004364412,0.0,0.0,0.9597177300793884,0.0,21.0,113.0,67.0,0.2701612903225806,1h,target_drawdown_prob,2025,36,0,0,0.0,0.0
_orig_idx,0.004141991,0.0,0.0,0.9597177300793884,0.0,22.0,113.0,67.5,0.2721774193548387,1h,target_drawdown_prob,2025,36,0,0,0.0,0.0
tail_bias_norm,0.004115051,-0.00021799024201871742,0.000157131118990649,0.9597177300793884,-0.00021799024201871742,23.0,215.0,119.0,0.4798387096774194,1h,target_drawdown_prob,2025,36,0,0,-0.00035572174048864754,-8.025874354878731e-05
dow_sin_mm30,0.004022076,-4.551227993898621e-05,3.838455295076555e-05,0.9597177300793884,-4.551227993898621e-05,24.0,150.0,87.0,0.35080645161290325,1h,target_drawdown_prob,2025,36,0,0,-7.915782405505615e-05,-1.1866735822916261e-05
range_flag_slope_24h,0.0040024742,0.0,0.0,0.9597177300793884,0.0,25.0,113.0,69.0,0.2782258064516129,1h,target_drawdown_prob,2025,36,0,0,0.0,0.0
squeeze_on,0.0039217095,0.0,0.0,0.9597177300793884,0.0,26.0,113.0,69.5,0.28024193548387094,1h,target_drawdown_prob,2025,36,0,0,0.0,0.0
logreturn_pct_rank,0.003896932,-0.000294819880615238,8.668850424555562e-05,0.9597177300793884,-0.000294819880615238,27.0,227.0,127.0,0.5120967741935484,1h,target_drawdown_prob,2025,36,0,0,-0.00037080570485268787,-0.00021883405637778812
close_change_futures_basis,0.0038723806,-5.491924198941511e-05,0.0,0.9597177300793884,-5.491924198941511e-05,28.0,158.0,93.0,0.375,1h,target_drawdown_prob,2025,36,0,0,-5.491924198941511e-05,-5.491924198941511e-05
ichimoku_span_a_zn30,0.003604105,0.00039251636551476123,7.10126134357143e-05,0.9597177300793884,0.00039251636551476123,29.0,6.0,17.5,0.07056451612903226,1h,target_drawdown_prob,2025,36,0,0,0.0003302710654011098,0.00045476166562841266
