feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
target_breakout_prob,0.10946797,0.0010155390279197904,0.00011884893718467375,-0.012968669186729554,0.0010155390279197904,1.0,1.0,1.0,0.004032258064516129,4h,target_logreturn,2025,36,0,0,0.0009113633413011655,0.0011197147145384154
trend_flag,0.06260968,2.641063260405002e-07,1.1335684321174402e-07,-0.012968669186729554,2.641063260405002e-07,2.0,114.0,58.0,0.23387096774193547,4h,target_logreturn,2025,36,0,0,1.647446720430921e-07,3.634679800379083e-07
high_vol_flag_zn30,0.01837062,1.654245080841797e-05,0.0,-0.012968669186729554,1.654245080841797e-05,3.0,37.0,20.0,0.08064516129032258,4h,target_logreturn,2025,36,0,0,1.654245080841797e-05,1.654245080841797e-05
ewmavolatility,0.017935766,0.0001419034914870082,5.784806664640388e-05,-0.012968669186729554,0.0001419034914870082,4.0,5.0,4.5,0.018145161290322582,4h,target_logreturn,2025,36,0,0,9.119742540679565e-05,0.00019260955756722077
taker_imbalance_z,0.017854234,0.0005723262669631503,8.913168158397543e-05,-0.012968669186729554,0.0005723262669631503,5.0,3.0,4.0,0.016129032258064516,4h,target_logreturn,2025,36,0,0,0.0004941989033666614,0.0006504536305596393
obv_zn30,0.017272577,7.836989177173181e-05,3.992190345663606e-05,-0.012968669186729554,7.836989177173181e-05,6.0,9.0,7.5,0.03024193548387097,4h,target_logreturn,2025,36,0,0,4.337680052300477e-05,0.00011336298302045886
movcd_bitcoin_bitcoin_reserve_risk,0.016531153,-2.605915824866606e-07,2.9032944603449136e-08,-0.012968669186729554,-2.605915824866606e-07,7.0,146.0,76.5,0.3084677419354839,4h,target_logreturn,2025,36,0,0,-2.860400804730174e-07,-2.351430845003038e-07
bubble_index_bitcoin_bubble_index,0.012971865,0.0,0.0,-0.012968669186729554,0.0,8.0,129.0,68.5,0.2762096774193548,4h,target_logreturn,2025,36,0,0,0.0,0.0
address_send_count_bitcoin_bubble_index,0.012203943,0.0,0.0,-0.012968669186729554,0.0,9.0,129.0,69.0,0.2782258064516129,4h,target_logreturn,2025,36,0,0,0.0,0.0
bitcoin_dominance_bitcoin_bitcoin_dominance,0.010665951,-1.656417932635844e-05,3.5253836642450506e-06,-0.012968669186729554,-1.656417932635844e-05,10.0,222.0,116.0,0.46774193548387094,4h,target_logreturn,2025,36,0,0,-1.9654314354205977e-05,-1.3474044298510901e-05
target_realized_vol,0.010387857,6.241375548663372e-05,3.96954138435135e-05,-0.012968669186729554,6.241375548663372e-05,11.0,11.0,11.0,0.04435483870967742,4h,target_logreturn,2025,36,0,0,2.7619191136993427e-05,9.7208319836274e-05
