feature,score_global,avg_rank_pct,std_rank_pct,pair_coverage,appear_rate,appear_rate_era,rank,keep
return_skewness,0.7807894736842106,0.22329842931937174,0.26636774200868213,10,0.8,1.0,1,True
ewmavolatility,0.778157894736842,0.22591623036649217,0.27531349987975967,10,0.8,1.0,2,True
cvar_95_30d,0.7776315789473685,0.2264397905759162,0.2139214949491927,10,0.9,1.0,3,True
obv_diff1_zn30,0.7463157894736842,0.25759162303664923,0.12554654082788824,10,0.9,1.0,4,True
ret_skew_30d,0.7207894736842105,0.28298429319371726,0.22348945697429648,10,0.7,1.0,5,True
distance_to_support,0.7155263157894737,0.2882198952879581,0.19338071953966912,10,0.8,1.0,6,True
trendline_slope_20_zn30,0.7105263157894737,0.2931937172774869,0.2038152344037932,10,0.7,1.0,7,True
cvar_95_30d_zn30,0.7005263157894737,0.3031413612565445,0.23182217638031222,10,0.5,1.0,8,True
rolling_volatility,0.6992105263157894,0.3044502617801047,0.2998218483060469,10,0.7,1.0,9,True
distance_to_support_zn30,0.6892105263157895,0.31439790575916227,0.11909923942941364,10,0.8,1.0,10,True
ppo,0.6852631578947368,0.31832460732984297,0.2531419478021182,10,0.6,1.0,11,True
logreturn_pct_rank,0.6831578947368422,0.3204188481675393,0.20832024391689896,10,0.7,1.0,12,True
ichimoku_base_zn30,0.6826315789473684,0.3209424083769633,0.12346107775364565,10,0.7,1.0,13,True
distance_to_resistance_mm30,0.6781578947368422,0.3253926701570681,0.16994908307356074,10,0.8,1.0,14,True
boll_bandwidth,0.6776315789473685,0.32591623036649214,0.18132563865974535,10,0.7,1.0,15,True
ppo_slope_24h,0.6768421052631579,0.3267015706806283,0.2258494694403202,10,0.6,1.0,16,True
r_sym,0.6747368421052632,0.3287958115183246,0.2508212254854913,10,0.5,1.0,17,True
boll_upper_mm30,0.6731578947368421,0.33036649214659686,0.23032946976290122,10,0.6,1.0,18,True
distance_to_resistance_zn30,0.6728947368421052,0.33062827225130886,0.19978184514859734,10,0.5,1.0,19,True
atr_ratio_price,0.6694736842105263,0.33403141361256544,0.25495524645261913,10,0.5,1.0,20,True
cci_mm30,0.6676315789473684,0.3358638743455497,0.1862467277454971,10,0.7,1.0,21,True
keltner_lower_20_mm30,0.6581578947368422,0.3452879581151832,0.18549870312186437,10,0.6,1.0,22,True
donchian_high_20_zn30,0.6571052631578947,0.34633507853403145,0.22112818863023506,10,0.6,1.0,23,True
price_position_ma200_mm30,0.6560526315789474,0.3473821989528796,0.1635237688067704,10,0.7,1.0,24,True
high_mm30,0.6494736842105263,0.3539267015706806,0.18803596061676162,10,0.6,1.0,25,True
plus_di,0.6444736842105263,0.35890052356020946,0.26074971735732566,10,0.6,1.0,26,True
volume_percentile,0.6421052631578947,0.3612565445026178,0.17311827947835592,10,0.6,1.0,27,True
obv_diff1_mm30,0.6410526315789473,0.362303664921466,0.17831476575231636,10,0.6,1.0,28,True
cci_zn30,0.6294736842105263,0.3738219895287958,0.13782003614185728,10,0.5,1.0,29,True
tsi_mm30,0.6247368421052633,0.3785340314136126,0.12259460402779214,10,0.6,1.0,30,True
minus_di,0.6176315789473683,0.3856020942408377,0.257684807702731,10,0.5,1.0,31,True
ma20_zn30,0.6173684210526316,0.3858638743455497,0.23175121925581646,10,0.5,1.0,32,True
boll_upper_zn30,0.616842105263158,0.3863874345549738,0.20378609237559495,10,0.5,1.0,33,True
distance_to_support_mm30,0.6152631578947368,0.3879581151832461,0.12912008630050817,10,0.5,1.0,34,True
price_position_ma200,0.6139473684210526,0.3892670157068063,0.2683158811844617,10,0.7,1.0,35,True
ppo_zn30,0.6107894736842105,0.39240837696335074,0.20086285822358446,10,0.6,1.0,36,True
keltner_upper_20_mm30,0.6042105263157895,0.39895287958115183,0.3142020485414919,10,0.5,1.0,37,True
var_95_30d_zn30,0.5897368421052632,0.41335078534031416,0.19877847442795005,10,0.5,1.0,38,True
trend_flag_zn30,0.5876315789473684,0.4154450261780105,0.11661578107643127,10,0.5,1.0,39,True
boll_lower_zn30,0.5794736842105263,0.42356020942408373,0.1741741772965395,10,0.6,1.0,40,True
cloud_thickness_mm30,0.5742105263157895,0.4287958115183246,0.22758246861177975,10,0.5,1.0,41,True
var_95_30d,0.5726315789473684,0.4303664921465969,0.22471517552560621,10,0.5,1.0,42,True
vol_ma_mm30,0.5702631578947368,0.4327225130890052,0.18863936426090422,10,0.5,1.0,43,True
squeeze_on_zn30,0.5594736842105263,0.44345549738219897,0.16828386747929083,10,0.5,1.0,44,True
obv_zn30,0.5392105263157895,0.46361256544502616,0.1881033709151988,10,0.5,1.0,45,True
hour_sin_mm30,0.5373684210526315,0.4654450261780105,0.23131580274596011,10,0.5,1.0,46,True
ret_skew_30d_slope_24h,0.5278947368421052,0.474869109947644,0.26961571638552523,10,0.5,1.0,47,True
price_above_ma20,0.5218421052631579,0.4808900523560209,0.2864550384797135,10,0.5,1.0,48,True
price_volume_corr_20,0.5186842105263159,0.4840314136125654,0.21071609166319957,10,0.5,1.0,49,True
high_vol_flag_zn30,0.48157894736842105,0.5209424083769634,0.2514724598643524,10,0.5,1.0,50,True
range_flag_zn30,0.4689473684210526,0.5335078534031414,0.24449258985406416,10,0.5,1.0,51,True
