feature,period,target,tree_importance,boruta_keep,linear_coef,shap_value,tft_vsn_importance
volume,1d,target_binarytrend,0.005087138619273901,0.0,0.06391768546036676,0.0,0.0
rsi,1d,target_binarytrend,0.00573138240724802,0.0,0.03890766893417128,0.0,0.0
macd_hist,1d,target_binarytrend,0.004258705768734217,0.0,0.06518503190083011,0.0,0.0
kdj_j,1d,target_binarytrend,0.007266017608344555,0.0,0.04733309366803849,0.0,0.0
momentum,1d,target_binarytrend,0.006230456288903952,0.0,0.0064530096921740655,0.0,0.0
vol_change,1d,target_binarytrend,0.005920916795730591,0.0,0.05634149061263208,0.0,0.0
obv,1d,target_binarytrend,0.004636455327272415,0.0,0.0720753762946232,0.0,0.0
adx,1d,target_binarytrend,0.006126804277300835,0.0,0.04625374806717068,0.0,0.0
plus_di,1d,target_binarytrend,0.005144199822098017,0.0,0.06450818717922913,0.0,0.0
minus_di,1d,target_binarytrend,0.006454183720052242,0.0,0.010443415703481732,0.0,0.0
trend_flag,1d,target_binarytrend,0.001158174010924995,0.05,0.055434016763512534,0.0,0.0
boll_bandwidth,1d,target_binarytrend,0.008154818788170815,0.05,0.022734208801079767,0.0,0.0
range_flag,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0
high_vol_flag,1d,target_binarytrend,0.0,0.0,0.05320173978782747,0.0,0.0
donchian_high_20,1d,target_binarytrend,0.00612258305773139,0.0,0.022824532979062666,0.0,0.0
squeeze_on,1d,target_binarytrend,0.0,0.05,0.07872342675713943,0.0,0.0
ppo,1d,target_binarytrend,0.00677077379077673,0.0,0.04995449317760424,0.0,0.0
cloud_thickness,1d,target_binarytrend,0.006910972762852907,0.05,0.007489602709865538,0.0,0.0
heikin_ashi_trend,1d,target_binarytrend,0.006182050798088312,0.0,0.002066861048751375,0.0,0.0
ret_skew_30d,1d,target_binarytrend,0.008490292355418205,0.0,0.07503118065709354,0.0,0.0
ret_kurt_30d,1d,target_binarytrend,0.005704212933778763,0.0,0.040561940154112665,0.0,0.0
var_95_30d,1d,target_binarytrend,0.006275674793869257,0.0,0.04086268909120138,0.0,0.0
cvar_95_30d,1d,target_binarytrend,0.006014325190335512,0.05,0.0032526860215128794,0.0,0.0
z_score_gap,1d,target_binarytrend,0.006504031363874674,0.05,0.018676163542982925,0.0,0.0
doji_ratio_20,1d,target_binarytrend,0.005928064230829477,0.05,0.10553216305280472,0.0,0.0
hammer_cnt_20,1d,target_binarytrend,0.009784867987036705,0.1,0.12497888822636705,0.0,0.0
engulfing_up_cnt_20,1d,target_binarytrend,0.004883078392595053,0.05,0.012368475492323228,0.0,0.0
mfi,1d,target_binarytrend,0.005556545220315456,0.05,0.08048934634465292,0.0,0.0
cmf,1d,target_binarytrend,0.006750545464456081,0.0,0.025709194378203924,0.0,0.0
price_volume_corr_20,1d,target_binarytrend,0.0070746224373579025,0.0,0.07954506016571919,0.0,0.0
price_position_ma200,1d,target_binarytrend,0.005652595777064562,0.0,0.03779604269320461,0.0,0.0
r_sym,1d,target_binarytrend,0.005538297817111015,0.0,0.023988057381562226,0.0,0.0
r_btc,1d,target_binarytrend,0.008064399473369122,0.1,0.03621084170915371,0.0,0.0
beta_btc_60d,1d,target_binarytrend,0.005990734323859215,0.0,0.01007004908595718,0.0,0.0
distance_to_pivot,1d,target_binarytrend,0.004988759756088257,0.0,0.014722171237812387,0.0,0.0
hour_cos,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0
dow_sin,1d,target_binarytrend,0.00684967590495944,0.1,0.018963779316725472,0.0,0.0
dow_cos,1d,target_binarytrend,0.008060605265200138,0.05,0.012796739999482888,0.0,0.0
trend_flag_diff1,1d,target_binarytrend,0.0010502826189622283,0.05,0.007809572019979706,0.0,0.0
trend_flag_slope_24h,1d,target_binarytrend,0.0,0.0,0.007809572019979706,0.0,0.0
range_flag_diff1,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0
range_flag_slope_24h,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0
ppo_diff1,1d,target_binarytrend,0.007442899979650974,0.05,0.008152074349320441,0.0,0.0
ppo_slope_24h,1d,target_binarytrend,0.0,0.0,0.008152074349320441,0.0,0.0
stoch_rsi_diff1,1d,target_binarytrend,0.00675795366987586,0.0,0.012241505400602237,0.0,0.0
stoch_rsi_slope_24h,1d,target_binarytrend,0.0,0.0,0.012241505400602237,0.0,0.0
psar_diff1,1d,target_binarytrend,0.00702140387147665,0.0,0.002259609674315021,0.0,0.0
psar_slope_24h,1d,target_binarytrend,0.0,0.0,0.002259609674315021,0.0,0.0
ret_skew_30d_diff1,1d,target_binarytrend,0.006234175059944391,0.0,0.023857597324892014,0.0,0.0
ret_skew_30d_slope_24h,1d,target_binarytrend,0.0,0.0,0.023857597324892014,0.0,0.0
ret_kurt_30d_diff1,1d,target_binarytrend,0.004518577829003334,0.0,0.001920545991834877,0.0,0.0
ret_kurt_30d_slope_24h,1d,target_binarytrend,0.0,0.0,0.001920545991834877,0.0,0.0
mfi_diff1,1d,target_binarytrend,0.0072195688262581825,0.0,0.04047890251770467,0.0,0.0
mfi_slope_24h,1d,target_binarytrend,0.0,0.0,0.04047890251770467,0.0,0.0
price_position_ma200_diff1,1d,target_binarytrend,0.006310197990387678,0.0,0.0353110707826041,0.0,0.0
price_position_ma200_slope_24h,1d,target_binarytrend,0.0,0.0,0.0353110707826041,0.0,0.0
