feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
cvar_95_30d,0.0213233,0.00021385000545719318,1.08532681017423e-05,-0.013474850132325645,0.00021385000545719318,1.0,5.0,3.0,0.015706806282722512,4h,target_logreturn,2025,36,0,0,0.00020433669651781104,0.0002233633143965753
atr_ratio_price,0.020914068,0.0003214231447082442,1.997092306480544e-05,-0.013474850132325645,0.0003214231447082442,2.0,4.0,3.0,0.015706806282722512,4h,target_logreturn,2025,36,0,0,0.0003039178588220854,0.00033892843059440297
ewmavolatility,0.01981295,0.002207342495180076,0.00012838750270958649,-0.013474850132325645,0.002207342495180076,3.0,1.0,2.0,0.010471204188481676,4h,target_logreturn,2025,36,0,0,0.002094805887240207,0.002319879103119945
return_skewness,0.011556672,0.0006894490866572834,3.4464706092754674e-05,-0.013474850132325645,0.0006894490866572834,4.0,2.0,3.0,0.015706806282722512,4h,target_logreturn,2025,36,0,0,0.0006592394398032868,0.00071965873351128
ma5_mm30,0.01119743,1.5246730020235243e-06,4.053360693523967e-06,-0.013474850132325645,1.5246730020235243e-06,5.0,101.0,53.0,0.2774869109947644,4h,target_logreturn,2025,36,0,0,-2.0282542968102255e-06,5.077600300857274e-06
rolling_volatility,0.010750787,0.0001444993820192926,1.4431057479925299e-05,-0.013474850132325645,0.0001444993820192926,6.0,6.0,6.0,0.031413612565445025,4h,target_logreturn,2025,36,0,0,0.00013185000241846325,0.00015714876162012197
high_mm30,0.010483032,7.947865419833181e-06,8.790460371132145e-06,-0.013474850132325645,7.947865419833181e-06,7.0,76.0,41.5,0.21727748691099477,4h,target_logreturn,2025,36,0,0,2.426871780323356e-07,1.565304366163403e-05
dow_sin_mm30,0.010450283,-1.4706318211522852e-06,9.342469504821743e-07,-0.013474850132325645,-1.4706318211522852e-06,8.0,134.0,71.0,0.3717277486910995,4h,target_logreturn,2025,36,0,0,-2.289535379259894e-06,-6.517282630446767e-07
dow_cos_zn30,0.009182113,1.3213577245439062e-05,1.71302542651561e-05,-0.013474850132325645,1.3213577245439062e-05,9.0,62.0,35.5,0.18586387434554974,4h,target_logreturn,2025,36,0,0,-1.8017526539888774e-06,2.8228907144867004e-05
r_btc,0.008836662,0.0001050968694355555,4.027880898174132e-05,-0.013474850132325645,0.0001050968694355555,10.0,7.0,8.5,0.04450261780104712,4h,target_logreturn,2025,36,0,0,6.979093670068167e-05,0.00014040280217042934
