feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
rsi_overbought,0.071227156,0.000609547731277038,8.182363327801017e-05,-1.0887974686005315,0.000609547731277038,1.0,64.0,32.5,0.17015706806282724,4h,target_logsharpe_ratio,2025,36,0,0,0.0005378261544561853,0.0006812693080978908
rsi_oversold,0.07064149,0.00021424847109350332,0.00016971049744628222,-1.0887974686005315,0.00021424847109350332,2.0,85.0,43.5,0.22774869109947643,4h,target_logsharpe_ratio,2025,36,0,0,6.549066124970828e-05,0.00036300628093729835
cvar_95_30d_mm30,0.019215727,0.02248832174232849,0.0014650182509191101,-1.0887974686005315,0.02248832174232849,3.0,5.0,4.0,0.020942408376963352,4h,target_logsharpe_ratio,2025,36,0,0,0.021204176626573965,0.023772466858083013
return_skewness,0.017976582,0.2876634252584843,0.010952963346070235,-1.0887974686005315,0.2876634252584843,4.0,2.0,3.0,0.015706806282722512,4h,target_logsharpe_ratio,2025,36,0,0,0.27806272958450867,0.29726412093245996
ewmavolatility,0.014061191,0.012432048852391553,0.0011205736929361038,-1.0887974686005315,0.012432048852391553,5.0,7.0,6.0,0.031413612565445025,4h,target_logsharpe_ratio,2025,36,0,0,0.011449822703519935,0.01341427500126317
atr_ratio_price,0.009414112,-0.0018317371740554922,0.0009564097428457056,-1.0887974686005315,-0.0018317371740554922,6.0,181.0,93.5,0.4895287958115183,4h,target_logsharpe_ratio,2025,36,0,0,-0.00267006727619916,-0.0009934070719118246
price_above_ma20,0.009062893,0.0003146680646386901,0.00042945237795591795,-1.0887974686005315,0.0003146680646386901,7.0,79.0,43.0,0.225130890052356,4h,target_logsharpe_ratio,2025,36,0,0,-6.176354176298885e-05,0.000691099671040369
ret_skew_30d_mm30,0.008802223,0.010063128597841597,0.0010260803179151395,-1.0887974686005315,0.010063128597841597,8.0,9.0,8.5,0.04450261780104712,4h,target_logsharpe_ratio,2025,36,0,0,0.009163729544078321,0.010962527651604872
cvar_95_30d_zn30,0.008449459,0.010373612480564764,0.00218403318818712,-1.0887974686005315,0.010373612480564764,9.0,8.0,8.5,0.04450261780104712,4h,target_logsharpe_ratio,2025,36,0,0,0.008459222984395184,0.012288001976734344
_orig_idx,0.008152909,0.0,0.0,-1.0887974686005315,0.0,10.0,110.5,60.25,0.31544502617801046,4h,target_logsharpe_ratio,2025,36,0,0,0.0,0.0
amplitude_range_mm30,0.007653704,0.006583641535665219,0.003307452201838415,-1.0887974686005315,0.006583641535665219,11.0,12.0,11.5,0.060209424083769635,4h,target_logsharpe_ratio,2025,36,0,0,0.0036845318570535354,0.009482751214276903
obv_diff1_mm30,0.007609777,0.004184257186198526,0.0010663164447487835,-1.0887974686005315,0.004184257186198526,12.0,16.0,14.0,0.07329842931937172,4h,target_logsharpe_ratio,2025,36,0,0,0.003249589612252728,0.005118924760144324
dow_cos_zn30,0.007184199,-0.001684148403148189,0.0003355647779716811,-1.0887974686005315,-0.001684148403148189,13.0,176.0,94.5,0.49476439790575916,4h,target_logsharpe_ratio,2025,36,0,0,-0.0019782838996727156,-0.0013900129066236624
ret_skew_30d_zn30,0.0071689025,0.04833995804943934,0.004033112165271402,-1.0887974686005315,0.04833995804943934,14.0,3.0,8.5,0.04450261780104712,4h,target_logsharpe_ratio,2025,36,0,0,0.04480477936816747,0.0518751367307112
support_level_20_mm30,0.0071448414,0.00012783903609014935,4.277392926707927e-05,-1.0887974686005315,0.00012783903609014935,15.0,90.0,52.5,0.27486910994764396,4h,target_logsharpe_ratio,2025,36,0,0,9.034603399581421e-05,0.0001653320381844845
boll_upper_mm30,0.007103784,-0.00041355151252235877,0.0003766071484358041,-1.0887974686005315,-0.00041355151252235877,16.0,145.0,80.5,0.4214659685863874,4h,target_logsharpe_ratio,2025,36,0,0,-0.0007436622329305649,-8.344079211415265e-05
cvar_95_30d,0.0070194523,0.005681589230386308,0.00275866963862322,-1.0887974686005315,0.005681589230386308,17.0,13.0,15.0,0.07853403141361257,4h,target_logsharpe_ratio,2025,36,0,0,0.003263508677331199,0.008099669783441416
dow_sin_zn30,0.0069555305,-0.002367783389214573,0.0012172900008758016,-1.0887974686005315,-0.002367783389214573,18.0,186.0,102.0,0.5340314136125655,4h,target_logsharpe_ratio,2025,36,0,0,-0.0034347851198078885,-0.0013007816586212571
dow_sin_mm30,0.0068272757,9.045009365893364e-05,0.00010614723760626563,-1.0887974686005315,9.045009365893364e-05,19.0,96.0,57.5,0.3010471204188482,4h,target_logsharpe_ratio,2025,36,0,0,-2.5920623943477094e-06,0.000183492249712215
logreturn_pct_rank,0.006644997,-0.0008962296046812312,0.0007685807062239593,-1.0887974686005315,-0.0008962296046812312,20.0,159.0,89.5,0.468586387434555,4h,target_logsharpe_ratio,2025,36,0,0,-0.0015699202971633662,-0.0002225389121990962
breakout_recent_high,0.0065756966,-0.00014617961748912832,3.423988115722721e-05,-1.0887974686005315,-0.00014617961748912832,21.0,131.0,76.0,0.39790575916230364,4h,target_logsharpe_ratio,2025,36,0,0,-0.0001761921965982854,-0.00011616703837997124
boll_lower_mm30,0.0063351644,0.00010112671698330189,0.0009516304455776871,-1.0887974686005315,0.00010112671698330189,22.0,94.0,58.0,0.3036649214659686,4h,target_logsharpe_ratio,2025,36,0,0,-0.000733014146398586,0.0009352675803651899
cloud_thickness_mm30,0.006221715,0.0015769065145838645,0.000456566266319702,-1.0887974686005315,0.0015769065145838645,23.0,33.0,28.0,0.14659685863874344,4h,target_logsharpe_ratio,2025,36,0,0,0.001176708537156007,0.001977104492011722
ichimoku_conv_mm30,0.0061989864,-0.00016135917221618,0.0005399594562457582,-1.0887974686005315,-0.00016135917221618,24.0,133.0,78.5,0.4109947643979058,4h,target_logsharpe_ratio,2025,36,0,0,-0.0006346545035258407,0.00031193615909348076
volume_relative_20_mm30,0.0061349804,0.0024457615984851966,0.0010045136202905137,-1.0887974686005315,0.0024457615984851966,25.0,20.0,22.5,0.11780104712041885,4h,target_logsharpe_ratio,2025,36,0,0,0.0015652665886819483,0.003326256608288445
rolling_volatility,0.0060693547,0.00040171905547099486,0.00042161330248131684,-1.0887974686005315,0.00040171905547099486,26.0,72.0,49.0,0.25654450261780104,4h,target_logsharpe_ratio,2025,36,0,0,3.215870168096405e-05,0.0007712794092610256
r_btc,0.006054881,0.0007215753072209897,0.002628416998502939,-1.0887974686005315,0.0007215753072209897,27.0,57.0,42.0,0.2198952879581152,4h,target_logsharpe_ratio,2025,36,0,0,-0.0015823337728714754,0.003025484387313455
volume_mm30,0.005991252,0.0006618630771059397,0.001606955236563228,-1.0887974686005315,0.0006618630771059397,28.0,61.0,44.5,0.23298429319371727,4h,target_logsharpe_ratio,2025,36,0,0,-0.0007466952920298764,0.002070421446241756
keltner_upper_20_mm30,0.0059856204,0.00021645253558943978,0.00014978926657339533,-1.0887974686005315,0.00021645253558943978,29.0,83.0,56.0,0.2931937172774869,4h,target_logsharpe_ratio,2025,36,0,0,8.51564545051238e-05,0.0003477486166737557
distance_to_resistance,0.005883656,-0.0024439866037263337,0.0006973529777150575,-1.0887974686005315,-0.0024439866037263337,30.0,187.0,108.5,0.5680628272251309,4h,target_logsharpe_ratio,2025,36,0,0,-0.003055243439419577,-0.0018327297680330902
adx_scaled_mm30,0.0058774087,-0.0004117143316224148,0.0004113561988863357,-1.0887974686005315,-0.0004117143316224148,31.0,144.0,87.5,0.4581151832460733,4h,target_logsharpe_ratio,2025,36,0,0,-0.0007722839377033166,-5.1144725541512974e-05
ma_diff_5_20_zn30,0.005857556,0.0024889306203728532,0.00036345851167171275,-1.0887974686005315,0.0024889306203728532,32.0,19.0,25.5,0.13350785340314136,4h,target_logsharpe_ratio,2025,36,0,0,0.0021703451882461038,0.0028075160524996027
price_position_ma200_mm30,0.005847717,0.0012851795845941981,0.0006451139921561635,-1.0887974686005315,0.0012851795845941981,33.0,41.0,37.0,0.193717277486911,4h,target_logsharpe_ratio,2025,36,0,0,0.0007197122386327987,0.0018506469305555975
ret_skew_30d,0.0057802224,0.30026595815715684,0.012052272766265722,-1.0887974686005315,0.30026595815715684,34.0,1.0,17.5,0.09162303664921466,4h,target_logsharpe_ratio,2025,36,0,0,0.2897016752911709,0.3108302410231428
distance_to_support_mm30,0.0057376157,-0.00038085069974878036,0.0012719283245141925,-1.0887974686005315,-0.00038085069974878036,35.0,141.0,88.0,0.4607329842931937,4h,target_logsharpe_ratio,2025,36,0,0,-0.0014957450326282696,0.000734043633130709
var_95_30d_mm30,0.0056823166,-0.00041619735772884247,0.0005154814576722212,-1.0887974686005315,-0.00041619735772884247,36.0,146.0,91.0,0.47643979057591623,4h,target_logsharpe_ratio,2025,36,0,0,-0.0008680367772831831,3.5642061825498234e-05
obv_pct_mm30,0.005665881,-0.00019818454837103872,0.0008717518271253746,-1.0887974686005315,-0.00019818454837103872,37.0,134.0,85.5,0.4476439790575916,4h,target_logsharpe_ratio,2025,36,0,0,-0.0009623087155961359,0.0005659396188540585
atr_slope_mm30,0.005653078,0.00040443468101649673,0.0009231777693653518,-1.0887974686005315,0.00040443468101649673,38.0,70.0,54.0,0.28272251308900526,4h,target_logsharpe_ratio,2025,36,0,0,-0.00040476631204958266,0.001213635674082576
var_95_30d_zn30,0.0056337332,0.004383550206976938,0.0007714678418958232,-1.0887974686005315,0.004383550206976938,39.0,14.0,26.5,0.1387434554973822,4h,target_logsharpe_ratio,2025,36,0,0,0.003707328828498763,0.0050597715854551134
high_mm30,0.0056189946,-0.0008765402497345586,0.0004604050041493348,-1.0887974686005315,-0.0008765402497345586,40.0,158.0,99.0,0.518324607329843,4h,target_logsharpe_ratio,2025,36,0,0,-0.001280103029226481,-0.0004729774702426364
