feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
ppo,0.4632666,0.014343714046463691,0.0005037894251529852,-0.018321929741521723,0.014343714046463691,1.0,2.0,1.5,0.007853403141361256,4h,target_max_drawdown,2025,36,0,0,0.013902123145276545,0.014785304947650837
distance_to_resistance,0.08861261,0.01528019964029298,0.000852848471932043,-0.018321929741521723,0.01528019964029298,2.0,1.0,1.5,0.007853403141361256,4h,target_max_drawdown,2025,36,0,0,0.014532644994456207,0.016027754286129754
resistance_level_20_mm30,0.07687854,0.0048045945167546405,9.485166464423322e-05,-0.018321929741521723,0.0048045945167546405,3.0,3.0,3.0,0.015706806282722512,4h,target_max_drawdown,2025,36,0,0,0.004721453366944621,0.00488773566656466
keltner_upper_20_mm30,0.072562285,0.0031318514637244123,8.407071892142414e-05,-0.018321929741521723,0.0031318514637244123,4.0,4.0,4.0,0.020942408376963352,4h,target_max_drawdown,2025,36,0,0,0.003058160229493584,0.0032055426979552405
rolling_volatility,0.05047215,0.00031973642736403824,0.0001060598266938384,-0.018321929741521723,0.00031973642736403824,5.0,13.0,9.0,0.04712041884816754,4h,target_max_drawdown,2025,36,0,0,0.00022677089035368463,0.0004127019643743919
var_95_30d,0.021155974,6.993665007978822e-05,1.1602544442214965e-05,-0.018321929741521723,6.993665007978822e-05,6.0,41.0,23.5,0.12303664921465969,4h,target_max_drawdown,2025,36,0,0,5.9766571470564246e-05,8.01067286890122e-05
price_position_ma200,0.011993534,0.00010381969866667881,1.8074301362827722e-05,-0.018321929741521723,0.00010381969866667881,7.0,33.0,20.0,0.10471204188481675,4h,target_max_drawdown,2025,36,0,0,8.797687500138366e-05,0.00011966252233197396
trendline_slope_20_zn30,0.0091542825,0.0007165116600766228,0.00012844194457564307,-0.018321929741521723,0.0007165116600766228,8.0,7.0,7.5,0.03926701570680628,4h,target_max_drawdown,2025,36,0,0,0.0006039273317371307,0.0008290959884161149
low_mm30,0.007113513,0.0007389125709136392,0.00010905158586577905,-0.018321929741521723,0.0007389125709136392,9.0,6.0,7.5,0.03926701570680628,4h,target_max_drawdown,2025,36,0,0,0.0006433246413660245,0.0008345005004612538
donchian_high_20_zn30,0.006863094,0.0009210787525667334,5.3263460379000874e-05,-0.018321929741521723,0.0009210787525667334,10.0,5.0,7.5,0.03926701570680628,4h,target_max_drawdown,2025,36,0,0,0.0008743912710620029,0.0009677662340714639
ma20_zn30,0.006573293,0.00026271918663734806,3.7867538420125455e-05,-0.018321929741521723,0.00026271918663734806,11.0,16.0,13.5,0.07068062827225131,4h,target_max_drawdown,2025,36,0,0,0.00022952682573853774,0.0002959115475361584
cvar_95_30d,0.005214381,3.781750035186174e-05,6.28132566693626e-06,-0.018321929741521723,3.781750035186174e-05,12.0,58.0,35.0,0.18324607329842932,4h,target_max_drawdown,2025,36,0,0,3.231167564926894e-05,4.3323325054454536e-05
keltner_lower_20_mm30,0.0046344562,0.00034680660425824084,1.1672658345529904e-05,-0.018321929741521723,0.00034680660425824084,13.0,11.0,12.0,0.06282722513089005,4h,target_max_drawdown,2025,36,0,0,0.0003365750681030567,0.000357038140413425
price_above_ma20,0.0046152915,4.047323278162235e-05,1.738042721825966e-05,-0.018321929741521723,4.047323278162235e-05,14.0,56.0,35.0,0.18324607329842932,4h,target_max_drawdown,2025,36,0,0,2.523861662032001e-05,5.5707848942924694e-05
obv,0.004582639,1.1936646027139314e-05,2.550260805624103e-06,-0.018321929741521723,1.1936646027139314e-05,15.0,100.0,57.5,0.3010471204188482,4h,target_max_drawdown,2025,36,0,0,9.701243870621597e-06,1.4172048183657032e-05
ppo_zn30,0.004544071,5.508139933873071e-05,4.554656742835751e-05,-0.018321929741521723,5.508139933873071e-05,16.0,45.0,30.5,0.15968586387434555,4h,target_max_drawdown,2025,36,0,0,1.5158072741389328e-05,9.500472593607209e-05
vwap_mm30,0.00451463,0.0,0.0,-0.018321929741521723,0.0,17.0,129.5,73.25,0.38350785340314136,4h,target_max_drawdown,2025,36,0,0,0.0,0.0
obv_diff1_mm30,0.0038147417,1.2937739494152389e-05,2.409194712407183e-05,-0.018321929741521723,1.2937739494152389e-05,18.0,99.0,58.5,0.306282722513089,4h,target_max_drawdown,2025,36,0,0,-8.179783245911636e-06,3.4055262234216416e-05
distance_to_resistance_zn30,0.0037804723,0.0005331015162898523,7.343078354777769e-05,-0.018321929741521723,0.0005331015162898523,19.0,8.0,13.5,0.07068062827225131,4h,target_max_drawdown,2025,36,0,0,0.00046873659661752186,0.0005974664359621826
ichimoku_base_mm30,0.0037382867,-1.0208094669960505e-05,9.131925520797196e-06,-0.018321929741521723,-1.0208094669960505e-05,20.0,156.0,88.0,0.4607329842931937,4h,target_max_drawdown,2025,36,0,0,-1.8212580312107844e-05,-2.203609027813167e-06
cci_zn30,0.0035462356,0.00020462805629371597,6.811623964110283e-05,-0.018321929741521723,0.00020462805629371597,21.0,19.0,20.0,0.10471204188481675,4h,target_max_drawdown,2025,36,0,0,0.00014492153974772062,0.0002643345728397113
breakout_recent_high,0.0033516702,-2.7526898770877105e-07,2.988010859530436e-07,-0.018321929741521723,-2.7526898770877105e-07,22.0,136.0,79.0,0.41361256544502617,4h,target_max_drawdown,2025,36,0,0,-5.371796873659422e-07,-1.3358288051599969e-08
volume_spike_near_resist,0.0028731972,-1.1465187409465116e-06,7.265895121641685e-07,-0.018321929741521723,-1.1465187409465116e-06,23.0,139.0,81.0,0.42408376963350786,4h,target_max_drawdown,2025,36,0,0,-1.783402528994008e-06,-5.096349528990153e-07
r_sym,0.0027369873,0.00012945460206941693,9.66256732848779e-05,-0.018321929741521723,0.00012945460206941693,24.0,25.0,24.5,0.12827225130890052,4h,target_max_drawdown,2025,36,0,0,4.475846512544136e-05,0.0002141507390133925
range_flag_diff1,0.0027193632,0.0,0.0,-0.018321929741521723,0.0,25.0,129.5,77.25,0.40445026178010474,4h,target_max_drawdown,2025,36,0,0,0.0,0.0
trend_flag_zn30,0.002584172,5.448148195694585e-05,5.469351398404504e-05,-0.018321929741521723,5.448148195694585e-05,26.0,47.0,36.5,0.19109947643979058,4h,target_max_drawdown,2025,36,0,0,6.540503199855111e-06,0.0001024224607140366
momentum,0.002564029,0.0001895948335324346,6.139695182120576e-05,-0.018321929741521723,0.0001895948335324346,27.0,22.0,24.5,0.12827225130890052,4h,target_max_drawdown,2025,36,0,0,0.00013577803244210434,0.00024341163462276487
high_mm30,0.0024863621,0.0003289236633136461,3.488537123294264e-05,-0.018321929741521723,0.0003289236633136461,28.0,12.0,20.0,0.10471204188481675,4h,target_max_drawdown,2025,36,0,0,0.0002983452872067533,0.00035950203942053887
boll_upper_mm30,0.002387501,0.0005081446125523934,3.14196505113416e-05,-0.018321929741521723,0.0005081446125523934,29.0,10.0,19.5,0.10209424083769633,4h,target_max_drawdown,2025,36,0,0,0.0004806040745983163,0.0005356851505064706
psar_zn30,0.0021436685,6.956238036085332e-05,8.977472777359497e-06,-0.018321929741521723,6.956238036085332e-05,30.0,42.0,36.0,0.18848167539267016,4h,target_max_drawdown,2025,36,0,0,6.169327851749209e-05,7.743148220421456e-05
boll_upper_zn30,0.0020950919,0.00021330216937686248,1.3891329876283442e-05,-0.018321929741521723,0.00021330216937686248,31.0,18.0,24.5,0.12827225130890052,4h,target_max_drawdown,2025,36,0,0,0.00020112588187957503,0.00022547845687414993
return_skewness,0.0020748808,2.0788760990249343e-05,2.950186395897145e-06,-0.018321929741521723,2.0788760990249343e-05,32.0,84.0,58.0,0.3036649214659686,4h,target_max_drawdown,2025,36,0,0,1.820280859786106e-05,2.3374713382637624e-05
distance_to_support_mm30,0.0018745371,-1.0170355789333036e-05,1.2397090177078036e-05,-0.018321929741521723,-1.0170355789333036e-05,33.0,155.0,94.0,0.49214659685863876,4h,target_max_drawdown,2025,36,0,0,-2.103688444211646e-05,6.961728634503908e-07
tsi_mm30,0.0017964881,4.3541147613409406e-05,7.109980858999475e-06,-0.018321929741521723,4.3541147613409406e-05,34.0,53.0,43.5,0.22774869109947643,4h,target_max_drawdown,2025,36,0,0,3.73089746097869e-05,4.977332061703191e-05
high_vol_flag_zn30,0.0017891328,1.5402847930819084e-05,1.6949700349331072e-06,-0.018321929741521723,1.5402847930819084e-05,35.0,92.0,63.5,0.3324607329842932,4h,target_max_drawdown,2025,36,0,0,1.3917141189388322e-05,1.6888554672249847e-05
heikin_ashi_trend_mm30,0.0017242515,9.027723285068984e-06,1.1874187206187206e-05,-0.018321929741521723,9.027723285068984e-06,36.0,102.0,69.0,0.3612565445026178,4h,target_max_drawdown,2025,36,0,0,-1.3804607050034354e-06,1.94359072751414e-05
obv_mm30,0.0015905458,5.609717762296018e-05,1.4973778508128767e-05,-0.018321929741521723,5.609717762296018e-05,37.0,44.0,40.5,0.21204188481675393,4h,target_max_drawdown,2025,36,0,0,4.2972082066273266e-05,6.922227317964708e-05
_orig_idx,0.0015903644,0.0,0.0,-0.018321929741521723,0.0,38.0,129.5,83.75,0.43848167539267013,4h,target_max_drawdown,2025,36,0,0,0.0,0.0
obv_pct_mm30,0.0015902994,2.8863838189197714e-05,1.917649290605508e-05,-0.018321929741521723,2.8863838189197714e-05,39.0,69.0,54.0,0.28272251308900526,4h,target_max_drawdown,2025,36,0,0,1.205490103966891e-05,4.567277533872652e-05
kdj_j,0.0015461362,0.00027187600208384915,5.149154886016545e-05,-0.018321929741521723,0.00027187600208384915,40.0,15.0,27.5,0.14397905759162305,4h,target_max_drawdown,2025,36,0,0,0.0002267416695047611,0.0003170103346629372
atr_ratio_price,0.001539924,-1.0534194071640247e-06,2.953402583565057e-06,-0.018321929741521723,-1.0534194071640247e-06,41.0,138.0,89.5,0.468586387434555,4h,target_max_drawdown,2025,36,0,0,-3.6421909123398132e-06,1.5353520980117638e-06
obv_diff1,0.0015137836,7.341565292771287e-05,1.6031380057346704e-05,-0.018321929741521723,7.341565292771287e-05,42.0,39.0,40.5,0.21204188481675393,4h,target_max_drawdown,2025,36,0,0,5.9363528739819086e-05,8.746777711560667e-05
boll_lower_zn30,0.0015075597,7.82756644957e-05,3.359057311172542e-05,-0.018321929741521723,7.82756644957e-05,43.0,38.0,40.5,0.21204188481675393,4h,target_max_drawdown,2025,36,0,0,4.88322289823501e-05,0.00010771910000904991
ichimoku_span_a_zn30,0.0014470543,-0.00010139852382031606,5.325304852245161e-05,-0.018321929741521723,-0.00010139852382031606,44.0,189.0,116.5,0.6099476439790575,4h,target_max_drawdown,2025,36,0,0,-0.0001480768789303923,-5.472016871023982e-05
