feature,score_global,avg_rank_pct,std_rank_pct,pair_coverage,appear_rate,appear_rate_era,rank,keep
return_skewness,0.7707935327127432,0.13346613545816735,0.22572650269182998,10,0.9,1.0,1,True
ewmavolatility,0.7578030175512811,0.17290836653386454,0.31143273366153007,10,0.8,1.0,2,True
cvar_95_30d,0.7483631440900044,0.15697211155378485,0.21445960166728306,10,0.8,1.0,3,True
high_mm30,0.7316946626618208,0.1107569721115538,0.08373487276834193,10,0.9,1.0,4,True
obv_diff1_zn30,0.7129281668838627,0.11075697211155378,0.10298460140324352,10,0.9,1.0,5,True
rolling_volatility,0.69940481388469,0.20637450199203186,0.2586936306326324,10,0.8,1.0,6,True
ppo,0.6934063702555511,0.1713147410358566,0.1876226614868458,10,0.7,1.0,7,True
distance_to_support_zn30,0.6838606690245951,0.1354581673306773,0.10402738925665943,10,0.9,1.0,8,True
trendline_slope_20_zn30,0.6654055036831036,0.20517928286852588,0.22567180384660407,10,0.8,1.0,9,True
low_mm30,0.6642704501821086,0.20796812749003984,0.22992646705987202,10,0.7,1.0,10,True
boll_upper_mm30,0.6628830248138963,0.19362549800796813,0.13623970568481597,10,0.7,1.0,11,True
distance_to_resistance,0.6609144693576,0.22948207171314738,0.21444315373904002,10,0.7,1.0,12,True
ichimoku_base_zn30,0.6507184844622597,0.20159362549800797,0.14585518981413922,10,0.6,1.0,13,True
r_sym,0.6449504186475291,0.21235059760956174,0.20098407128715484,10,0.7,1.0,14,True
logreturn_pct_rank,0.6406292442860894,0.20159362549800797,0.18189722382799306,10,0.6,1.0,15,True
atr_ratio_price,0.6368704018419005,0.26693227091633465,0.28024080469655166,10,0.7,1.0,16,True
distance_to_resistance_zn30,0.6336362817697416,0.24581673306772908,0.1910232891187934,10,0.6,1.0,17,True
minus_di,0.6312421021052365,0.23187250996015937,0.23232250525609668,10,0.8,1.0,18,True
distance_to_support,0.6291066894734784,0.20796812749003984,0.16381345310641515,10,0.8,1.0,19,True
distance_to_support_mm30,0.6245070110923171,0.19402390438247014,0.15647054961616597,10,0.7,1.0,20,True
price_position_ma200,0.617725639246467,0.23187250996015935,0.24474390352687383,10,0.7,1.0,21,True
ma20_zn30,0.6174884428229812,0.2306772908366534,0.1608984201184825,10,0.7,1.0,22,True
ret_skew_30d,0.6160872811733684,0.2306772908366534,0.23067427084916406,10,0.7,1.0,23,True
obv_zn30,0.614564561669533,0.2239043824701195,0.15332521500481125,10,0.6,1.0,24,True
r_btc,0.6125309326899618,0.2414342629482072,0.2052658653386598,10,0.6,1.0,25,True
price_position_ma200_mm30,0.6102592708072345,0.2306772908366534,0.2003900015574809,10,0.7,1.0,26,True
keltner_upper_20_mm30,0.6092821358900249,0.2972111553784861,0.2738764926039844,10,0.5,1.0,27,True
cvar_95_30d_zn30,0.6069064492077704,0.2310756972111554,0.15832998818261673,10,0.6,1.0,28,True
hour_sin_mm30,0.6049952989976506,0.2848605577689243,0.30256888401537607,10,0.6,1.0,29,True
boll_bandwidth,0.6015443494908108,0.25657370517928285,0.18785939045303024,10,0.5,1.0,30,True
ppo_slope_24h,0.6004007138296288,0.27768924302788844,0.2634845697349639,10,0.5,1.0,31,True
volume_relative_20,0.5904736884256823,0.24940239043824702,0.19867304400649,10,0.6,1.0,32,True
atr_zn30,0.5886232076280657,0.28804780876494024,0.21140204590627681,10,0.5,1.0,33,True
price_position_ma200_slope_24h,0.5870259319930919,0.2868525896414343,0.23798644701551305,10,0.5,1.0,34,True
cci_zn30,0.5862455336731442,0.2581673306772908,0.12380976219146315,10,0.6,1.0,35,True
support_level_20_zn30,0.5844505870136577,0.23944223107569723,0.15875770566318728,10,0.5,1.0,36,True
distance_to_resistance_mm30,0.5822581770156373,0.3071713147410359,0.24792737596591527,10,0.5,1.0,37,True
cci_mm30,0.5804749126965689,0.2681274900398406,0.16857031491208568,10,0.6,1.0,38,True
_orig_idx,0.5782656255081504,0.24063745019920318,0.07470517917663248,10,0.5,1.0,39,True
plus_di,0.5762779244389827,0.3075697211155378,0.23130302810730707,10,0.5,1.0,40,True
boll_upper_zn30,0.573283633700765,0.31274900398406374,0.26519390612879323,10,0.6,1.0,41,True
tail_bias_norm,0.5687354919490158,0.30916334661354583,0.2600223552164279,10,0.5,1.0,42,True
amplitude_range_zn30,0.5618150516592312,0.299601593625498,0.2332997335638599,10,0.6,1.0,43,True
ppo_zn30,0.5519833150029412,0.297609561752988,0.1869073731054307,10,0.6,1.0,44,True
boll_lower_zn30,0.5499765746509117,0.2964143426294821,0.14246641567103124,10,0.5,1.0,45,True
ma5_mm30,0.5480327162149289,0.34741035856573704,0.303851725962925,10,0.5,1.0,46,True
kdj_j,0.5456343326513922,0.3147410358565737,0.2168785153703622,10,0.5,1.0,47,True
squeeze_on_zn30,0.54133415140793,0.31633466135458166,0.22149865712009092,10,0.5,1.0,48,True
momentum,0.5310120244661353,0.36613545816733073,0.3234131212185533,10,0.6,1.0,49,True
ichimoku_span_a_zn30,0.5239979641894801,0.34701195219123504,0.2545054929279285,10,0.5,1.0,50,True
mfi,0.5161276486939976,0.3354581673306773,0.2284335521884864,10,0.5,1.0,51,True
price_above_ma20,0.4531978015145611,0.4713147410358566,0.33907506011155064,10,0.5,1.0,52,True
