feature,score_global,avg_rank_pct,std_rank_pct,pair_coverage,appear_rate,appear_rate_era,rank,keep
target_breakout_prob,0.9550607287449392,0.04879032258064516,0.10327532274520276,10,1.0,1.0,1,True
taker_imbalance_z,0.8825910931174089,0.12096774193548387,0.15508329882896316,10,0.9,1.0,2,True
high_mm30,0.8267206477732794,0.17661290322580644,0.18385062847325379,10,0.8,1.0,3,True
taker_buy_sell_imbalance,0.7993927125506073,0.2038306451612903,0.18491431664562993,10,0.8,1.0,4,True
return_skewness,0.7603238866396762,0.24274193548387096,0.18980236524892724,10,0.7,1.0,5,True
low_mm30,0.7475708502024292,0.25544354838709676,0.23121024233797266,10,0.7,1.0,6,True
ewmavolatility,0.7379554655870445,0.2650201612903226,0.29078208810134654,10,0.7,1.0,7,True
etf_btc_change_usd,0.7352226720647773,0.26774193548387093,0.15698729101005274,10,0.8,1.0,8,True
cvar_95_30d,0.7182186234817813,0.2846774193548387,0.25387895755577256,10,0.6,1.0,9,True
rolling_volatility,0.7022267206477733,0.3006048387096774,0.2258573491344768,10,0.6,1.0,10,True
ppo,0.7006072874493927,0.3022177419354839,0.1937266997092865,10,0.5,1.0,11,True
obv_zn30,0.6886639676113361,0.31411290322580643,0.22745414589366764,10,0.6,1.0,12,True
hour_cos,0.6860323886639677,0.31673387096774197,0.19585978430378934,10,0.5,1.0,13,True
distance_to_resistance,0.6819838056680162,0.32076612903225804,0.27663440580708687,10,0.6,1.0,14,True
obv_diff1_zn30,0.6746963562753037,0.3280241935483871,0.1444378190545865,10,0.5,1.0,15,True
hour_sin_mm30,0.6738866396761134,0.3288306451612903,0.28321881102002594,10,0.6,1.0,16,True
new_address_count_bitcoin_new_addresses,0.6734817813765182,0.3292338709677419,0.19251668820396226,10,0.5,1.0,17,True
distance_to_support_zn30,0.6710526315789473,0.3316532258064516,0.19916808440116154,10,0.5,1.0,18,True
basis_z,0.6694331983805667,0.33326612903225805,0.24660966019771546,10,0.6,1.0,19,True
r_btc,0.6633603238866397,0.3393145161290323,0.23500768508822448,10,0.6,1.0,20,True
cci,0.6530364372469636,0.3495967741935484,0.30762426554182054,10,0.5,1.0,21,True
cvar_95_30d_mm30,0.6497975708502024,0.3528225806451613,0.15863062438044073,10,0.5,1.0,22,True
boll_upper_mm30,0.648582995951417,0.3540322580645161,0.2200634571973821,10,0.5,1.0,23,True
minus_di,0.6435222672064778,0.3590725806451613,0.23080240726552367,10,0.5,1.0,24,True
keltner_lower_20_zn30,0.6354251012145749,0.36713709677419354,0.24376816690425515,10,0.6,1.0,25,True
distance_to_support_mm30,0.6307692307692309,0.3717741935483871,0.1664014322055973,10,0.5,1.0,26,True
ma20_zn30,0.6230769230769231,0.37943548387096776,0.15790522567663168,10,0.5,1.0,27,True
target_realized_vol,0.6208502024291498,0.3816532258064516,0.3350497373053407,10,0.5,1.0,28,True
dow_cos_zn30,0.6190283400809716,0.3834677419354839,0.1676038082384041,10,0.5,1.0,29,True
ichimoku_base_zn30,0.6115384615384615,0.3909274193548387,0.22798696372340732,10,0.5,1.0,30,True
volume_relative_20,0.6109311740890689,0.3915322580645161,0.22651498541416895,10,0.5,1.0,31,True
movcd_bitcoin_bitcoin_reserve_risk,0.6060728744939271,0.3963709677419355,0.12354702428663385,10,0.5,1.0,32,True
ma20_mm30,0.6049595141700405,0.3974798387096774,0.2356246673422126,10,0.5,1.0,33,True
taker_sell_volume_usd_z,0.6038461538461537,0.3985887096774194,0.2436265755773625,10,0.5,1.0,34,True
sth_sopr_bitcoin_sth_sopr,0.5987854251012146,0.4036290322580645,0.22092702316924442,10,0.5,1.0,35,True
ichimoku_span_a_zn30,0.5981781376518219,0.404233870967742,0.27031212354454276,10,0.5,1.0,36,True
logreturn_pct_rank,0.5959514170040486,0.4064516129032258,0.14584788837727183,10,0.5,1.0,37,True
target_vol_jump_prob,0.5944331983805669,0.4079637096774194,0.27198571587491005,10,0.5,1.0,38,True
price_position_ma200_slope_24h,0.5840080971659919,0.4183467741935484,0.2352942455015066,10,0.5,1.0,39,True
ma_diff_5_20_zn30,0.5198380566801619,0.482258064516129,0.266781268732051,10,0.5,1.0,40,True
volume_percentile,0.5109311740890689,0.4911290322580645,0.2392439138335473,10,0.5,1.0,41,True
