feature,target,metric,value,window_start,window_end
donchian_high_20,target_logreturn,ic,-0.0007370635849877534,2024-07-23 01:00:00,2025-06-11 00:00:00
volume,target_logreturn,ic,0.004196613876838299,2024-07-23 01:00:00,2025-06-11 00:00:00
rsi,target_logreturn,ic,-0.022392105823104084,2024-07-23 01:00:00,2025-06-11 00:00:00
macd_hist,target_logreturn,ic,-0.015464453291912334,2024-07-23 01:00:00,2025-06-11 00:00:00
kdj_j,target_logreturn,ic,-0.033679948357185935,2024-07-23 01:00:00,2025-06-11 00:00:00
momentum,target_logreturn,ic,-0.03480030357149287,2024-07-23 01:00:00,2025-06-11 00:00:00
vol_change,target_logreturn,ic,0.010520420184815927,2024-07-23 01:00:00,2025-06-11 00:00:00
obv,target_logreturn,ic,-0.0008733403413328384,2024-07-23 01:00:00,2025-06-11 00:00:00
amplitude_range,target_logreturn,ic,0.009245410077211174,2024-07-23 01:00:00,2025-06-11 00:00:00
cci,target_logreturn,ic,-0.03039757133880741,2024-07-23 01:00:00,2025-06-11 00:00:00
adx,target_logreturn,ic,0.009179758737669337,2024-07-23 01:00:00,2025-06-11 00:00:00
plus_di,target_logreturn,ic,-0.026461120416140932,2024-07-23 01:00:00,2025-06-11 00:00:00
minus_di,target_logreturn,ic,0.028722795245476076,2024-07-23 01:00:00,2025-06-11 00:00:00
trend_flag,target_logreturn,ic,0.007828717718810165,2024-07-23 01:00:00,2025-06-11 00:00:00
boll_bandwidth,target_logreturn,ic,0.016193551434191534,2024-07-23 01:00:00,2025-06-11 00:00:00
range_flag,target_logreturn,ic,-0.0037390326682287495,2024-07-23 01:00:00,2025-06-11 00:00:00
high_vol_flag,target_logreturn,ic,-0.0026254418141312113,2024-07-23 01:00:00,2025-06-11 00:00:00
stress_flag,target_logreturn,ic,-0.0007878658357893666,2024-07-23 01:00:00,2025-06-11 00:00:00
squeeze_on,target_logreturn,ic,-0.007665194749672624,2024-07-23 01:00:00,2025-06-11 00:00:00
ppo,target_logreturn,ic,-0.0209376929497664,2024-07-23 01:00:00,2025-06-11 00:00:00
stoch_rsi_mm30,target_logreturn,ic,0.009313034637697856,2024-07-23 01:00:00,2025-06-11 00:00:00
tsi,target_logreturn,ic,-0.016284514915967756,2024-07-23 01:00:00,2025-06-11 00:00:00
cloud_thickness,target_logreturn,ic,-0.010190553464805456,2024-07-23 01:00:00,2025-06-11 00:00:00
heikin_ashi_trend,target_logreturn,ic,-0.019029990106335937,2024-07-23 01:00:00,2025-06-11 00:00:00
ret_skew_30d,target_logreturn,ic,0.00045878249738656756,2024-07-23 01:00:00,2025-06-11 00:00:00
ret_kurt_30d,target_logreturn,ic,0.002398057727136218,2024-07-23 01:00:00,2025-06-11 00:00:00
var_95_30d,target_logreturn,ic,-0.020896154037381293,2024-07-23 01:00:00,2025-06-11 00:00:00
cvar_95_30d,target_logreturn,ic,-0.018011314987790773,2024-07-23 01:00:00,2025-06-11 00:00:00
z_score_gap,target_logreturn,ic,0.00800267148600119,2024-07-23 01:00:00,2025-06-11 00:00:00
doji_ratio_20,target_logreturn,ic,-0.003280793256063654,2024-07-23 01:00:00,2025-06-11 00:00:00
hammer_cnt_20,target_logreturn,ic,0.022457952439072736,2024-07-23 01:00:00,2025-06-11 00:00:00
engulfing_up_cnt_20,target_logreturn,ic,-0.009215220175412231,2024-07-23 01:00:00,2025-06-11 00:00:00
mfi,target_logreturn,ic,-0.010289413738220538,2024-07-23 01:00:00,2025-06-11 00:00:00
cmf,target_logreturn,ic,-0.012334136435814713,2024-07-23 01:00:00,2025-06-11 00:00:00
price_volume_corr_20,target_logreturn,ic,-0.02121203306302753,2024-07-23 01:00:00,2025-06-11 00:00:00
price_position_ma200,target_logreturn,ic,-0.014391852926270383,2024-07-23 01:00:00,2025-06-11 00:00:00
r_sym,target_logreturn,ic,-0.047276369010953834,2024-07-23 01:00:00,2025-06-11 00:00:00
r_btc,target_logreturn,ic,-0.055724144129166917,2024-07-23 01:00:00,2025-06-11 00:00:00
beta_btc_60d,target_logreturn,ic,-0.004872128011318165,2024-07-23 01:00:00,2025-06-11 00:00:00
distance_to_pivot,target_logreturn,ic,9.54731543831222e-05,2024-07-23 01:00:00,2025-06-11 00:00:00
hour_cos,target_logreturn,ic,0.0032948965969791973,2024-07-23 01:00:00,2025-06-11 00:00:00
dow_sin,target_logreturn,ic,0.0166011494253396,2024-07-23 01:00:00,2025-06-11 00:00:00
dow_cos,target_logreturn,ic,-0.011481785902956189,2024-07-23 01:00:00,2025-06-11 00:00:00
