feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
target_breakout_prob,0.23985475,0.00033647228549834576,1.938582116862563e-05,-0.006694496177097386,0.00033647228549834576,1.0,4.0,2.5,0.010080645161290322,1h,target_logreturn,2025,36,0,0,0.00031947986403672683,0.0003534647069599647
low_mm30,0.025774634,6.681329686037164e-05,1.7505103429633587e-05,-0.006694496177097386,6.681329686037164e-05,2.0,8.0,5.0,0.020161290322580645,1h,target_logreturn,2025,36,0,0,5.146939718141608e-05,8.21571965393272e-05
ewmavolatility,0.017727222,0.000959321416426653,3.727913447264352e-05,-0.006694496177097386,0.000959321416426653,3.0,1.0,2.0,0.008064516129032258,1h,target_logreturn,2025,36,0,0,0.0009266448143279638,0.000991998018525342
us_m2_yoy_growth_bitcoin_bitcoin_vs_us_m2_growth,0.0135923615,-5.5702594174526773e-08,4.3393763846163136e-08,-0.006694496177097386,-5.5702594174526773e-08,4.0,158.0,81.0,0.32661290322580644,1h,target_logreturn,2025,36,0,0,-9.373890523228742e-08,-1.766628311676612e-08
cvar_95_30d,0.009429417,0.00034323200673311847,3.7606721535296988e-06,-0.006694496177097386,0.00034323200673311847,5.0,3.0,4.0,0.016129032258064516,1h,target_logreturn,2025,36,0,0,0.00033993563225117636,0.0003465283812150606
taker_imbalance_z,0.009080717,0.00017199230144809355,2.778640772027716e-05,-0.006694496177097386,0.00017199230144809355,6.0,5.0,5.5,0.02217741935483871,1h,target_logreturn,2025,36,0,0,0.0001476364412149722,0.0001963481616812149
atr_ratio_price,0.007895226,5.536858728359181e-05,7.2643947410179916e-06,-0.006694496177097386,5.536858728359181e-05,7.0,10.0,8.5,0.034274193548387094,1h,target_logreturn,2025,36,0,0,4.900106454471899e-05,6.173611002246463e-05
ahr999_value_ahr999,0.0068451725,-4.7025836017924176e-07,9.179732885259992e-08,-0.006694496177097386,-4.7025836017924176e-07,8.0,176.0,92.0,0.3709677419354839,1h,target_logreturn,2025,36,0,0,-5.507222666264297e-07,-3.8979445373205384e-07
rolling_volatility,0.006812779,6.719096403219431e-06,7.93300247618313e-07,-0.006694496177097386,6.719096403219431e-06,9.0,42.0,25.5,0.1028225806451613,1h,target_logreturn,2025,36,0,0,6.023738077364581e-06,7.414454729074281e-06
mining_difficulty_bitcoin_bubble_index,0.006518714,0.0,0.0,-0.006694496177097386,0.0,10.0,148.0,79.0,0.3185483870967742,1h,target_logreturn,2025,36,0,0,0.0,0.0
return_skewness,0.0064141867,0.0007383695072034643,2.1640394940824134e-05,-0.006694496177097386,0.0007383695072034643,11.0,2.0,6.5,0.02620967741935484,1h,target_logreturn,2025,36,0,0,0.0007194008646975952,0.0007573381497093335
ma5_mm30,0.0063141803,-1.46609784743814e-05,4.78902178250348e-06,-0.006694496177097386,-1.46609784743814e-05,12.0,248.0,130.0,0.5241935483870968,1h,target_logreturn,2025,36,0,0,-1.8858741148932158e-05,-1.0463215799830643e-05
lth_sopr_bitcoin_lth_sopr,0.0059113796,2.1004123926209386e-06,1.607995173194956e-06,-0.006694496177097386,2.1004123926209386e-06,13.0,83.0,48.0,0.1935483870967742,1h,target_logreturn,2025,36,0,0,6.909424788367948e-07,3.5098823064050825e-06
volume_spike_near_resist,0.005765813,8.188632839543907e-08,1.7100160797816452e-07,-0.006694496177097386,8.188632839543907e-08,14.0,137.0,75.5,0.30443548387096775,1h,target_logreturn,2025,36,0,0,-6.800318972733184e-08,2.3177584651821e-07
cci,0.005546167,9.786316836199703e-05,1.2118807103257784e-05,-0.006694496177097386,9.786316836199703e-05,15.0,6.0,10.5,0.04233870967741935,1h,target_logreturn,2025,36,0,0,8.724056557827307e-05,0.00010848577114572098
ichimoku_conv_mm30,0.005425685,-1.4346529872909588e-06,7.458414139298411e-07,-0.006694496177097386,-1.4346529872909588e-06,16.0,196.0,106.0,0.4274193548387097,1h,target_logreturn,2025,36,0,0,-2.0884118112677784e-06,-7.80894163314139e-07
target_realized_vol,0.0053925184,1.5920948467875938e-05,3.415681239690513e-06,-0.006694496177097386,1.5920948467875938e-05,17.0,20.0,18.5,0.07459677419354839,1h,target_logreturn,2025,36,0,0,1.2926971854839793e-05,1.8914925080912083e-05
short_term_holder_supply_bitcoin_bitcoin_short_term_holder_supply,0.0053913305,-8.518940923560315e-07,8.919460876103179e-07,-0.006694496177097386,-8.518940923560315e-07,18.0,186.0,102.0,0.4112903225806452,1h,target_logreturn,2025,36,0,0,-1.6337193093473997e-06,-7.006887536466318e-08
