feature,score_global,avg_rank_pct,std_rank_pct,pair_coverage,appear_rate,appear_rate_era,rank,keep
return_skewness,0.7984210526315789,0.2057591623036649,0.24025937849270718,15,0.8,1.0,1,True
ewmavolatility,0.7612280701754386,0.24275741710296686,0.2431627120239776,15,0.7333333333333333,1.0,2,True
cvar_95_30d,0.7549122807017544,0.24904013961605584,0.19349951036528115,15,0.8,1.0,3,True
ret_skew_30d,0.7336842105263158,0.27015706806282724,0.19973177454063637,15,0.7333333333333333,1.0,4,True
obv_diff1_zn30,0.7201754385964911,0.2835951134380454,0.16137714975611098,15,0.8,1.0,5,True
rolling_volatility,0.7028070175438597,0.3008726003490401,0.2913556060356476,15,0.7333333333333333,1.0,6,True
boll_upper_zn30,0.6959649122807018,0.3076788830715532,0.21248894824012948,15,0.6666666666666666,1.0,7,True
distance_to_support_zn30,0.6870175438596491,0.31657940663176265,0.11024759928916109,15,0.8,1.0,8,True
distance_to_resistance_zn30,0.686140350877193,0.3174520069808028,0.1896014756146546,15,0.5333333333333333,1.0,9,True
r_sym,0.6861403508771929,0.3174520069808028,0.22412296914445534,15,0.6,1.0,10,True
distance_to_resistance,0.6831578947368421,0.32041884816753924,0.2055046471234864,15,0.5333333333333333,1.0,11,True
cci_mm30,0.6814035087719298,0.32216404886561956,0.1770163037292485,15,0.7333333333333333,1.0,12,True
high_mm30,0.6728070175438596,0.3307155322862129,0.17981798969644536,15,0.6666666666666666,1.0,13,True
obv_diff1_mm30,0.6719298245614035,0.33158813263525305,0.17801505413022065,15,0.6666666666666666,1.0,14,True
ichimoku_base_zn30,0.6651754385964912,0.33830715532286215,0.12209700496740028,15,0.7333333333333333,1.0,15,True
trendline_slope_20_zn30,0.6641228070175438,0.3393542757417103,0.23794771999996506,15,0.6666666666666666,1.0,16,True
distance_to_resistance_mm30,0.6635087719298245,0.33996509598603836,0.18453141122432384,15,0.7333333333333333,1.0,17,True
boll_upper_mm30,0.6373684210526316,0.36596858638743457,0.21681109887386496,15,0.5333333333333333,1.0,18,True
atr_ratio_price,0.6323684210526316,0.37094240837696335,0.23839130575194956,15,0.5333333333333333,1.0,19,True
price_position_ma200_mm30,0.6244736842105263,0.37879581151832464,0.21566057680794157,15,0.6,1.0,20,True
trend_flag_zn30,0.6194736842105263,0.38376963350785337,0.1266740606937082,15,0.5333333333333333,1.0,21,True
donchian_high_20_zn30,0.6182456140350877,0.38499127399650956,0.24187904252066783,15,0.5333333333333333,1.0,22,True
volume_percentile,0.6178947368421053,0.38534031413612563,0.1567005173592118,15,0.5333333333333333,1.0,23,True
cci_zn30,0.6121052631578947,0.39109947643979054,0.17059319288826488,15,0.5333333333333333,1.0,24,True
price_position_ma200,0.6075438596491228,0.3956369982547993,0.22302257362739092,15,0.5333333333333333,1.0,25,True
distance_to_support,0.6043859649122807,0.39877835951134377,0.244267765104995,15,0.6,1.0,26,True
_orig_idx,0.6032456140350877,0.39991273996509596,0.10603463842515859,15,0.6,1.0,27,True
var_95_30d_zn30,0.6029824561403508,0.400174520069808,0.1783727084174601,15,0.5333333333333333,1.0,28,True
plus_di,0.5994736842105264,0.4036649214659686,0.2665610542578363,15,0.5333333333333333,1.0,29,True
var_95_30d,0.592280701754386,0.4108202443280977,0.20893376283382928,15,0.5333333333333333,1.0,30,True
ppo_zn30,0.5917543859649123,0.4113438045375218,0.20903775760730406,15,0.5333333333333333,1.0,31,True
logreturn_pct_rank,0.5891228070175438,0.41396160558464223,0.24115630990200743,15,0.5333333333333333,1.0,32,True
tsi_mm30,0.5864912280701755,0.4165794066317626,0.18864487103718663,15,0.5333333333333333,1.0,33,True
keltner_upper_20_mm30,0.5805263157894737,0.4225130890052356,0.28682513223675304,15,0.5333333333333333,1.0,34,True
squeeze_on_zn30,0.5715789473684211,0.431413612565445,0.178888787450257,15,0.5333333333333333,1.0,35,True
boll_lower_zn30,0.5563157894736842,0.44659685863874343,0.17557342297587877,15,0.5333333333333333,1.0,36,True
