feature,reason,value
open,corr_cluster,donchian_high_20
high,corr_cluster,donchian_high_20
low,corr_cluster,donchian_high_20
close,corr_cluster,donchian_high_20
ma5,corr_cluster,donchian_high_20
ma20,corr_cluster,donchian_high_20
boll_upper,corr_cluster,donchian_high_20
boll_lower,corr_cluster,donchian_high_20
atr,corr_cluster,donchian_high_20
vwap,corr_cluster,donchian_high_20
donchian_low_20,corr_cluster,donchian_high_20
keltner_upper_20,corr_cluster,donchian_high_20
keltner_lower_20,corr_cluster,donchian_high_20
ichimoku_conv,corr_cluster,donchian_high_20
ichimoku_base,corr_cluster,donchian_high_20
ichimoku_span_a,corr_cluster,donchian_high_20
ichimoku_span_b,corr_cluster,donchian_high_20
psar,corr_cluster,donchian_high_20
supertrend_10_3,corr_cluster,donchian_high_20
ma200,corr_cluster,donchian_high_20
log_close,corr_cluster,donchian_high_20
pivot_point,corr_cluster,donchian_high_20
volume_profile_hvn,corr_cluster,donchian_high_20
volume_profile_lvn,corr_cluster,donchian_high_20
support_level_20,corr_cluster,donchian_high_20
resistance_level_20,corr_cluster,donchian_high_20
amplitude_range,corr_cluster,donchian_high_20
vol_ma,corr_cluster,volume
boll_pctb,corr_cluster,cci
adx_scaled,corr_cluster,adx
range_flag_mm30,corr_cluster,range_flag
high_vol_flag_mm30,corr_cluster,high_vol_flag
stress_flag_mm30,corr_cluster,stress_flag
squeeze_on_mm30,corr_cluster,squeeze_on
stoch_rsi,corr_cluster,stoch_rsi_mm30
psar_flip_flag_mm30,corr_cluster,psar_flip_flag
hour_sin,corr_cluster,hour_sin_zn30
pullback_from_high,corr_cluster,distance_to_resistance
range_to_atr,corr_cluster,atr_ratio_range
open_zn30,corr_cluster,pivot_point_zn30
donchian_low_20_zn30,corr_cluster,support_level_20_zn30
resistance_level_20_zn30,corr_cluster,donchian_high_20_zn30
atr_mm30,corr_cluster,atr_zn30
trendline_slope_20_mm30,corr_cluster,trendline_slope_20_zn30
ma_diff_5_20_mm30,corr_cluster,ma_diff_5_20_zn30
tsi_zn30,corr_cluster,ppo_zn30
psar_mm30,corr_cluster,psar_zn30
mfi_mm30,corr_cluster,mfi_zn30
open_mm30,corr_cluster,pivot_point_mm30
donchian_low_20_mm30,corr_cluster,support_level_20_mm30
donchian_high_20_mm30,corr_cluster,resistance_level_20_mm30
ppo_mm30,corr_cluster,tsi_mm30
parkinson_volatility,corr_cluster,rolling_volatility
hour_sin_zn30,vif,278.2265418339914
close_zn30,vif,136.848136562328
hour_cos_zn30,vif,132.97592570407718
pivot_point_zn30,vif,122.42744293898662
ma5_zn30,vif,64.65377645270173
high_zn30,vif,54.01372010765021
pivot_point_mm30,vif,52.31906577344127
low_zn30,vif,45.71643497581041
kdj_k,vif,43.38497791217362
close_mm30,vif,41.055807590091156
volume_zn30,vif,40.60152105283557
stress_flag,vif,40.48263773960815
psar_flip_flag,vif,39.632360281168545
ma20_mm30,vif,37.099055897236546
cci,vif,35.14315273273745
keltner_lower_20_zn30,vif,31.059336664164153
williams_r,vif,30.766459220779733
keltner_upper_20_zn30,vif,30.189756726516126
ma_diff_5_20,vif,29.57080322588562
tsi,vif,28.370533404437868
