feature,coverage,variance,keep,cluster_rep
open,1.0,544491581.859381,False,donchian_high_20
high,1.0,549960516.0819463,False,donchian_high_20
low,1.0,538921154.1875279,False,donchian_high_20
close,1.0,544600418.5721887,False,donchian_high_20
volume,1.0,5860339722111452.0,True,volume
ma5,1.0,544347290.0046253,False,donchian_high_20
ma20,1.0,543431861.7458187,False,donchian_high_20
rsi,1.0,272.50179060015324,True,rsi
macd_hist,1.0,4764.8078337326315,True,macd_hist
kdj_k,1.0,418.70473430938785,False,kdj_k
kdj_j,1.0,1019.1984968423403,True,kdj_j
momentum,1.0,219283.34466279874,True,momentum
vol_ma,1.0,5005542624747576.0,False,volume
vol_change,1.0,0.590044705237667,True,vol_change
obv,1.0,2.4605333356757897e+19,True,obv
boll_upper,1.0,567290874.4443974,False,donchian_high_20
boll_lower,1.0,520639476.3713751,False,donchian_high_20
atr,1.0,101996.84572994974,False,donchian_high_20
cci,1.0,13043.414796118866,False,cci
adx,1.0,129.80278654267246,True,adx
plus_di,1.0,59.24170444832302,True,plus_di
minus_di,1.0,60.39302754600824,True,minus_di
adx_scaled,1.0,0.012980278646943715,False,adx
vwap,1.0,186690720.11471972,False,donchian_high_20
trend_flag,1.0,0.23556531559438013,True,trend_flag
boll_bandwidth,1.0,0.005703147931202415,True,boll_bandwidth
range_flag,1.0,0.032592649450144465,True,range_flag
high_vol_flag,1.0,0.009557722791417134,True,high_vol_flag
stress_flag,1.0,0.0008346842350209715,False,stress_flag
donchian_high_20,1.0,569059165.6393219,True,donchian_high_20
donchian_low_20,1.0,516766518.3149364,False,donchian_high_20
keltner_upper_20,1.0,560137081.3439168,False,donchian_high_20
keltner_lower_20,1.0,527025779.27859193,False,donchian_high_20
squeeze_on,1.0,0.11699853710912818,True,squeeze_on
ppo,1.0,0.00025362631479501743,True,ppo
stoch_rsi,1.0,0.13458322321703514,False,stoch_rsi_mm30
williams_r,1.0,712.26736044658,False,williams_r
tsi,1.0,0.04271894030047336,False,tsi
ichimoku_conv,1.0,543380347.8378452,False,donchian_high_20
ichimoku_base,1.0,541748461.4826894,False,donchian_high_20
ichimoku_span_a,1.0,539645134.5021589,False,donchian_high_20
ichimoku_span_b,1.0,536723764.8372327,False,donchian_high_20
cloud_thickness,1.0,286115.7134378769,True,cloud_thickness
psar,1.0,542880924.7042909,False,donchian_high_20
psar_flip_flag,1.0,0.019773798528773884,False,psar_flip_flag
supertrend_10_3,1.0,538572357.4492764,False,donchian_high_20
heikin_ashi_trend,1.0,25527.42546426531,True,heikin_ashi_trend
ret_skew_30d,1.0,1.0184243026569073,True,ret_skew_30d
ret_kurt_30d,1.0,8.943993529621109,True,ret_kurt_30d
var_95_30d,1.0,0.00020270214762389333,True,var_95_30d
cvar_95_30d,1.0,0.00039157563692659124,True,cvar_95_30d
z_score_gap,1.0,7.946678972388413e-05,True,z_score_gap
doji_ratio_20,1.0,0.004781331113899981,True,doji_ratio_20
hammer_cnt_20,1.0,4.274371506860245,True,hammer_cnt_20
engulfing_up_cnt_20,1.0,1.3289173543184605,True,engulfing_up_cnt_20
mfi,1.0,306.79376840917035,True,mfi
cmf,1.0,0.015927054156299632,True,cmf
price_volume_corr_20,1.0,0.1642491670368473,True,price_volume_corr_20
ma200,1.0,532789258.5675581,False,donchian_high_20
price_position_ma200,1.0,0.01734455599560124,True,price_position_ma200
log_close,1.0,14.604096621735534,False,donchian_high_20
r_sym,1.0,0.00019836170907681265,True,r_sym
r_btc,1.0,8.940518297531852e-05,True,r_btc
beta_btc_60d,1.0,0.07389203566835788,True,beta_btc_60d
pivot_point,1.0,544359414.4066904,False,donchian_high_20
distance_to_pivot,1.0,2.4904273439875544e-05,True,distance_to_pivot
volume_profile_hvn,1.0,488651747.39892524,False,donchian_high_20
volume_profile_lvn,1.0,499412138.9793573,False,donchian_high_20
hour_sin,1.0,0.4858589467663883,False,hour_sin_zn30
hour_cos,1.0,0.5133500952057061,True,hour_cos
dow_sin,1.0,0.49995893451813483,True,dow_sin
dow_cos,1.0,0.5000446977296222,True,dow_cos
trend_flag_diff1,1.0,0.08948481105465537,True,trend_flag_diff1
trend_flag_slope_24h,1.0,0.004863676081066087,True,trend_flag_slope_24h
range_flag_diff1,1.0,0.008723880556247437,True,range_flag_diff1
range_flag_slope_24h,1.0,0.00019094287061704985,True,range_flag_slope_24h
ppo_diff1,1.0,3.1066574243102177e-06,True,ppo_diff1
ppo_slope_24h,1.0,1.8970946876237368e-06,True,ppo_slope_24h
stoch_rsi_diff1,1.0,0.04817774064201616,True,stoch_rsi_diff1
stoch_rsi_slope_24h,1.0,0.003505797117845328,True,stoch_rsi_slope_24h
psar_diff1,1.0,68226.61354893193,True,psar_diff1
psar_slope_24h,1.0,27836.384292483963,True,psar_slope_24h
ret_skew_30d_diff1,1.0,0.09602221446909763,True,ret_skew_30d_diff1
ret_skew_30d_slope_24h,1.0,0.008736579847921831,True,ret_skew_30d_slope_24h
ret_kurt_30d_diff1,1.0,0.9958118223236867,True,ret_kurt_30d_diff1
ret_kurt_30d_slope_24h,1.0,0.07535066667429927,True,ret_kurt_30d_slope_24h
mfi_diff1,1.0,37.19011485746258,True,mfi_diff1
mfi_slope_24h,1.0,4.079491818643647,True,mfi_slope_24h
price_position_ma200_diff1,1.0,0.0002533898087314563,True,price_position_ma200_diff1
price_position_ma200_slope_24h,1.0,9.881404106514019e-05,True,price_position_ma200_slope_24h
macd_bullish_cross,1.0,0.0370083994873099,True,macd_bullish_cross
rsi_overbought,1.0,0.11567238613516538,True,rsi_overbought
rsi_oversold,1.0,0.09801665242870797,True,rsi_oversold
price_above_ma20,1.0,0.2498908013479183,True,price_above_ma20
breakout_recent_high,1.0,0.04656754172124666,True,breakout_recent_high
pullback_from_high,1.0,0.0016017714774555917,False,distance_to_resistance
trendline_slope_20,1.0,2521.6800517905367,True,trendline_slope_20
ma_diff_5_20,1.0,158285.95012675345,False,ma_diff_5_20
volume_relative_20,1.0,0.5127970539144175,True,volume_relative_20
volume_percentile,1.0,0.08975887103916176,True,volume_percentile
support_level_20,1.0,516766518.3149364,False,donchian_high_20
resistance_level_20,1.0,569059165.6393219,False,donchian_high_20
distance_to_support,1.0,0.002326780219632309,True,distance_to_support
distance_to_resistance,1.0,0.0028795346309937013,True,distance_to_resistance
volume_spike_near_support,1.0,0.06681637026477268,True,volume_spike_near_support
volume_spike_near_resist,1.0,0.07024700007576011,True,volume_spike_near_resist
obv_diff1,1.0,6065897134989494.0,True,obv_diff1
obv_pct,1.0,0.048587071186106105,True,obv_pct
obv_slope_14,1.0,582151466749988.8,True,obv_slope_14
atr_ratio_price,1.0,0.00023252338639015414,True,atr_ratio_price
atr_ratio_range,1.0,0.31625563019023867,True,atr_ratio_range
atr_change,1.0,0.0039846974291048365,True,atr_change
range_to_atr,1.0,0.2974474404113831,False,atr_ratio_range
atr_slope,1.0,423.37626522469526,True,atr_slope
boll_pctb,1.0,0.10625679233970427,False,cci
amplitude_range,1.0,136122.41716058544,False,donchian_high_20
open_zn30,1.0,2.2415077575256586,False,pivot_point_zn30
high_zn30,1.0,2.2606483992613846,False,high_zn30
low_zn30,1.0,2.2136522233459353,False,low_zn30
close_zn30,1.0,2.2415643205750015,False,close_zn30
ma5_zn30,1.0,2.56395302556518,False,ma5_zn30
ma20_zn30,1.0,3.0955144080180124,True,ma20_zn30
boll_upper_zn30,1.0,3.023178374576331,True,boll_upper_zn30
boll_lower_zn30,1.0,2.99116625249284,True,boll_lower_zn30
support_level_20_zn30,1.0,3.001212315347435,True,support_level_20_zn30
resistance_level_20_zn30,1.0,3.1312167323760396,False,donchian_high_20_zn30
distance_to_support_zn30,1.0,1.9088546507296333,True,distance_to_support_zn30
distance_to_resistance_zn30,1.0,1.880636089921106,True,distance_to_resistance_zn30
volume_zn30,1.0,1.3954318175588276,False,volume_zn30
vol_ma_zn30,1.0,1.7797627112632612,True,vol_ma_zn30
volume_relative_20_zn30,1.0,1.3215427153534125,True,volume_relative_20_zn30
obv_zn30,1.0,2.304129866530723,True,obv_zn30
atr_zn30,1.0,2.2493438787802402,True,atr_zn30
amplitude_range_zn30,1.0,1.3321003318612656,True,amplitude_range_zn30
atr_slope_zn30,1.0,1.2949773404924136,True,atr_slope_zn30
trendline_slope_20_zn30,1.0,2.186363359458895,True,trendline_slope_20_zn30
ma_diff_5_20_zn30,1.0,2.031355673592115,True,ma_diff_5_20_zn30
cci_zn30,1.0,1.6614837327001282,True,cci_zn30
adx_scaled_zn30,1.0,2.4759124986841408,True,adx_scaled_zn30
vwap_zn30,1.0,2.998679452957616,True,vwap_zn30
obv_diff1_zn30,1.0,1.2249558096922941,True,obv_diff1_zn30
obv_pct_zn30,1.0,1.2477280246047195,True,obv_pct_zn30
obv_slope_14_zn30,1.0,1.936769316364231,True,obv_slope_14_zn30
trend_flag_zn30,1.0,1.6155650891287985,True,trend_flag_zn30
range_flag_zn30,1.0,0.3027514881391382,True,range_flag_zn30
high_vol_flag_zn30,1.0,0.13049007692751574,True,high_vol_flag_zn30
stress_flag_zn30,1.0,0.021725584190549204,True,stress_flag_zn30
donchian_high_20_zn30,1.0,3.1312167323853375,True,donchian_high_20_zn30
donchian_low_20_zn30,1.0,3.001212315344893,False,support_level_20_zn30
keltner_upper_20_zn30,1.0,3.015051600232498,False,keltner_upper_20_zn30
keltner_lower_20_zn30,1.0,2.946134341409908,False,keltner_lower_20_zn30
squeeze_on_zn30,1.0,0.9591072144330546,True,squeeze_on_zn30
ppo_zn30,1.0,2.490627434180121,True,ppo_zn30
stoch_rsi_zn30,1.0,1.3715343200608694,True,stoch_rsi_zn30
williams_r_zn30,1.0,1.5228961451021734,True,williams_r_zn30
tsi_zn30,1.0,2.479032404165729,False,ppo_zn30
ichimoku_conv_zn30,1.0,2.6185780157473517,True,ichimoku_conv_zn30
ichimoku_base_zn30,1.0,2.921284333703941,True,ichimoku_base_zn30
ichimoku_span_a_zn30,1.0,2.872090118255965,True,ichimoku_span_a_zn30
ichimoku_span_b_zn30,1.0,3.420855283012272,True,ichimoku_span_b_zn30
cloud_thickness_zn30,1.0,2.6112497578544223,True,cloud_thickness_zn30
psar_zn30,1.0,1.9873191655676172,True,psar_zn30
psar_flip_flag_zn30,1.0,0.507904126882615,True,psar_flip_flag_zn30
supertrend_10_3_zn30,1.0,2.164120341916855,True,supertrend_10_3_zn30
heikin_ashi_trend_zn30,1.0,1.2923695133513893,True,heikin_ashi_trend_zn30
ret_skew_30d_zn30,1.0,2.493058445772636,True,ret_skew_30d_zn30
ret_kurt_30d_zn30,1.0,2.3359455104416997,True,ret_kurt_30d_zn30
var_95_30d_zn30,1.0,2.7054659201707194,True,var_95_30d_zn30
cvar_95_30d_zn30,1.0,2.9584466848346196,True,cvar_95_30d_zn30
z_score_gap_zn30,1.0,1.2003312246839313,True,z_score_gap_zn30
engulfing_up_cnt_20_zn30,1.0,1.9718768508475986,True,engulfing_up_cnt_20_zn30
doji_ratio_20_zn30,1.0,1.988211760232898,True,doji_ratio_20_zn30
hammer_cnt_20_zn30,1.0,1.9053603952829328,True,hammer_cnt_20_zn30
mfi_zn30,1.0,1.7941627273092637,True,mfi_zn30
cmf_zn30,1.0,1.8378686958894648,True,cmf_zn30
price_volume_corr_20_zn30,1.0,2.1543612679272903,True,price_volume_corr_20_zn30
price_position_ma200_zn30,1.0,2.263297289377548,True,price_position_ma200_zn30
beta_btc_60d_zn30,1.0,2.1907777084370657,True,beta_btc_60d_zn30
pivot_point_zn30,1.0,2.301720849995995,False,pivot_point_zn30
distance_to_pivot_zn30,1.0,1.1960329620412884,True,distance_to_pivot_zn30
volume_profile_hvn_zn30,1.0,1.4789163357412132,True,volume_profile_hvn_zn30
volume_profile_lvn_zn30,1.0,1.3754127834584515,True,volume_profile_lvn_zn30
hour_sin_zn30,1.0,0.8395290356765139,False,hour_sin_zn30
