feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
high_mm30,0.28729677,-0.0015608761329197085,0.00018304445086529068,0.9548728502131413,-0.0015608761329197085,1.0,191.0,96.0,0.5026178010471204,1h,target_drawdown_prob,2025,36,0,0,-0.0017213216682549614,-0.0014004305975844557
price_above_ma20,0.052379098,-0.000586193392927603,0.0002619321467701127,0.9548728502131413,-0.000586193392927603,2.0,182.0,92.0,0.4816753926701571,1h,target_drawdown_prob,2025,36,0,0,-0.0008157870425104093,-0.00035659974334479683
resistance_level_20_mm30,0.050726637,-0.0004718093683746538,0.00014087491150181235,0.9548728502131413,-0.0004718093683746538,3.0,170.0,86.5,0.45287958115183247,1h,target_drawdown_prob,2025,36,0,0,-0.000595291672724043,-0.00034832706402526464
low_mm30,0.02290651,-0.0012650731966352912,0.0002475016128672866,0.9548728502131413,-0.0012650731966352912,4.0,190.0,97.0,0.5078534031413613,1h,target_drawdown_prob,2025,36,0,0,-0.0014820179255528303,-0.001048128467717752
r_sym,0.021905953,-0.00035155736461598417,0.00034597678050133246,0.9548728502131413,-0.00035155736461598417,5.0,158.0,81.5,0.42670157068062825,1h,target_drawdown_prob,2025,36,0,0,-0.0006548193837522854,-4.829534547968296e-05
boll_upper_mm30,0.012557793,-0.0010465189159858611,6.681197172353822e-05,0.9548728502131413,-0.0010465189159858611,6.0,188.0,97.0,0.5078534031413613,1h,target_drawdown_prob,2025,36,0,0,-0.0011050821912958343,-0.000987955640675888
trend_flag_diff1,0.012055303,3.919948323753975e-05,3.790786715734641e-05,0.9548728502131413,3.919948323753975e-05,7.0,64.0,35.5,0.18586387434554974,1h,target_drawdown_prob,2025,36,0,0,5.971772641963302e-06,7.242719383311619e-05
keltner_upper_20_mm30,0.008968994,4.805655335546888e-05,8.042475101965692e-05,0.9548728502131413,4.805655335546888e-05,8.0,62.0,35.0,0.18324607329842932,1h,target_drawdown_prob,2025,36,0,0,-2.2438849103082887e-05,0.00011855195581402065
trend_flag_mm30,0.008308889,0.0,0.0,0.9548728502131413,0.0,9.0,80.5,44.75,0.2342931937172775,1h,target_drawdown_prob,2025,36,0,0,0.0,0.0
squeeze_on,0.008058625,2.1877877124021337e-05,2.508334874482921e-05,0.9548728502131413,2.1877877124021337e-05,10.0,67.0,38.5,0.20157068062827224,1h,target_drawdown_prob,2025,36,0,0,-1.0864745151333794e-07,4.386440169955601e-05
distance_to_support_mm30,0.0072396877,-0.0006430823368040794,0.00020437458524591505,0.9548728502131413,-0.0006430823368040794,11.0,185.0,98.0,0.5130890052356021,1h,target_drawdown_prob,2025,36,0,0,-0.0008222245592734906,-0.0004639401143346683
tail_bias_norm,0.0064993566,-4.8847631938642164e-05,0.00052747040209336,0.9548728502131413,-4.8847631938642164e-05,12.0,98.0,55.0,0.2879581151832461,1h,target_drawdown_prob,2025,36,0,0,-0.000511195824617003,0.0004135005607397187
logreturn_pct_rank,0.0060798964,-0.0005458836172465897,0.00024467598018933326,0.9548728502131413,-0.0005458836172465897,13.0,177.0,95.0,0.4973821989528796,1h,target_drawdown_prob,2025,36,0,0,-0.0007603515699191682,-0.0003314156645740112
ichimoku_base_mm30,0.0059154984,-0.0004501739980371511,0.00017301622928491366,0.9548728502131413,-0.0004501739980371511,14.0,165.0,89.5,0.468586387434555,1h,target_drawdown_prob,2025,36,0,0,-0.0006018294095947197,-0.00029851858647958246
ppo_slope_24h,0.0054642824,0.00021600638211505263,8.138803323996872e-05,0.9548728502131413,0.00021600638211505263,15.0,21.0,18.0,0.09424083769633508,1h,target_drawdown_prob,2025,36,0,0,0.0001446666255622563,0.00028734613866784897
boll_upper_zn30,0.005104577,7.309252906566588e-05,0.00013000727454273137,0.9548728502131413,7.309252906566588e-05,16.0,51.0,33.5,0.17539267015706805,1h,target_drawdown_prob,2025,36,0,0,-4.0863871485568e-05,0.00018704892961689978
kdj_j,0.005090104,-0.0007596575358940871,0.0005308015151789753,0.9548728502131413,-0.0007596575358940871,17.0,186.0,101.5,0.5314136125654451,1h,target_drawdown_prob,2025,36,0,0,-0.0012249255779301165,-0.0002943894938580576
momentum,0.005041652,-0.00044920570726165733,0.00018914289062306992,0.9548728502131413,-0.00044920570726165733,18.0,164.0,91.0,0.47643979057591623,1h,target_drawdown_prob,2025,36,0,0,-0.0006149967607321021,-0.00028341465379121253
price_position_ma200_mm30,0.0048217727,-0.000150090593990293,0.0003733602246269926,0.9548728502131413,-0.000150090593990293,19.0,123.0,71.0,0.3717277486910995,1h,target_drawdown_prob,2025,36,0,0,-0.0004773552601956272,0.00017717407221504118
obv_diff1_zn30,0.0047130333,0.00018350634525858832,0.00016819457217005248,0.9548728502131413,0.00018350634525858832,20.0,28.0,24.0,0.1256544502617801,1h,target_drawdown_prob,2025,36,0,0,3.607730250564553e-05,0.0003309353880115311
donchian_high_20_zn30,0.0045479583,-0.0012233710533827492,0.00013263047815694347,0.9548728502131413,-0.0012233710533827492,21.0,189.0,105.0,0.5497382198952879,1h,target_drawdown_prob,2025,36,0,0,-0.001339626793281262,-0.0011071153134842363
high_vol_flag_zn30,0.004544622,-4.00818018408966e-05,2.0113796911088787e-05,0.9548728502131413,-4.00818018408966e-05,22.0,96.0,59.0,0.3089005235602094,1h,target_drawdown_prob,2025,36,0,0,-5.771232217499397e-05,-2.2451281506799234e-05
distance_to_resistance_zn30,0.0045136823,-0.00032412519073585775,9.022659635453284e-05,0.9548728502131413,-0.00032412519073585775,23.0,153.0,88.0,0.4607329842931937,1h,target_drawdown_prob,2025,36,0,0,-0.00040321228944410845,-0.00024503809202760705
return_skewness,0.0044217263,0.000542266916070977,0.0002583216461770176,0.9548728502131413,0.000542266916070977,24.0,4.0,14.0,0.07329842931937172,1h,target_drawdown_prob,2025,36,0,0,0.00031583800979368467,0.0007686958223482694
range_flag_zn30,0.0044114785,-0.00014038302416574666,4.185973753734917e-05,0.9548728502131413,-0.00014038302416574666,25.0,122.0,73.5,0.38481675392670156,1h,target_drawdown_prob,2025,36,0,0,-0.0001770747018780411,-0.00010369134645345221
