feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
return_skewness,0.027979054,0.8346693555464724,0.014328040511377616,-1.0409310808817898,0.8346693555464724,1.0,2.0,1.5,0.007853403141361256,1h,target_logsharpe_ratio,2025,36,0,0,0.8221102742998904,0.8472284367930544
logreturn_pct_rank,0.018593535,0.009678218989752851,0.0004493387535204859,-1.0409310808817898,0.009678218989752851,2.0,15.0,8.5,0.04450261780104712,1h,target_logsharpe_ratio,2025,36,0,0,0.009284356206616494,0.01007208177288921
cvar_95_30d_zn30,0.017452111,0.1721278295266603,0.0018858211163616059,-1.0409310808817898,0.1721278295266603,3.0,3.0,3.0,0.015706806282722512,1h,target_logsharpe_ratio,2025,36,0,0,0.17047483443650138,0.17378082461681923
stress_flag_zn30,0.016864551,-1.8294287358200377e-05,4.943295522369535e-07,-1.0409310808817898,-1.8294287358200377e-05,4.0,148.0,76.0,0.39790575916230364,1h,target_logsharpe_ratio,2025,36,0,0,-1.872758631517921e-05,-1.7860988401221544e-05
ewmavolatility,0.013949561,0.04999934648070705,0.0014724464839154777,-1.0409310808817898,0.04999934648070705,5.0,6.0,5.5,0.028795811518324606,1h,target_logsharpe_ratio,2025,36,0,0,0.048708690231650954,0.05129000272976315
ret_skew_30d_zn30,0.013707093,0.16843700539865214,0.008910572131398571,-1.0409310808817898,0.16843700539865214,6.0,4.0,5.0,0.02617801047120419,1h,target_logsharpe_ratio,2025,36,0,0,0.16062654455699696,0.17624746624030732
volume_spike_near_support,0.01280829,0.00033413088400555677,0.00018377191944033927,-1.0409310808817898,0.00033413088400555677,7.0,109.0,58.0,0.3036649214659686,1h,target_logsharpe_ratio,2025,36,0,0,0.00017304769434966502,0.0004952140736614486
volume_spike_near_resist,0.01064918,7.137795282745607e-05,0.00020181366235169624,-1.0409310808817898,7.137795282745607e-05,8.0,128.0,68.0,0.35602094240837695,1h,target_logsharpe_ratio,2025,36,0,0,-0.00010551952175272442,0.0002482754274076366
rolling_volatility,0.009391427,0.0017294238982962008,0.00042161304255842216,-1.0409310808817898,0.0017294238982962008,9.0,42.0,25.5,0.13350785340314136,1h,target_logsharpe_ratio,2025,36,0,0,0.0013598637723386325,0.002098984024253769
ret_kurt_30d_mm30,0.0086518405,0.06228992744356217,0.004764240516984872,-1.0409310808817898,0.06228992744356217,10.0,5.0,7.5,0.03926701570680628,1h,target_logsharpe_ratio,2025,36,0,0,0.058113886505964496,0.06646596838115984
ret_skew_30d_slope_24h,0.008647858,0.011577673441977864,0.0005235982611365139,-1.0409310808817898,0.011577673441977864,11.0,14.0,12.5,0.06544502617801047,1h,target_logsharpe_ratio,2025,36,0,0,0.011118719330495507,0.012036627553460221
atr_ratio_price,0.008508576,0.004986880441136243,0.0002141505453960653,-1.0409310808817898,0.004986880441136243,12.0,16.0,14.0,0.07329842931937172,1h,target_logsharpe_ratio,2025,36,0,0,0.004799169211781935,0.005174591670490551
cvar_95_30d_mm30,0.008432263,0.015194361702752924,0.0004422401304984087,-1.0409310808817898,0.015194361702752924,13.0,12.0,12.5,0.06544502617801047,1h,target_logsharpe_ratio,2025,36,0,0,0.014806721137037179,0.015582002268468668
dow_sin_mm30,0.008268683,-0.00025498355098494405,0.00016477495621308494,-1.0409310808817898,-0.00025498355098494405,14.0,167.0,90.5,0.4738219895287958,1h,target_logsharpe_ratio,2025,36,0,0,-0.0003994151681930917,-0.00011055193377679644
_orig_idx,0.007994953,0.0,0.0,-1.0409310808817898,0.0,15.0,139.5,77.25,0.40445026178010474,1h,target_logsharpe_ratio,2025,36,0,0,0.0,0.0
ret_skew_30d,0.007918252,1.0603216890281157,0.017243819007094645,-1.0409310808817898,1.0603216890281157,16.0,1.0,8.5,0.04450261780104712,1h,target_logsharpe_ratio,2025,36,0,0,1.0452068152434217,1.0754365628128097
tail_bias_norm,0.007743261,0.004387346052171104,0.0013123808335688248,-1.0409310808817898,0.004387346052171104,17.0,18.0,17.5,0.09162303664921466,1h,target_logsharpe_ratio,2025,36,0,0,0.0032369935317298334,0.005537698572612374
ret_kurt_30d_slope_24h,0.007739192,0.004697415901219815,0.0005769201513662803,-1.0409310808817898,0.004697415901219815,18.0,17.0,17.5,0.09162303664921466,1h,target_logsharpe_ratio,2025,36,0,0,0.004191723092210382,0.0052031087102292475
ichimoku_span_b_mm30,0.007407865,-0.00044466393775528524,9.885906481518978e-05,-1.0409310808817898,-0.00044466393775528524,19.0,177.0,98.0,0.5130890052356021,1h,target_logsharpe_ratio,2025,36,0,0,-0.0005313177286898634,-0.00035801014682070704
ret_skew_30d_mm30,0.0072650188,0.025239597984193552,0.0014663511400978572,-1.0409310808817898,0.025239597984193552,20.0,9.0,14.5,0.07591623036649214,1h,target_logsharpe_ratio,2025,36,0,0,0.023954284539561447,0.026524911428825657
atr_slope_mm30,0.007196788,0.003212415115544731,0.0005509779900708782,-1.0409310808817898,0.003212415115544731,21.0,19.0,20.0,0.10471204188481675,1h,target_logsharpe_ratio,2025,36,0,0,0.0027294616135020936,0.0036953686175873685
cvar_95_30d,0.007192819,0.02928779450863237,0.0017830507998812049,-1.0409310808817898,0.02928779450863237,22.0,8.0,15.0,0.07853403141361257,1h,target_logsharpe_ratio,2025,36,0,0,0.02772488157265143,0.030850707444613313
atr_ratio_range,0.007096497,0.0031522311851714504,0.00047096868827756645,-1.0409310808817898,0.0031522311851714504,23.0,20.0,21.5,0.112565445026178,1h,target_logsharpe_ratio,2025,36,0,0,0.002739408928284532,0.0035650534420583685
