feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
rsi_oversold,0.019343782,-7.548548054518989e-05,9.245045516225088e-05,0.5068850018608113,-7.548548054518989e-05,1.0,106.0,53.5,0.2801047120418848,4h,target_binarytrend,2025,36,0,0,-0.0001565218774442769,5.550916353897113e-06
range_flag_zn30,0.018487988,0.0001549257279777061,0.0002719920703241717,0.5068850018608113,0.0001549257279777061,2.0,91.0,46.5,0.24345549738219896,4h,target_binarytrend,2025,36,0,0,-8.348583338790836e-05,0.0003933372893433206
dow_sin_mm30,0.009555905,0.0017843451642089558,0.0008640869631896361,0.5068850018608113,0.0017843451642089558,3.0,56.0,29.5,0.1544502617801047,4h,target_binarytrend,2025,36,0,0,0.0010269395464489088,0.0025417507819690027
volume_spike_near_support,0.009134923,3.771465787654194e-05,7.542931575308388e-05,0.5068850018608113,3.771465787654194e-05,4.0,96.0,50.0,0.2617801047120419,4h,target_binarytrend,2025,36,0,0,-2.8402052511373047e-05,0.00010383136826445692
high_vol_flag_zn30,0.008593726,-0.001072766328742447,7.553836986979867e-05,0.5068850018608113,-0.001072766328742447,5.0,141.0,73.0,0.38219895287958117,4h,target_binarytrend,2025,36,0,0,-0.0011389786292782967,-0.0010065540282065974
macd_bullish_cross,0.008298576,0.0014461918130270535,0.0002975636023571637,0.5068850018608113,0.0014461918130270535,6.0,62.0,34.0,0.17801047120418848,4h,target_binarytrend,2025,36,0,0,0.0011853658155669224,0.0017070178104871847
tail_bias_norm,0.008159967,-0.002804467231962815,0.004177099826727484,0.5068850018608113,-0.002804467231962815,7.0,171.0,89.0,0.46596858638743455,4h,target_binarytrend,2025,36,0,0,-0.006465856663217992,0.0008569221992923621
squeeze_on,0.007857169,-0.0002599597710315926,0.00032393682019590537,0.5068850018608113,-0.0002599597710315926,8.0,114.5,61.25,0.3206806282722513,4h,target_binarytrend,2025,36,0,0,-0.0005439029131778757,2.398337111469051e-05
trend_flag_diff1,0.0071748933,-0.0004484860050949502,0.00067955040142756,0.5068850018608113,-0.0004484860050949502,9.0,121.0,65.0,0.3403141361256545,4h,target_binarytrend,2025,36,0,0,-0.0010441381946528336,0.00014716618446293322
trend_flag_slope_24h,0.0070615173,-0.0021516519862928352,0.0005686916820111924,0.5068850018608113,-0.0021516519862928352,10.0,160.0,85.0,0.44502617801047123,4h,target_binarytrend,2025,36,0,0,-0.0026501322239053976,-0.0016531717486802729
r_btc,0.0067539117,-0.008282858365057422,0.009760304238062593,0.5068850018608113,-0.008282858365057422,11.0,191.0,101.0,0.5287958115183246,4h,target_binarytrend,2025,36,0,0,-0.01683814223795322,0.000272425507838377
price_position_ma200_slope_24h,0.006743929,0.0044742043011278265,0.0038124697403088504,0.5068850018608113,0.0044742043011278265,12.0,23.0,17.5,0.09162303664921466,4h,target_binarytrend,2025,36,0,0,0.0011324272325431354,0.007815981369712517
