feature,coverage,variance,keep,cluster_rep
open,1.0,1353415006.0077775,False,donchian_high_20
high,1.0,1365151634.6310756,False,donchian_high_20
low,1.0,1341644175.537837,False,donchian_high_20
close,1.0,1353709988.7962341,False,donchian_high_20
volume,1.0,8831337708970385.0,True,volume
ma5,1.0,1353055393.2945688,False,donchian_high_20
ma20,1.0,1350650913.8432002,False,donchian_high_20
rsi,1.0,274.48041221805977,True,rsi
macd_hist,1.0,8729.171280489441,True,macd_hist
kdj_k,1.0,463.9303857319569,False,kdj_k
kdj_j,1.0,1114.1121936920665,True,kdj_j
momentum,1.0,412591.6596708868,True,momentum
vol_ma,1.0,7334371632519546.0,False,volume
vol_change,1.0,0.6207417747738619,True,vol_change
obv,1.0,3.212530629963807e+19,True,obv
boll_upper,1.0,1401818818.9192307,False,donchian_high_20
boll_lower,1.0,1301427580.4856474,False,donchian_high_20
atr,1.0,184467.29488819186,False,amplitude_range
cci,1.0,12844.26351170025,True,cci
adx,1.0,127.09093434047543,True,adx
plus_di,1.0,57.460965564746964,True,plus_di
minus_di,1.0,56.858383643860556,True,minus_di
adx_scaled,1.0,0.01270909343807321,False,adx
vwap,1.0,220785291.22351855,False,donchian_high_20
trend_flag,1.0,0.23178284011273614,True,trend_flag
boll_bandwidth,1.0,0.004343125078338539,True,boll_bandwidth
range_flag,1.0,0.03684522805043828,True,range_flag
high_vol_flag,1.0,0.013925701964093186,True,high_vol_flag
stress_flag,1.0,0.00046853759433741147,True,stress_flag
donchian_high_20,1.0,1405349150.2456186,True,donchian_high_20
donchian_low_20,1.0,1294000578.03496,False,donchian_high_20
keltner_upper_20,1.0,1386139203.7988527,False,donchian_high_20
keltner_lower_20,1.0,1315654676.2587926,False,donchian_high_20
squeeze_on,1.0,0.09889927869966716,True,squeeze_on
ppo,1.0,0.00017960177321012135,True,ppo
stoch_rsi,1.0,0.1368879341209408,False,stoch_rsi_mm30
williams_r,1.0,775.5825119616009,False,williams_r
tsi,1.0,0.04121694140689344,True,tsi
ichimoku_conv,1.0,1351115280.6836822,False,donchian_high_20
ichimoku_base,1.0,1347276381.9638743,False,donchian_high_20
ichimoku_span_a,1.0,1340975651.465018,False,donchian_high_20
ichimoku_span_b,1.0,1333632429.5428321,False,donchian_high_20
cloud_thickness,1.0,526396.802144292,True,cloud_thickness
psar,1.0,1349524692.9512317,False,donchian_high_20
psar_flip_flag,1.0,0.020858603259425925,False,psar_flip_flag
supertrend_10_3,1.0,1346117318.4735842,False,donchian_high_20
heikin_ashi_trend,1.0,47450.47970515411,True,heikin_ashi_trend
ret_skew_30d,1.0,0.8270388312095964,True,ret_skew_30d
ret_kurt_30d,1.0,6.664160303968995,True,ret_kurt_30d
var_95_30d,1.0,0.00013778475314887704,True,var_95_30d
cvar_95_30d,1.0,0.0002737603821020859,True,cvar_95_30d
z_score_gap,1.0,7.390139880571069e-05,True,z_score_gap
doji_ratio_20,1.0,0.004673113275573642,True,doji_ratio_20
hammer_cnt_20,1.0,4.400202803705918,True,hammer_cnt_20
engulfing_up_cnt_20,1.0,1.3653006921983153,True,engulfing_up_cnt_20
mfi,1.0,328.28087197202814,True,mfi
cmf,1.0,0.01818341511025312,True,cmf
price_volume_corr_20,1.0,0.149160735857515,True,price_volume_corr_20
ma200,1.0,1321477278.4944913,False,donchian_high_20
price_position_ma200,1.0,0.00961447546519038,True,price_position_ma200
log_close,1.0,15.134203277712059,False,donchian_high_20
r_sym,1.0,0.0001516183937046707,True,r_sym
r_btc,1.0,5.996046798064885e-05,True,r_btc
beta_btc_60d,1.0,0.10326758691037784,True,beta_btc_60d
pivot_point,1.0,1353160292.0562696,False,donchian_high_20
distance_to_pivot,1.0,1.8651284834187234e-05,True,distance_to_pivot
volume_profile_hvn,1.0,1223513464.066956,False,donchian_high_20
volume_profile_lvn,1.0,1234891280.8712552,False,donchian_high_20
hour_sin,1.0,0.4838747191036747,False,hour_sin_zn30
hour_cos,1.0,0.5151048160731965,True,hour_cos
dow_sin,1.0,0.5001250007383871,True,dow_sin
dow_cos,1.0,0.49989055797641,True,dow_cos
trend_flag_diff1,1.0,0.08711073586110724,True,trend_flag_diff1
trend_flag_slope_24h,1.0,0.005032498691308973,True,trend_flag_slope_24h
range_flag_diff1,1.0,0.009922029787574806,True,range_flag_diff1
range_flag_slope_24h,1.0,0.00021839847404235723,True,range_flag_slope_24h
ppo_diff1,1.0,2.4640785793449963e-06,True,ppo_diff1
ppo_slope_24h,1.0,1.5943797368503147e-06,True,ppo_slope_24h
stoch_rsi_diff1,1.0,0.04756008262356974,True,stoch_rsi_diff1
stoch_rsi_slope_24h,1.0,0.0035413004508957676,True,stoch_rsi_slope_24h
psar_diff1,1.0,134516.5944047729,True,psar_diff1
psar_slope_24h,1.0,65418.24801535013,True,psar_slope_24h
ret_skew_30d_diff1,1.0,0.0828049034545062,True,ret_skew_30d_diff1
ret_skew_30d_slope_24h,1.0,0.007303737862936441,True,ret_skew_30d_slope_24h
ret_kurt_30d_diff1,1.0,0.8089975054215177,True,ret_kurt_30d_diff1
ret_kurt_30d_slope_24h,1.0,0.06091112451641252,True,ret_kurt_30d_slope_24h
mfi_diff1,1.0,37.75105604528828,True,mfi_diff1
mfi_slope_24h,1.0,4.458978936259136,True,mfi_slope_24h
price_position_ma200_diff1,1.0,0.00017961582443420718,True,price_position_ma200_diff1
price_position_ma200_slope_24h,1.0,8.55489990239185e-05,True,price_position_ma200_slope_24h
macd_bullish_cross,1.0,0.03736431819247176,True,macd_bullish_cross
rsi_overbought,1.0,0.11892391848896078,True,rsi_overbought
rsi_oversold,1.0,0.09688826949444522,True,rsi_oversold
price_above_ma20,1.0,0.24969655678213726,True,price_above_ma20
breakout_recent_high,1.0,0.05023368895412429,True,breakout_recent_high
pullback_from_high,1.0,0.0012072741126113848,False,distance_to_resistance
trendline_slope_20,1.0,4615.203753420315,True,trendline_slope_20
ma_diff_5_20,1.0,289159.55630898697,True,ma_diff_5_20
volume_relative_20,1.0,0.5382031386802589,True,volume_relative_20
volume_percentile,1.0,0.08952917552458531,True,volume_percentile
support_level_20,1.0,1294000578.03496,False,donchian_high_20
resistance_level_20,1.0,1405349150.2456186,False,donchian_high_20
distance_to_support,1.0,0.001765190396615711,True,distance_to_support
distance_to_resistance,1.0,0.0018204152365705586,True,distance_to_resistance
volume_spike_near_support,1.0,0.07741289317020579,True,volume_spike_near_support
volume_spike_near_resist,1.0,0.0778929160514227,True,volume_spike_near_resist
obv_diff1,1.0,9085726833960658.0,True,obv_diff1
obv_pct,1.0,0.016360595499406223,True,obv_pct
obv_slope_14,1.0,910594181065035.5,True,obv_slope_14
atr_ratio_price,1.0,0.00015543806914017493,True,atr_ratio_price
atr_ratio_range,1.0,0.3077728497442359,True,atr_ratio_range
atr_change,1.0,0.003519916184454427,True,atr_change
range_to_atr,1.0,0.2698263692963463,False,atr_ratio_range
atr_slope,1.0,765.3898295994644,True,atr_slope
boll_pctb,1.0,0.10598185634178438,False,cci
amplitude_range,1.0,245243.83417712591,True,amplitude_range
open_zn30,1.0,2.21392101539156,False,pivot_point_zn30
high_zn30,1.0,2.243872823683372,False,high_zn30
low_zn30,1.0,2.2076372742359136,False,low_zn30
close_zn30,1.0,2.2142097934622886,False,close_zn30
ma5_zn30,1.0,2.514090422098858,False,ma5_zn30
ma20_zn30,1.0,3.0666197218408393,True,ma20_zn30
boll_upper_zn30,1.0,3.0186663975644024,True,boll_upper_zn30
boll_lower_zn30,1.0,2.9753681697101437,True,boll_lower_zn30
support_level_20_zn30,1.0,3.0348291490637966,True,support_level_20_zn30
resistance_level_20_zn30,1.0,3.1391577295216613,True,resistance_level_20_zn30
distance_to_support_zn30,1.0,1.899766199608251,True,distance_to_support_zn30
distance_to_resistance_zn30,1.0,1.8699338943155461,True,distance_to_resistance_zn30
volume_zn30,1.0,1.411262619084864,True,volume_zn30
vol_ma_zn30,1.0,1.7685128123087959,True,vol_ma_zn30
volume_relative_20_zn30,1.0,1.3270257211988707,True,volume_relative_20_zn30
obv_zn30,1.0,2.3218945483123967,True,obv_zn30
atr_zn30,1.0,2.2379576277737847,True,atr_zn30
amplitude_range_zn30,1.0,1.3608352595219675,True,amplitude_range_zn30
atr_slope_zn30,1.0,1.302633449747519,True,atr_slope_zn30
trendline_slope_20_zn30,1.0,2.1521451680707213,True,trendline_slope_20_zn30
ma_diff_5_20_zn30,1.0,1.9928856394437073,True,ma_diff_5_20_zn30
cci_zn30,1.0,1.6543116462602487,True,cci_zn30
adx_scaled_zn30,1.0,2.458875688774448,True,adx_scaled_zn30
vwap_zn30,1.0,1.6286986080277601,True,vwap_zn30
obv_diff1_zn30,1.0,1.2469909455687973,True,obv_diff1_zn30
obv_pct_zn30,1.0,1.2581136957329224,True,obv_pct_zn30
obv_slope_14_zn30,1.0,1.9421629850667494,True,obv_slope_14_zn30
trend_flag_zn30,1.0,1.5771113828125563,True,trend_flag_zn30
range_flag_zn30,1.0,0.3533247210491471,True,range_flag_zn30
high_vol_flag_zn30,1.0,0.17669209611453093,True,high_vol_flag_zn30
stress_flag_zn30,1.0,0.012187639847625257,True,stress_flag_zn30
donchian_high_20_zn30,1.0,3.1391577295216613,False,resistance_level_20_zn30
donchian_low_20_zn30,1.0,3.0348291490637966,False,support_level_20_zn30
keltner_upper_20_zn30,1.0,3.0109367786687478,True,keltner_upper_20_zn30
keltner_lower_20_zn30,1.0,2.9187798687226603,True,keltner_lower_20_zn30
squeeze_on_zn30,1.0,0.8799900461872299,True,squeeze_on_zn30
ppo_zn30,1.0,2.4621198698355293,True,ppo_zn30
stoch_rsi_zn30,1.0,1.3684703093901003,True,stoch_rsi_zn30
williams_r_zn30,1.0,1.5383856054193736,True,williams_r_zn30
tsi_zn30,1.0,2.450908661503074,False,ppo_zn30
ichimoku_conv_zn30,1.0,2.609473067110065,True,ichimoku_conv_zn30
ichimoku_base_zn30,1.0,2.931800971697305,True,ichimoku_base_zn30
ichimoku_span_a_zn30,1.0,2.869934841340439,True,ichimoku_span_a_zn30
ichimoku_span_b_zn30,1.0,3.423951985459093,True,ichimoku_span_b_zn30
cloud_thickness_zn30,1.0,2.6040377670708525,True,cloud_thickness_zn30
psar_zn30,1.0,1.9597402591582531,True,psar_zn30
psar_flip_flag_zn30,1.0,0.534661288534888,True,psar_flip_flag_zn30
supertrend_10_3_zn30,1.0,2.1710380864432657,True,supertrend_10_3_zn30
heikin_ashi_trend_zn30,1.0,1.293168554891806,True,heikin_ashi_trend_zn30
ret_skew_30d_zn30,1.0,2.456894709677026,True,ret_skew_30d_zn30
ret_kurt_30d_zn30,1.0,2.3015730849407694,True,ret_kurt_30d_zn30
var_95_30d_zn30,1.0,2.7022757547338765,True,var_95_30d_zn30
