feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
dow_cos_mm30,0.019671293,0.0007399141246942742,0.011177560003762762,0.5549132947976878,0.0007399141246942742,1.0,92.0,46.5,0.1875,1d,target_binarytrend,2025,36,0,0,-0.009057649199776292,0.010537477449164839
short_term_holder_supply_bitcoin_bitcoin_short_term_holder_supply,0.016894925,-0.007152156285104327,0.0011099456186161483,0.5549132947976878,-0.007152156285104327,2.0,231.0,116.5,0.46975806451612906,1d,target_binarytrend,2025,36,0,0,-0.008125066516089402,-0.006179246054119252
google_trend_percent_bitcoin_bubble_index,0.016423361,0.0,0.0,0.5549132947976878,0.0,3.0,134.5,68.75,0.2772177419354839,1d,target_binarytrend,2025,36,0,0,0.0,0.0
etf_eth_net_assets_usd,0.01618845,0.0,0.0,0.5549132947976878,0.0,4.0,134.5,69.25,0.27923387096774194,1d,target_binarytrend,2025,36,0,0,0.0,0.0
new_address_count_bitcoin_new_addresses,0.014978422,0.014728806843336018,0.006438627340112942,0.5549132947976878,0.014728806843336018,5.0,3.0,4.0,0.016129032258064516,1d,target_binarytrend,2025,36,0,0,0.00908510114493779,0.020372512541734247
squeeze_on_zn30,0.014472216,0.012697470048463777,0.0005141897410367482,0.5549132947976878,0.012697470048463777,6.0,6.0,6.0,0.024193548387096774,1d,target_binarytrend,2025,36,0,0,0.012246762868461634,0.01314817722846592
movcd_bitcoin_bitcoin_reserve_risk,0.01395631,0.0004587542434752345,0.0013618591016650308,0.5549132947976878,0.0004587542434752345,7.0,97.0,52.0,0.20967741935483872,1d,target_binarytrend,2025,36,0,0,-0.0007349678911478892,0.0016524763780983583
ppo,0.012193252,0.005590277389563969,0.0,0.5549132947976878,0.005590277389563969,8.0,27.0,17.5,0.07056451612903226,1d,target_binarytrend,2025,36,0,0,0.005590277389563969,0.005590277389563969
net_unpnl_bitcoin_bitcoin_net_unrealized_profit_loss,0.011331944,-0.0008550270326190157,0.0015992465828352203,0.5549132947976878,-0.0008550270326190157,9.0,172.0,90.5,0.3649193548387097,1d,target_binarytrend,2025,36,0,0,-0.0022568284688445055,0.0005467744036064741
active_address_count_bitcoin_active_addresses,0.010867121,-0.0064337950100423315,0.0050525653770392585,0.5549132947976878,-0.0064337950100423315,10.0,226.0,118.0,0.47580645161290325,1d,target_binarytrend,2025,36,0,0,-0.010862563830420413,-0.0020050261896642496
dow_cos,0.010832808,0.0023407039053607638,0.003953775863825097,0.5549132947976878,0.0023407039053607638,11.0,65.0,38.0,0.1532258064516129,1d,target_binarytrend,2025,36,0,0,-0.0011249334415690967,0.005806341252290624
correlation_tlt,0.009704754,0.003034789727567544,0.006362561339630386,0.5549132947976878,0.003034789727567544,12.0,60.0,36.0,0.14516129032258066,1d,target_binarytrend,2025,36,0,0,-0.0025422411816713193,0.008611820636806407
volume_zn30,0.009448938,0.018308299264574713,0.0035781958544113127,0.5549132947976878,0.018308299264574713,13.0,1.0,7.0,0.028225806451612902,1d,target_binarytrend,2025,36,0,0,0.015171872311004232,0.021444726218145194
lth_sopr_bitcoin_lth_sopr,0.009357136,-0.0054201193288297535,0.007311955526493426,0.5549132947976878,-0.0054201193288297535,14.0,222.0,118.0,0.47580645161290325,1d,target_binarytrend,2025,36,0,0,-0.011829330934262023,0.0009890922766025156
r_btc,0.009237709,0.004943118933733337,0.01070092340275542,0.5549132947976878,0.004943118933733337,15.0,31.0,23.0,0.09274193548387097,1d,target_binarytrend,2025,36,0,0,-0.0044366539892938175,0.014322891856760491
ahr999_value_ahr999,0.008912008,-0.001958959521849213,0.0022512301539733153,0.5549132947976878,-0.001958959521849213,16.0,183.0,99.5,0.4012096774193548,1d,target_binarytrend,2025,36,0,0,-0.00393224975550362,1.4330711805194546e-05
mfi,0.008847921,0.0032455618055785783,0.0022227563440990394,0.5549132947976878,0.0032455618055785783,17.0,56.0,36.5,0.14717741935483872,1d,target_binarytrend,2025,36,0,0,0.0012972299667114273,0.005193893644445729
heikin_ashi_trend_mm30,0.008661473,0.0019895853079724855,0.002839360724353623,0.5549132947976878,0.0019895853079724855,18.0,70.0,44.0,0.1774193548387097,1d,target_binarytrend,2025,36,0,0,-0.0004992241002082301,0.004478394716153201
stoch_rsi_diff1,0.008560837,-0.0005592714581866165,0.004497939835374394,0.5549132947976878,-0.0005592714581866165,19.0,170.0,94.5,0.3810483870967742,1d,target_binarytrend,2025,36,0,0,-0.004501889556582349,0.0033833466402091164
ret_kurt_30d_zn30,0.008500475,-0.007442295854823078,0.0019161441257972377,0.5549132947976878,-0.007442295854823078,20.0,235.0,127.5,0.5141129032258065,1d,target_binarytrend,2025,36,0,0,-0.009121870234651134,-0.005762721474995021
