feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
ewmavolatility,0.025124278,0.0011159534281719897,0.0031757664224215045,-1.091912105735698,0.0011159534281719897,1.0,62.0,31.5,0.1649214659685864,1d,target_logsharpe_ratio,2025,36,0,0,-0.0016677285754967623,0.0038996354318407414
return_skewness,0.01905416,0.12601453785503244,0.008016355247585934,-1.091912105735698,0.12601453785503244,2.0,1.0,1.5,0.007853403141361256,1d,target_logsharpe_ratio,2025,36,0,0,0.11898789267099984,0.13304118303906504
volume_spike_near_support,0.017304609,-1.976904568534721e-06,1.522416084328667e-05,-1.091912105735698,-1.976904568534721e-06,3.0,119.0,61.0,0.3193717277486911,1d,target_logsharpe_ratio,2025,36,0,0,-1.532146991855869e-05,1.1367660781489247e-05
dow_cos_zn30,0.013895329,-0.0026179821889531054,0.0018406305773119988,-1.091912105735698,-0.0026179821889531054,4.0,167.0,85.5,0.4476439790575916,1d,target_logsharpe_ratio,2025,36,0,0,-0.0042313660251481556,-0.0010045983527580554
var_95_30d_mm30,0.0138126975,0.004041175561152821,0.0019944026839008562,-1.091912105735698,0.004041175561152821,5.0,18.0,11.5,0.060209424083769635,1d,target_logsharpe_ratio,2025,36,0,0,0.0022930045306743686,0.005789346591631274
cvar_95_30d,0.013767648,0.0007705745016635568,0.0025744603734299586,-1.091912105735698,0.0007705745016635568,6.0,68.0,37.0,0.193717277486911,1d,target_logsharpe_ratio,2025,36,0,0,-0.0014860395112810444,0.0030271885146081583
_orig_idx,0.013430051,0.0,0.0,-1.091912105735698,0.0,7.0,105.0,56.0,0.2931937172774869,1d,target_logsharpe_ratio,2025,36,0,0,0.0,0.0
rolling_volatility,0.010894667,0.011220866070712977,0.0008127948087449352,-1.091912105735698,0.011220866070712977,8.0,5.0,6.5,0.034031413612565446,1d,target_logsharpe_ratio,2025,36,0,0,0.01050842000862083,0.011933312132805123
obv_diff1_zn30,0.0102601135,0.011262453961992857,0.003931653050548087,-1.091912105735698,0.011262453961992857,9.0,4.0,6.5,0.034031413612565446,1d,target_logsharpe_ratio,2025,36,0,0,0.007816208115884642,0.014708699808101073
adx_scaled_mm30,0.010225582,-0.0018697036295509672,0.002271624635165673,-1.091912105735698,-0.0018697036295509672,10.0,155.0,82.5,0.4319371727748691,1d,target_logsharpe_ratio,2025,36,0,0,-0.00386087041415966,0.00012146315505772538
atr_ratio_price,0.010008323,-0.0031051973560810354,0.0017661341756613031,-1.091912105735698,-0.0031051973560810354,11.0,176.0,93.5,0.4895287958115183,1d,target_logsharpe_ratio,2025,36,0,0,-0.004653282217153413,-0.001557112495008658
volume_mm30,0.009715826,0.0018053407765183493,0.0016754444935970824,-1.091912105735698,0.0018053407765183493,12.0,44.0,28.0,0.14659685863874344,1d,target_logsharpe_ratio,2025,36,0,0,0.00033674892667572096,0.0032739326263609776
volume_profile_lvn_zn30,0.009669791,0.0027368386756941197,0.0035121305100913576,-1.091912105735698,0.0027368386756941197,13.0,33.0,23.0,0.12041884816753927,1d,target_logsharpe_ratio,2025,36,0,0,-0.0003416794503406724,0.005815356801728911
low_mm30,0.00958383,-0.014226736245863458,0.009072042956541997,-1.091912105735698,-0.014226736245863458,14.0,190.0,102.0,0.5340314136125655,1d,target_logsharpe_ratio,2025,36,0,0,-0.02217873250614888,-0.006274739985578037
logreturn_pct_rank,0.009556321,-0.0008102936190653498,0.0010849622933628029,-1.091912105735698,-0.0008102936190653498,15.0,135.0,75.0,0.39267015706806285,1d,target_logsharpe_ratio,2025,36,0,0,-0.0017613049999308018,0.00014071776180010222
price_position_ma200_mm30,0.009483301,0.005035211794519423,0.0013496103714166511,-1.091912105735698,0.005035211794519423,16.0,14.0,15.0,0.07853403141361257,1d,target_logsharpe_ratio,2025,36,0,0,0.0038522261453378857,0.00621819744370096
obv_diff1_mm30,0.00946697,0.0035290684779404114,0.0014629232068720439,-1.091912105735698,0.0035290684779404114,17.0,23.0,20.0,0.10471204188481675,1d,target_logsharpe_ratio,2025,36,0,0,0.0022467597492606835,0.00481137720662014
distance_to_resistance_mm30,0.009462438,0.0017817924659419226,0.0019110081598765526,-1.091912105735698,0.0017817924659419226,18.0,46.0,32.0,0.16753926701570682,1d,target_logsharpe_ratio,2025,36,0,0,0.00010671995873394566,0.0034568649731498997
cvar_95_30d_mm30,0.009445532,-0.0015192719229441209,0.0007911378343664138,-1.091912105735698,-0.0015192719229441209,19.0,150.0,84.5,0.4424083769633508,1d,target_logsharpe_ratio,2025,36,0,0,-0.0022127348100125068,-0.0008258090358757349
donchian_high_20_zn30,0.009346464,-0.004189564514258138,0.000875223979036021,-1.091912105735698,-0.004189564514258138,20.0,183.0,101.5,0.5314136125654451,1d,target_logsharpe_ratio,2025,36,0,0,-0.004956732156821796,-0.003422396871694479
var_95_30d,0.009298882,0.021859156938365043,0.004253058904967018,-1.091912105735698,0.021859156938365043,21.0,3.0,12.0,0.06282722513089005,1d,target_logsharpe_ratio,2025,36,0,0,0.01813118643942875,0.025587127437301335
cvar_95_30d_zn30,0.0092617115,0.0031320291789887376,0.004200742684487472,-1.091912105735698,0.0031320291789887376,22.0,29.0,25.5,0.13350785340314136,1d,target_logsharpe_ratio,2025,36,0,0,-0.0005500841308228462,0.006814142488800322
hammer_cnt_20_mm30,0.00918101,-0.00212951655189384,0.0008005750296045052,-1.091912105735698,-0.00212951655189384,23.0,158.0,90.5,0.4738219895287958,1d,target_logsharpe_ratio,2025,36,0,0,-0.002831251505309395,-0.0014277815984782844
keltner_upper_20_mm30,0.009040368,-0.0007674036985992671,0.0007427238073326969,-1.091912105735698,-0.0007674036985992671,24.0,134.0,79.0,0.41361256544502617,1d,target_logsharpe_ratio,2025,36,0,0,-0.001418429819906987,-0.00011637757729154722
ichimoku_span_a_mm30,0.008951169,-8.615032067673666e-05,0.0015240216402988627,-1.091912105735698,-8.615032067673666e-05,25.0,124.0,74.5,0.3900523560209424,1d,target_logsharpe_ratio,2025,36,0,0,-0.0014220141875372207,0.0012497135461837475
cloud_thickness_mm30,0.008858517,0.0020405094342701878,0.001208001503216667,-1.091912105735698,0.0020405094342701878,26.0,41.0,33.5,0.17539267015706805,1d,target_logsharpe_ratio,2025,36,0,0,0.0009816494308493436,0.003099369437691032
price_volume_corr_20,0.008816579,-0.019236790866731822,0.003725695118497427,-1.091912105735698,-0.019236790866731822,27.0,191.0,109.0,0.5706806282722513,1d,target_logsharpe_ratio,2025,36,0,0,-0.02250250662570438,-0.015971075107759265
volume_relative_20_mm30,0.008742604,0.0032439550929392437,0.0023090845432110073,-1.091912105735698,0.0032439550929392437,28.0,28.0,28.0,0.14659685863874344,1d,target_logsharpe_ratio,2025,36,0,0,0.0012199532512090095,0.005267956934669478
distance_to_resistance_zn30,0.008721846,0.0017693817307753434,0.0012187286866815492,-1.091912105735698,0.0017693817307753434,29.0,47.0,38.0,0.19895287958115182,1d,target_logsharpe_ratio,2025,36,0,0,0.0007011189364721409,0.002837644525078546
price_volume_corr_20_mm30,0.008716332,-0.0013313819763210333,0.0018185485241592784,-1.091912105735698,-0.0013313819763210333,30.0,145.0,87.5,0.4581151832460733,1d,target_logsharpe_ratio,2025,36,0,0,-0.0029254100395186425,0.0002626460868765761
ret_kurt_30d_mm30,0.0087141665,0.0023465239785334545,0.000941341171375429,-1.091912105735698,0.0023465239785334545,31.0,39.0,35.0,0.18324607329842932,1d,target_logsharpe_ratio,2025,36,0,0,0.001521402061641277,0.003171645895425632
ret_skew_30d,0.008418952,0.0800706632360757,0.006522787549705597,-1.091912105735698,0.0800706632360757,32.0,2.0,17.0,0.08900523560209424,1d,target_logsharpe_ratio,2025,36,0,0,0.07435318786141475,0.08578813861073666
ichimoku_span_b_mm30,0.008299379,-0.0002567161518425287,9.770795009530521e-05,-1.091912105735698,-0.0002567161518425287,33.0,128.0,80.5,0.4214659685863874,1d,target_logsharpe_ratio,2025,36,0,0,-0.00034236094623779043,-0.000171071357447267
obv_slope_14_mm30,0.008028301,-0.004164665146766522,0.0005316627360863498,-1.091912105735698,-0.004164665146766522,34.0,182.0,108.0,0.5654450261780105,1d,target_logsharpe_ratio,2025,36,0,0,-0.004630688082211625,-0.00369864221132142
price_volume_corr_20_zn30,0.008014175,-0.0006444877918987846,0.0007761380833734351,-1.091912105735698,-0.0006444877918987846,35.0,132.0,83.5,0.43717277486910994,1d,target_logsharpe_ratio,2025,36,0,0,-0.0013248028175237496,3.582723372618022e-05
hammer_cnt_20_zn30,0.008012206,0.001995024040406168,0.0008295869442006059,-1.091912105735698,0.001995024040406168,36.0,42.0,39.0,0.20418848167539266,1d,target_logsharpe_ratio,2025,36,0,0,0.0012678590226184473,0.002722189058193889
cmf_zn30,0.008002233,0.001740863466854936,0.003954944623859392,-1.091912105735698,0.001740863466854936,37.0,48.0,42.5,0.22251308900523561,1d,target_logsharpe_ratio,2025,36,0,0,-0.0017257983434142631,0.0052075252771241354
cmf_mm30,0.007982867,0.0006930807005284034,0.002111158595132471,-1.091912105735698,0.0006930807005284034,38.0,70.0,54.0,0.28272251308900526,1d,target_logsharpe_ratio,2025,36,0,0,-0.001157431398431268,0.002543592799488075
amplitude_range_mm30,0.007980994,0.006715799442164894,0.003919870464730372,-1.091912105735698,0.006715799442164894,39.0,9.0,24.0,0.1256544502617801,1d,target_logsharpe_ratio,2025,36,0,0,0.003279881487889619,0.010151717396440168
williams_r_zn30,0.007928771,-0.004156814431710299,0.002047646586293005,-1.091912105735698,-0.004156814431710299,40.0,181.0,110.5,0.5785340314136126,1d,target_logsharpe_ratio,2025,36,0,0,-0.005951655800362145,-0.002361973063058452
distance_to_support,0.007842806,-0.004267358848416558,0.0011171605139695818,-1.091912105735698,-0.004267358848416558,41.0,184.0,112.5,0.5890052356020943,1d,target_logsharpe_ratio,2025,36,0,0,-0.005246593214014277,-0.0032881244828188395
support_level_20_mm30,0.0077871564,-0.0010255290728747202,0.0013096361650692507,-1.091912105735698,-0.0010255290728747202,42.0,138.0,90.0,0.4712041884816754,1d,target_logsharpe_ratio,2025,36,0,0,-0.002173475785302416,0.000122417639552976
ichimoku_base_zn30,0.0077055297,0.00147636892575429,0.0017043823857110219,-1.091912105735698,0.00147636892575429,43.0,55.0,49.0,0.25654450261780104,1d,target_logsharpe_ratio,2025,36,0,0,-1.758810489412943e-05,0.00297032595640271
doji_ratio_20_mm30,0.007696843,0.0044480993045096,0.0007376899603420584,-1.091912105735698,0.0044480993045096,44.0,15.0,29.5,0.1544502617801047,1d,target_logsharpe_ratio,2025,36,0,0,0.0038014855446331652,0.005094713064386035
dow_cos,0.0074723023,0.0037797016132484983,0.0011996394741900487,-1.091912105735698,0.0037797016132484983,45.0,21.0,33.0,0.17277486910994763,1d,target_logsharpe_ratio,2025,36,0,0,0.0027281712514383256,0.004831231975058671
tail_bias_norm,0.0074654333,0.005658332198785754,0.0009941086128520296,-1.091912105735698,0.005658332198785754,46.0,12.0,29.0,0.1518324607329843,1d,target_logsharpe_ratio,2025,36,0,0,0.0047869575801265316,0.006529706817444976
r_btc,0.0074450867,0.003384203328875879,0.0042860664177121885,-1.091912105735698,0.003384203328875879,47.0,26.0,36.5,0.19109947643979058,1d,target_logsharpe_ratio,2025,36,0,0,-0.00037269953062883795,0.007141106188380595
ret_skew_30d_mm30,0.0072802743,0.0069217984180304,0.0013423554618015544,-1.091912105735698,0.0069217984180304,48.0,8.0,28.0,0.14659685863874344,1d,target_logsharpe_ratio,2025,36,0,0,0.0057451719775082925,0.008098424858552509
atr_slope_mm30,0.0072795996,-0.004817411817252815,0.0029491595711834038,-1.091912105735698,-0.004817411817252815,49.0,185.0,117.0,0.612565445026178,1d,target_logsharpe_ratio,2025,36,0,0,-0.007402464158095621,-0.002232359476410008
obv_pct_zn30,0.007191272,0.0019798414451833502,0.0014544735720198668,-1.091912105735698,0.0019798414451833502,50.0,43.0,46.5,0.24345549738219896,1d,target_logsharpe_ratio,2025,36,0,0,0.000704939148006114,0.0032547437423605862
obv_pct_mm30,0.0071128705,0.0008347714349931312,0.0017858374478350455,-1.091912105735698,0.0008347714349931312,51.0,65.0,58.0,0.3036649214659686,1d,target_logsharpe_ratio,2025,36,0,0,-0.000730584105615436,0.0024001269756016986
trendline_slope_20_zn30,0.0070337187,0.00578954225598931,0.0007289607104358272,-1.091912105735698,0.00578954225598931,52.0,10.0,31.0,0.16230366492146597,1d,target_logsharpe_ratio,2025,36,0,0,0.005150580021016579,0.006428504490962042
beta_btc_60d_zn30,0.0070241354,0.010813685002141683,0.002012635866914539,-1.091912105735698,0.010813685002141683,53.0,6.0,29.5,0.1544502617801047,1d,target_logsharpe_ratio,2025,36,0,0,0.009049531882090633,0.012577838122192733
tsi_mm30,0.006990916,0.0004550174893955372,0.0006470360499829899,-1.091912105735698,0.0004550174893955372,54.0,74.0,64.0,0.33507853403141363,1d,target_logsharpe_ratio,2025,36,0,0,-0.00011213461453319018,0.0010221695933242646
boll_upper_mm30,0.0069828783,-0.002612430587274739,0.0010665034485605645,-1.091912105735698,-0.002612430587274739,55.0,166.0,110.5,0.5785340314136126,1d,target_logsharpe_ratio,2025,36,0,0,-0.003547262077288733,-0.0016775990972607451
psar_zn30,0.0069661024,-0.002769188360153407,0.004785081084103944,-1.091912105735698,-0.002769188360153407,56.0,170.0,113.0,0.5916230366492147,1d,target_logsharpe_ratio,2025,36,0,0,-0.006963496860260092,0.001425120139953277
distance_to_resistance,0.006869713,0.0015832047861170206,0.0023787767486416647,-1.091912105735698,0.0015832047861170206,57.0,53.0,55.0,0.2879581151832461,1d,target_logsharpe_ratio,2025,36,0,0,-0.0005018849670803867,0.003668294539314428
amplitude_range_zn30,0.006673477,-0.003530409521213995,0.0026680930388458977,-1.091912105735698,-0.003530409521213995,58.0,177.0,117.5,0.6151832460732984,1d,target_logsharpe_ratio,2025,36,0,0,-0.005869096184034134,-0.0011917228583938565
cloud_thickness_zn30,0.0064999764,-0.006200523080080522,0.0007934466269023969,-1.091912105735698,-0.006200523080080522,59.0,186.0,122.5,0.6413612565445026,1d,target_logsharpe_ratio,2025,36,0,0,-0.006896009713035018,-0.005505036447126027
williams_r_mm30,0.0061979797,0.0016852788014029229,0.000684497730478491,-1.091912105735698,0.0016852788014029229,60.0,49.0,54.5,0.28534031413612565,1d,target_logsharpe_ratio,2025,36,0,0,0.0010852900867315825,0.0022852675160742633
volume_profile_hvn_mm30,0.0061716563,0.0007405533624558203,0.0008766253389418663,-1.091912105735698,0.0007405533624558203,61.0,69.0,65.0,0.3403141361256545,1d,target_logsharpe_ratio,2025,36,0,0,-2.7842626223919978e-05,0.0015089493511355606
squeeze_on_zn30,0.0061689164,-0.0012314020913644975,0.000413834827609887,-1.091912105735698,-0.0012314020913644975,62.0,144.0,103.0,0.5392670157068062,1d,target_logsharpe_ratio,2025,36,0,0,-0.001594144311313602,-0.0008686598714153928
