feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
target_breakout_prob,0.1162149,0.07749497884719125,0.0053626017188275,-1.0428492009643173,0.07749497884719125,1.0,1.0,1.0,0.004032258064516129,4h,target_logsharpe_ratio,2025,36,0,0,0.07279445119120549,0.08219550650317702
volume_spike_near_support,0.08719593,0.0010949250869551007,0.000591441150813783,-1.0428492009643173,0.0010949250869551007,2.0,47.0,24.5,0.09879032258064516,4h,target_logsharpe_ratio,2025,36,0,0,0.0005765040607342539,0.0016133461131759477
taker_imbalance_z,0.020448154,0.03352445656137957,0.007201451908946663,-1.0428492009643173,0.03352445656137957,3.0,3.0,3.0,0.012096774193548387,4h,target_logsharpe_ratio,2025,36,0,0,0.027212105647380226,0.03983680747537891
obv_zn30,0.020309152,0.018191467317574928,0.0025235500083072727,-1.0428492009643173,0.018191467317574928,4.0,5.0,4.5,0.018145161290322582,4h,target_logsharpe_ratio,2025,36,0,0,0.0159794782072024,0.020403456427947456
etf_eth_net_assets_usd,0.014798743,0.0,0.0,-1.0428492009643173,0.0,5.0,150.0,77.5,0.3125,4h,target_logsharpe_ratio,2025,36,0,0,0.0,0.0
movcd_bitcoin_bitcoin_reserve_risk,0.012808498,-2.2055916781171803e-05,4.7696731896710845e-05,-1.0428492009643173,-2.2055916781171803e-05,6.0,168.0,87.0,0.35080645161290325,4h,target_logsharpe_ratio,2025,36,0,0,-6.386394563281795e-05,1.9752112070474344e-05
bitcoin_dominance_bitcoin_bitcoin_dominance,0.011421632,-0.002262561997325152,0.0004980620793903663,-1.0428492009643173,-0.002262561997325152,7.0,240.0,123.5,0.49798387096774194,4h,target_logsharpe_ratio,2025,36,0,0,-0.0026991326586056,-0.0018259913360447037
hour_sin_mm30,0.011018973,0.024402028564482238,0.007342817191185662,-1.0428492009643173,0.024402028564482238,8.0,4.0,6.0,0.024193548387096774,4h,target_logsharpe_ratio,2025,36,0,0,0.017965765517230916,0.03083829161173356
return_skewness,0.010319694,-0.004757404504549356,0.0007759567623008228,-1.0428492009643173,-0.004757404504549356,9.0,245.0,127.0,0.5120967741935484,4h,target_logsharpe_ratio,2025,36,0,0,-0.005437560595246628,-0.004077248413852084
etf_eth_change_usd,0.009936903,-0.012077911749975013,0.001677458213170031,-1.0428492009643173,-0.012077911749975013,10.0,247.0,128.5,0.5181451612903226,4h,target_logsharpe_ratio,2025,36,0,0,-0.013548268702847914,-0.010607554797102112
new_address_count_bitcoin_new_addresses,0.009261136,0.0024059368879495225,0.0002980531732744518,-1.0428492009643173,0.0024059368879495225,11.0,25.0,18.0,0.07258064516129033,4h,target_logsharpe_ratio,2025,36,0,0,0.002144681762659853,0.002667192013239192
sth_sopr_bitcoin_sth_sopr,0.008978697,-0.01316834312139945,0.0011537459061966963,-1.0428492009643173,-0.01316834312139945,12.0,248.0,130.0,0.5241935483870968,4h,target_logsharpe_ratio,2025,36,0,0,-0.014179645997206471,-0.01215704024559243
distance_to_pivot_zn30,0.008341453,0.0012434204889292476,0.0013731923824501608,-1.0428492009643173,0.0012434204889292476,13.0,41.0,27.0,0.10887096774193548,4h,target_logsharpe_ratio,2025,36,0,0,3.9764295698615625e-05,0.0024470766821598797
_orig_idx,0.007998454,0.0,0.0,-1.0428492009643173,0.0,14.0,150.0,82.0,0.33064516129032256,4h,target_logsharpe_ratio,2025,36,0,0,0.0,0.0
high_mm30,0.0077752736,0.006147387955852501,0.002958995485768809,-1.0428492009643173,0.006147387955852501,15.0,7.0,11.0,0.04435483870967742,4h,target_logsharpe_ratio,2025,36,0,0,0.0035537140557452265,0.008741061855959777
