feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
breakout_recent_high,0.048314817,0.0,0.0,0.5151515151515151,0.0,1.0,109.0,55.0,0.2879581151832461,1d,target_binarytrend,2025,36,0,0,0.0,0.0
trend_flag_diff1,0.013794584,0.0,0.0,0.5151515151515151,0.0,2.0,109.0,55.5,0.2905759162303665,1d,target_binarytrend,2025,36,0,0,0.0,0.0
squeeze_on,0.013533866,0.0,0.0,0.5151515151515151,0.0,3.0,109.0,56.0,0.2931937172774869,1d,target_binarytrend,2025,36,0,0,0.0,0.0
macd_bullish_cross,0.012123624,-0.0004188755808626432,0.001459152687621324,0.5151515151515151,-0.0004188755808626432,4.0,127.0,65.5,0.34293193717277487,1d,target_binarytrend,2025,36,0,0,-0.0016978793036991793,0.000860128141973893
_orig_idx,0.009614873,0.0,0.0,0.5151515151515151,0.0,5.0,109.0,57.0,0.29842931937172773,1d,target_binarytrend,2025,36,0,0,0.0,0.0
distance_to_resistance_zn30,0.009318734,-0.004315556228306772,0.003716593907839674,0.5151515151515151,-0.004315556228306772,6.0,161.0,83.5,0.43717277486910994,1d,target_binarytrend,2025,36,0,0,-0.007573294424401683,-0.001057818032211861
obv_diff1_zn30,0.008646863,0.004138964127937772,0.002365357169927752,0.5151515151515151,0.004138964127937772,7.0,61.0,34.0,0.17801047120418848,1d,target_binarytrend,2025,36,0,0,0.002065637154111982,0.006212291101763561
doji_ratio_20,0.008577694,0.00019623435055184934,0.0017416082912846576,0.5151515151515151,0.00019623435055184934,8.0,90.0,49.0,0.25654450261780104,1d,target_binarytrend,2025,36,0,0,-0.0013303526250081322,0.0017228213261118307
squeeze_on_zn30,0.008330227,0.0011144518201194665,0.0021478498405477966,0.5151515151515151,0.0011144518201194665,9.0,85.0,47.0,0.24607329842931938,1d,target_binarytrend,2025,36,0,0,-0.0007682215734599006,0.0029971252136988336
obv_diff1_mm30,0.0083055515,0.013218810249447377,0.003072408640634114,0.5151515151515151,0.013218810249447377,10.0,9.0,9.5,0.049738219895287955,1d,target_binarytrend,2025,36,0,0,0.010525725336002061,0.01591189516289269
boll_lower_zn30,0.00801587,-0.004098241748776599,0.0024581004916748093,0.5151515151515151,-0.004098241748776599,11.0,160.0,85.5,0.4476439790575916,1d,target_binarytrend,2025,36,0,0,-0.006252861828381527,-0.0019436216691716712
cloud_thickness,0.008010571,0.003965011629082804,0.001282906933629979,0.5151515151515151,0.003965011629082804,12.0,62.0,37.0,0.193717277486911,1d,target_binarytrend,2025,36,0,0,0.0028404941210210463,0.005089529137144562
low_mm30,0.0077697737,-0.0023543620558546196,0.003062365560983725,0.5151515151515151,-0.0023543620558546196,13.0,144.0,78.5,0.4109947643979058,1d,target_binarytrend,2025,36,0,0,-0.005038643821849663,0.0003299197101404236
