feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
high_mm30,0.26186445,7.37709513539242e-05,0.0011255778804874815,0.9470368182713133,7.37709513539242e-05,1.0,104.0,52.5,0.27486910994764396,4h,target_drawdown_prob,2025,36,0,0,-0.0009128415613042118,0.0010603834640120601
resistance_level_20_mm30,0.0809614,-0.00010839670967295323,0.00022806281144025585,0.9470368182713133,-0.00010839670967295323,2.0,157.0,79.5,0.4162303664921466,4h,target_drawdown_prob,2025,36,0,0,-0.0003083025778848437,9.150915853893726e-05
logreturn_pct_rank,0.035165362,0.0012660192407807358,0.0007216077600518595,0.9470368182713133,0.0012660192407807358,3.0,1.0,2.0,0.010471204188481676,4h,target_drawdown_prob,2025,36,0,0,0.0006335021509903484,0.0018985363305711231
low_mm30,0.025488647,8.173057795632933e-05,0.00023528356280332177,0.9470368182713133,8.173057795632933e-05,4.0,101.0,52.5,0.27486910994764396,4h,target_drawdown_prob,2025,36,0,0,-0.0001245045578869655,0.00028796571379962417
price_above_ma20,0.01663552,0.0,0.0,0.9470368182713133,0.0,5.0,137.0,71.0,0.3717277486910995,4h,target_drawdown_prob,2025,36,0,0,0.0,0.0
keltner_lower_20_mm30,0.012821627,8.619138902243861e-05,0.00013111066991690424,0.9470368182713133,8.619138902243861e-05,6.0,100.0,53.0,0.2774869109947644,4h,target_drawdown_prob,2025,36,0,0,-2.8732180217377326e-05,0.00020111495826225455
keltner_upper_20_mm30,0.0125187505,0.0006489564034161344,0.00014664581183593416,0.9470368182713133,0.0006489564034161344,7.0,20.0,13.5,0.07068062827225131,4h,target_drawdown_prob,2025,36,0,0,0.0005204156818948639,0.0007774971249374049
trend_flag_diff1,0.011185474,-0.00012436573012546414,0.00010154419343202177,0.9470368182713133,-0.00012436573012546414,8.0,160.0,84.0,0.4397905759162304,4h,target_drawdown_prob,2025,36,0,0,-0.00021337314006534435,-3.535832018558391e-05
range_flag_zn30,0.009361147,0.0,0.0,0.9470368182713133,0.0,9.0,137.0,73.0,0.38219895287958117,4h,target_drawdown_prob,2025,36,0,0,0.0,0.0
donchian_high_20_zn30,0.008053899,0.0006750078507968826,9.592585420050066e-05,0.9470368182713133,0.0006750078507968826,10.0,17.0,13.5,0.07068062827225131,4h,target_drawdown_prob,2025,36,0,0,0.0005909251323263977,0.0007590905692673675
squeeze_on,0.006692059,0.0,0.0,0.9470368182713133,0.0,11.0,137.0,74.0,0.387434554973822,4h,target_drawdown_prob,2025,36,0,0,0.0,0.0
kdj_j,0.0066561326,-0.000525842503402818,0.0001946113333413323,0.9470368182713133,-0.000525842503402818,12.0,188.0,100.0,0.5235602094240838,4h,target_drawdown_prob,2025,36,0,0,-0.0006964268582557093,-0.00035525814854992665
boll_upper_mm30,0.00656659,0.0008094795145994427,0.00024405961245120556,0.9470368182713133,0.0008094795145994427,13.0,12.0,12.5,0.06544502617801047,4h,target_drawdown_prob,2025,36,0,0,0.000595551832070208,0.0010234071971286774
r_sym,0.006162086,0.0005913270293645079,0.0005144620218526237,0.9470368182713133,0.0005913270293645079,14.0,23.0,18.5,0.0968586387434555,4h,target_drawdown_prob,2025,36,0,0,0.00014038118470436397,0.0010422728740246518
volume_percentile,0.0058135376,0.0004450393246853812,0.0005104645502231987,0.9470368182713133,0.0004450393246853812,15.0,41.0,28.0,0.14659685863874344,4h,target_drawdown_prob,2025,36,0,0,-2.4025816005664082e-06,0.0008924812309713289
momentum,0.0057049356,0.0003801130655211038,0.00020037199889792073,0.9470368182713133,0.0003801130655211038,16.0,47.0,31.5,0.1649214659685864,4h,target_drawdown_prob,2025,36,0,0,0.00020447926467438444,0.0005557468663678232
tail_bias_norm,0.00557905,0.0004977750782091172,0.00022974301278303366,0.9470368182713133,0.0004977750782091172,17.0,29.0,23.0,0.12041884816753927,4h,target_drawdown_prob,2025,36,0,0,0.0002963964485852384,0.0006991537078329961
ma5_mm30,0.0055679255,-0.0003771280820573875,0.0002046594469858957,0.9470368182713133,-0.0003771280820573875,18.0,182.0,100.0,0.5235602094240838,4h,target_drawdown_prob,2025,36,0,0,-0.0005565199968509945,-0.00019773616726378044
ma_diff_5_20_zn30,0.005481959,2.4793536762834912e-05,9.128215853162478e-05,0.9470368182713133,2.4793536762834912e-05,19.0,116.0,67.5,0.35340314136125656,4h,target_drawdown_prob,2025,36,0,0,-5.521880298813825e-05,0.00010480587651380806
trendline_slope_20,0.0053705038,0.00011636968101873535,9.139695508132944e-05,0.9470368182713133,0.00011636968101873535,20.0,96.0,58.0,0.3036649214659686,4h,target_drawdown_prob,2025,36,0,0,3.6256717655383145e-05,0.00019648264438208756
high_vol_flag_zn30,0.0053437566,0.0,0.0,0.9470368182713133,0.0,21.0,137.0,79.0,0.41361256544502617,4h,target_drawdown_prob,2025,36,0,0,0.0,0.0
macd_bullish_cross,0.0053341375,-4.1703292699812876e-06,0.00012460384612602166,0.9470368182713133,-4.1703292699812876e-06,22.0,151.0,86.5,0.45287958115183247,4h,target_drawdown_prob,2025,36,0,0,-0.00011339041598669891,0.00010504975744673634
ppo_zn30,0.0050295773,0.0003691048391841756,0.0001485761205131838,0.9470368182713133,0.0003691048391841756,23.0,49.0,36.0,0.18848167539267016,4h,target_drawdown_prob,2025,36,0,0,0.00023887212750630906,0.000499337550862042
cci_zn30,0.004961219,-0.0006956490785449132,0.0002115860093576956,0.9470368182713133,-0.0006956490785449132,24.0,189.0,106.5,0.5575916230366492,4h,target_drawdown_prob,2025,36,0,0,-0.000881112392949505,-0.0005101857641403214
distance_to_resistance_zn30,0.0049370243,0.0007816542332933496,0.00015390923397337795,0.9470368182713133,0.0007816542332933496,25.0,13.0,19.0,0.09947643979057591,4h,target_drawdown_prob,2025,36,0,0,0.0006467468415578275,0.0009165616250288717
squeeze_on_zn30,0.0049080886,3.313091222523212e-05,0.0003171575993024188,0.9470368182713133,3.313091222523212e-05,26.0,113.0,69.5,0.36387434554973824,4h,target_drawdown_prob,2025,36,0,0,-0.0002448699808101404,0.00031113180526060464
