feature,score_global,avg_rank_pct,std_rank_pct,pair_coverage,appear_rate,appear_rate_era,rank,keep
return_skewness,0.7794119433578792,0.17767295597484276,0.22179606331541518,15,0.7333333333333333,1.0,1,True
high_mm30,0.7581057284174493,0.1169811320754717,0.10047755066917098,15,0.9333333333333333,1.0,2,True
cvar_95_30d,0.7397885548890764,0.19025157232704404,0.2016488088557339,15,0.7333333333333333,1.0,3,True
ewmavolatility,0.7180153069939064,0.26163522012578616,0.3018650317853532,15,0.6,1.0,4,True
distance_to_resistance,0.7047993782788736,0.20235849056603775,0.19067384063504203,15,0.6666666666666666,1.0,5,True
r_sym,0.6969226357263334,0.20314465408805032,0.2281037284271683,15,0.8,1.0,6,True
low_mm30,0.6861658506430933,0.21540880503144655,0.17133624475294515,15,0.8,1.0,7,True
rolling_volatility,0.6761873845934406,0.2773584905660378,0.317513751598818,15,0.6666666666666666,1.0,8,True
ret_skew_30d,0.6750172847770727,0.2248427672955975,0.2382003192484231,15,0.8,1.0,9,True
distance_to_resistance_zn30,0.668194869171455,0.21855345911949683,0.1630277536179376,15,0.8,1.0,10,True
distance_to_resistance_mm30,0.6668849715250438,0.2349056603773585,0.21260978149728496,15,0.8,1.0,11,True
trendline_slope_20_zn30,0.6587556877374767,0.25943396226415094,0.22935811893689365,15,0.6,1.0,12,True
boll_upper_zn30,0.6576013621818351,0.2732704402515723,0.21214032526838741,15,0.5333333333333333,1.0,13,True
obv_diff1_zn30,0.6568171594913594,0.23522012578616353,0.19657394151402954,15,0.6666666666666666,1.0,14,True
atr_ratio_price,0.6532116417278118,0.2927672955974843,0.2939351760878279,15,0.6,1.0,15,True
cvar_95_30d_zn30,0.6424163420324378,0.27861635220125786,0.19446541171082898,15,0.5333333333333333,1.0,16,True
keltner_upper_20_mm30,0.6362330258563933,0.29654088050314464,0.2831528583691097,15,0.5333333333333333,1.0,17,True
donchian_high_20_zn30,0.635238886445614,0.3,0.23770028185575218,15,0.6,1.0,18,True
tail_bias_norm,0.6267846798662047,0.28238993710691823,0.22690498065709178,15,0.6,1.0,19,True
keltner_lower_20_mm30,0.6258255279238115,0.2748427672955975,0.19733729028426775,15,0.5333333333333333,1.0,20,True
ppo,0.623865489140235,0.31745283018867926,0.2645624562199118,15,0.5333333333333333,1.0,21,True
distance_to_support,0.6237458169270299,0.319496855345912,0.3212471775841237,15,0.6666666666666666,1.0,22,True
logreturn_pct_rank,0.6216418039433779,0.2921383647798742,0.25278459043562784,15,0.6,1.0,23,True
ppo_zn30,0.6195808941395734,0.2751572327044025,0.1951930423687818,15,0.6666666666666666,1.0,24,True
obv_diff1_mm30,0.6171891650865439,0.2572327044025157,0.16161000324198696,15,0.7333333333333333,1.0,25,True
minus_di,0.6126154915663646,0.29654088050314464,0.261720302013666,15,0.6,1.0,26,True
boll_bandwidth,0.6121947712492454,0.300314465408805,0.23074439864118146,15,0.6,1.0,27,True
trend_flag_zn30,0.6116478058873688,0.27955974842767295,0.18031905172873114,15,0.6,1.0,28,True
price_position_ma200_mm30,0.6113353997920944,0.29968553459119496,0.2210510332653244,15,0.6666666666666666,1.0,29,True
ichimoku_base_zn30,0.6105336622710248,0.2878930817610063,0.16851591730674267,15,0.6,1.0,30,True
dow_cos_zn30,0.6076172103304841,0.26352201257861635,0.16492932325533807,15,0.7333333333333333,1.0,31,True
_orig_idx,0.5893891937937397,0.2908805031446541,0.14579828929693087,15,0.5333333333333333,1.0,32,True
atr_zn30,0.5893330646242576,0.3440251572327044,0.23810555759223076,15,0.6,1.0,33,True
ret_skew_30d_zn30,0.5850377181804275,0.3283018867924528,0.26818018628815726,15,0.6,1.0,34,True
var_95_30d_zn30,0.5816578800656944,0.3144654088050315,0.16194205269916645,15,0.5333333333333333,1.0,35,True
volume_percentile,0.5709608569508865,0.33915094339622637,0.24918527928531542,15,0.5333333333333333,1.0,36,True
distance_to_support_mm30,0.5680069273006041,0.32358490566037734,0.20545997803309807,15,0.6,1.0,37,True
squeeze_on_zn30,0.5508677705607583,0.35597484276729563,0.27254814867508653,15,0.5333333333333333,1.0,38,True
r_btc,0.5441183510316965,0.370125786163522,0.2992528853827311,15,0.6,1.0,39,True
price_volume_corr_20_mm30,0.5359503136249472,0.3949685534591195,0.30829652285339215,15,0.6,1.0,40,True
