feature,coverage,variance,keep,cluster_rep
open,1.0,544679984.0537854,False,donchian_high_20
high,1.0,550150754.307523,False,donchian_high_20
low,1.0,539108176.7927835,False,donchian_high_20
close,1.0,544789263.0836595,False,donchian_high_20
volume,1.0,5861930766394680.0,True,volume
ma5,1.0,544535582.2819978,False,donchian_high_20
ma20,1.0,543620214.3858424,False,donchian_high_20
rsi,1.0,272.53189647577994,True,rsi
macd_hist,1.0,4765.447745719918,True,macd_hist
kdj_k,1.0,418.72667568162603,False,kdj_k
kdj_j,1.0,1019.1658632130466,True,kdj_j
momentum,1.0,219330.83516310743,True,momentum
vol_ma,1.0,5006874863886067.0,False,volume
vol_change,1.0,0.5901047868112321,True,vol_change
obv,1.0,2.460903548123828e+19,True,obv
boll_upper,1.0,567486738.4572561,False,donchian_high_20
boll_lower,1.0,520820630.1763097,False,donchian_high_20
atr,1.0,102007.04049020476,False,donchian_high_20
cci,1.0,13045.151308547043,False,cci
adx,1.0,129.82984983856616,True,adx
plus_di,1.0,59.256743367997224,True,plus_di
minus_di,1.0,60.40609221595747,True,minus_di
adx_scaled,1.0,0.01298298497655336,False,adx
vwap,1.0,186746902.2355205,False,donchian_high_20
trend_flag,1.0,0.23556767904242137,True,trend_flag
boll_bandwidth,1.0,0.005703845101214458,True,boll_bandwidth
range_flag,1.0,0.032605908522367916,True,range_flag
high_vol_flag,1.0,0.0095617124058968,True,high_vol_flag
stress_flag,1.0,0.0008350357873588755,False,stress_flag
donchian_high_20,1.0,569255464.9231781,True,donchian_high_20
donchian_low_20,1.0,516946674.7542066,False,donchian_high_20
keltner_upper_20,1.0,560330088.6642466,False,donchian_high_20
keltner_lower_20,1.0,527209049.8168152,False,donchian_high_20
squeeze_on,1.0,0.1170240958647282,True,squeeze_on
ppo,1.0,0.00025366659127603296,True,ppo
stoch_rsi,1.0,0.13457882111801,False,stoch_rsi_mm30
williams_r,1.0,712.2987811121465,False,williams_r
tsi,1.0,0.04272032694229631,False,tsi
ichimoku_conv,1.0,543568441.0650281,False,donchian_high_20
ichimoku_base,1.0,541936353.46828,False,donchian_high_20
ichimoku_span_a,1.0,539831220.2498076,False,donchian_high_20
ichimoku_span_b,1.0,536907642.188708,False,donchian_high_20
cloud_thickness,1.0,286136.5330379351,True,cloud_thickness
psar,1.0,543069997.8163952,False,donchian_high_20
psar_flip_flag,1.0,0.01977492704155848,False,psar_flip_flag
supertrend_10_3,1.0,538760046.4311526,False,donchian_high_20
heikin_ashi_trend,1.0,25534.327247158242,True,heikin_ashi_trend
ret_skew_30d,1.0,1.0178049095824617,True,ret_skew_30d
ret_kurt_30d,1.0,8.937673738840783,True,ret_kurt_30d
var_95_30d,1.0,0.0002024020938776268,True,var_95_30d
cvar_95_30d,1.0,0.00039062846034789247,True,cvar_95_30d
z_score_gap,1.0,7.944381541828204e-05,True,z_score_gap
doji_ratio_20,1.0,0.00478155299465603,True,doji_ratio_20
hammer_cnt_20,1.0,4.2753307068369475,True,hammer_cnt_20
engulfing_up_cnt_20,1.0,1.3291785628325214,True,engulfing_up_cnt_20
mfi,1.0,306.82316173823045,True,mfi
cmf,1.0,0.015929260301990784,True,cmf
price_volume_corr_20,1.0,0.16425959374955923,True,price_volume_corr_20
ma200,1.0,532972758.833863,False,donchian_high_20
price_position_ma200,1.0,0.017342605701314153,True,price_position_ma200
log_close,1.0,14.60118519959965,False,donchian_high_20
r_sym,1.0,0.00019835336227498073,True,r_sym
r_btc,1.0,8.934816178581581e-05,True,r_btc
beta_btc_60d,1.0,0.07390405329670835,True,beta_btc_60d
pivot_point,1.0,544547729.0920941,False,donchian_high_20
distance_to_pivot,1.0,2.4911201345440435e-05,True,distance_to_pivot
volume_profile_hvn,1.0,488821893.6315217,False,donchian_high_20
volume_profile_lvn,1.0,499581733.67710537,False,donchian_high_20
hour_sin,1.0,0.48585298705856794,False,hour_sin_zn30
hour_cos,1.0,0.5133509387506375,True,hour_cos
dow_sin,1.0,0.49997565437160574,True,dow_sin
dow_cos,1.0,0.5000277495867753,True,dow_cos
trend_flag_diff1,1.0,0.08943822525727438,True,trend_flag_diff1
trend_flag_slope_24h,1.0,0.004861783051994844,True,trend_flag_slope_24h
range_flag_diff1,1.0,0.00872755795646306,True,range_flag_diff1
range_flag_slope_24h,1.0,0.0001910233592597753,True,range_flag_slope_24h
ppo_diff1,1.0,3.107214973464188e-06,True,ppo_diff1
ppo_slope_24h,1.0,1.8974552914172475e-06,True,ppo_slope_24h
stoch_rsi_diff1,1.0,0.04818095814311453,True,stoch_rsi_diff1
stoch_rsi_slope_24h,1.0,0.003504194330392568,True,stoch_rsi_slope_24h
psar_diff1,1.0,68253.10635254475,True,psar_diff1
psar_slope_24h,1.0,27846.83086067073,True,psar_slope_24h
ret_skew_30d_diff1,1.0,0.09602808101217396,True,ret_skew_30d_diff1
ret_skew_30d_slope_24h,1.0,0.008738360689996283,True,ret_skew_30d_slope_24h
ret_kurt_30d_diff1,1.0,0.9955872257216195,True,ret_kurt_30d_diff1
