feature,target,metric,value,window_start,window_end
donchian_high_20,target_logreturn,ic,0.0017549832012351107,2020-11-04 01:00:00,2025-06-11 00:00:00
volume,target_logreturn,ic,0.0024922326553938772,2020-11-04 01:00:00,2025-06-11 00:00:00
rsi,target_logreturn,ic,-0.02495611201824729,2020-11-04 01:00:00,2025-06-11 00:00:00
macd_hist,target_logreturn,ic,-0.01702867324484135,2020-11-04 01:00:00,2025-06-11 00:00:00
kdj_j,target_logreturn,ic,-0.041141827826158224,2020-11-04 01:00:00,2025-06-11 00:00:00
momentum,target_logreturn,ic,-0.03531940188275098,2020-11-04 01:00:00,2025-06-11 00:00:00
vol_change,target_logreturn,ic,0.003635752739321112,2020-11-04 01:00:00,2025-06-11 00:00:00
obv,target_logreturn,ic,-0.0034445967660646118,2020-11-04 01:00:00,2025-06-11 00:00:00
adx,target_logreturn,ic,0.009970969705799068,2020-11-04 01:00:00,2025-06-11 00:00:00
plus_di,target_logreturn,ic,-0.02165119332318157,2020-11-04 01:00:00,2025-06-11 00:00:00
minus_di,target_logreturn,ic,0.024514974217679012,2020-11-04 01:00:00,2025-06-11 00:00:00
trend_flag,target_logreturn,ic,0.007811434083981974,2020-11-04 01:00:00,2025-06-11 00:00:00
boll_bandwidth,target_logreturn,ic,0.017401138691741563,2020-11-04 01:00:00,2025-06-11 00:00:00
range_flag,target_logreturn,ic,-0.0051527397179169645,2020-11-04 01:00:00,2025-06-11 00:00:00
high_vol_flag,target_logreturn,ic,-0.00041902646590738317,2020-11-04 01:00:00,2025-06-11 00:00:00
squeeze_on,target_logreturn,ic,-0.012073126345963832,2020-11-04 01:00:00,2025-06-11 00:00:00
ppo,target_logreturn,ic,-0.009528260573929033,2020-11-04 01:00:00,2025-06-11 00:00:00
stoch_rsi_mm30,target_logreturn,ic,-0.009214538528549265,2020-11-04 01:00:00,2025-06-11 00:00:00
cloud_thickness,target_logreturn,ic,-0.006129728696762679,2020-11-04 01:00:00,2025-06-11 00:00:00
heikin_ashi_trend,target_logreturn,ic,-0.022686852928605315,2020-11-04 01:00:00,2025-06-11 00:00:00
ret_skew_30d,target_logreturn,ic,0.000319542398455794,2020-11-04 01:00:00,2025-06-11 00:00:00
ret_kurt_30d,target_logreturn,ic,-0.002805144885828661,2020-11-04 01:00:00,2025-06-11 00:00:00
var_95_30d,target_logreturn,ic,-0.01718006805016201,2020-11-04 01:00:00,2025-06-11 00:00:00
cvar_95_30d,target_logreturn,ic,-0.014849093194976983,2020-11-04 01:00:00,2025-06-11 00:00:00
z_score_gap,target_logreturn,ic,0.0017520259525914761,2020-11-04 01:00:00,2025-06-11 00:00:00
doji_ratio_20,target_logreturn,ic,0.00039841879541329696,2020-11-04 01:00:00,2025-06-11 00:00:00
hammer_cnt_20,target_logreturn,ic,0.017930208471090336,2020-11-04 01:00:00,2025-06-11 00:00:00
engulfing_up_cnt_20,target_logreturn,ic,-0.00706541165800818,2020-11-04 01:00:00,2025-06-11 00:00:00
mfi,target_logreturn,ic,-0.012994481237225417,2020-11-04 01:00:00,2025-06-11 00:00:00
cmf,target_logreturn,ic,-0.007686559208066159,2020-11-04 01:00:00,2025-06-11 00:00:00
price_volume_corr_20,target_logreturn,ic,-0.010369465170636631,2020-11-04 01:00:00,2025-06-11 00:00:00
price_position_ma200,target_logreturn,ic,0.0006241027107252714,2020-11-04 01:00:00,2025-06-11 00:00:00
r_sym,target_logreturn,ic,-0.048652094621635944,2020-11-04 01:00:00,2025-06-11 00:00:00
r_btc,target_logreturn,ic,-0.0522384643006031,2020-11-04 01:00:00,2025-06-11 00:00:00
beta_btc_60d,target_logreturn,ic,-0.008018311456997431,2020-11-04 01:00:00,2025-06-11 00:00:00
distance_to_pivot,target_logreturn,ic,-0.012598598065300427,2020-11-04 01:00:00,2025-06-11 00:00:00
