feature,period,target,tree_importance,boruta_keep,linear_coef,shap_value,tft_vsn_importance,tree_rank,linear_rank,boruta_score,score_embedded
volume,1d,target_binarytrend,0.003641504794359207,0.0,0.0,0.0,0.0,163.0,106.5,0.0,0.3464454976303317
rsi,1d,target_binarytrend,0.005761297885328531,0.05,0.0,0.0,0.0,64.0,106.5,0.05,0.4502843601895735
macd_hist,1d,target_binarytrend,0.0043225414119660854,0.0,0.0,0.0,0.0,142.0,106.5,0.0,0.36635071090047394
kdj_j,1d,target_binarytrend,0.005658389534801245,0.0,0.0,0.0,0.0,72.0,106.5,0.0,0.4327014218009479
momentum,1d,target_binarytrend,0.004963915329426527,0.0,0.0,0.0,0.0,114.0,106.5,0.0,0.3928909952606635
vol_change,1d,target_binarytrend,0.00608722073957324,0.0,0.0,0.0,0.0,55.0,106.5,0.0,0.4488151658767773
obv,1d,target_binarytrend,0.006127353757619858,0.0,0.0,0.0,0.0,53.0,106.5,0.0,0.4507109004739337
adx,1d,target_binarytrend,0.005674252286553383,0.0,0.0,0.0,0.0,71.0,106.5,0.0,0.43364928909952605
plus_di,1d,target_binarytrend,0.005480125546455383,0.0,0.0,0.0,0.0,80.0,106.5,0.0,0.4251184834123222
minus_di,1d,target_binarytrend,0.005853141658008099,0.0,0.0,0.0,0.0,59.0,106.5,0.0,0.44502369668246444
trend_flag,1d,target_binarytrend,0.00108266097959131,0.0,0.0,0.0,0.0,181.0,106.5,0.0,0.3293838862559242
boll_bandwidth,1d,target_binarytrend,0.005037876311689615,0.05,0.0,0.0,0.0,111.0,106.5,0.05,0.4057345971563981
range_flag,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0,198.5,106.5,0.0,0.3127962085308057
high_vol_flag,1d,target_binarytrend,0.0,0.0,0.0,0.0,0.0,198.5,106.5,0.0,0.3127962085308057
donchian_high_20,1d,target_binarytrend,0.004752762615680695,0.0,0.0,0.0,0.0,129.0,106.5,0.0,0.3786729857819905
squeeze_on,1d,target_binarytrend,0.010010579600930214,0.05,0.0,0.0,0.0,2.0,106.5,0.05,0.5090521327014217
ppo,1d,target_binarytrend,0.006319916807115078,0.05,0.0,0.0,0.0,49.0,106.5,0.05,0.4645023696682465
cloud_thickness,1d,target_binarytrend,0.008064172230660915,0.05,0.0,0.0,0.0,13.0,106.5,0.05,0.49862559241706156
heikin_ashi_trend,1d,target_binarytrend,0.0037914467975497246,0.0,0.0,0.0,0.0,161.0,106.5,0.0,0.3483412322274882
ret_skew_30d,1d,target_binarytrend,0.006793032865971327,0.0,0.0,0.0,0.0,32.0,106.5,0.0,0.4706161137440758
ret_kurt_30d,1d,target_binarytrend,0.004278148990124464,0.0,0.0,0.0,0.0,147.0,106.5,0.0,0.36161137440758295
var_95_30d,1d,target_binarytrend,0.005719677545130253,0.05,0.0,0.0,0.0,68.0,106.5,0.05,0.4464928909952606
cvar_95_30d,1d,target_binarytrend,0.00548509880900383,0.0,0.0,0.0,0.0,79.0,106.5,0.0,0.4260663507109005
z_score_gap,1d,target_binarytrend,0.006862562615424395,0.0,0.0,0.0,0.0,31.0,106.5,0.0,0.47156398104265407
doji_ratio_20,1d,target_binarytrend,0.0032819362822920084,0.05,0.0,0.0,0.0,172.0,106.5,0.05,0.34791469194312796
hammer_cnt_20,1d,target_binarytrend,0.008019477128982544,0.05,0.0,0.0,0.0,14.0,106.5,0.05,0.4976777251184835
engulfing_up_cnt_20,1d,target_binarytrend,0.0031109845731407404,0.0,0.0,0.0,0.0,173.0,106.5,0.0,0.33696682464454975
mfi,1d,target_binarytrend,0.00643131835386157,0.0,0.0,0.0,0.0,44.0,106.5,0.0,0.45924170616113746
cmf,1d,target_binarytrend,0.003368330653756857,0.0,0.0,0.0,0.0,171.0,106.5,0.0,0.33886255924170616
