feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
high_vol_flag_zn30,0.030828815,0.0,0.0,0.514161220043573,0.0,1.0,169.0,85.0,0.4009433962264151,1d,target_binarytrend,2025,36,0,0,0.0,0.0
doji_ratio_20,0.009100752,-0.00322728162806718,0.0020384561570688884,0.514161220043573,-0.00322728162806718,2.0,199.0,100.5,0.4740566037735849,1d,target_binarytrend,2025,36,0,0,-0.005014067230319917,-0.0014404960258144431
keltner_upper_20_mm30,0.0088411365,0.011757082389947038,0.000820783898291614,0.514161220043573,0.011757082389947038,3.0,30.0,16.5,0.07783018867924528,1d,target_binarytrend,2025,36,0,0,0.011037633582111447,0.01247653119778263
breakout_recent_high,0.008140164,0.0,0.0,0.514161220043573,0.0,4.0,169.0,86.5,0.4080188679245283,1d,target_binarytrend,2025,36,0,0,0.0,0.0
volume_spike_near_resist,0.007902265,0.0,0.0,0.514161220043573,0.0,5.0,169.0,87.0,0.41037735849056606,1d,target_binarytrend,2025,36,0,0,0.0,0.0
ppo_diff1,0.007705802,-0.00625386191975188,0.0034381489201933692,0.514161220043573,-0.00625386191975188,6.0,208.0,107.0,0.5047169811320755,1d,target_binarytrend,2025,36,0,0,-0.00926753232306127,-0.00324019151644249
r_btc,0.0074773952,-0.010522629490735614,0.008383601682790051,0.514161220043573,-0.010522629490735614,7.0,210.0,108.5,0.5117924528301887,1d,target_binarytrend,2025,36,0,0,-0.017871180368263684,-0.0031740786132075424
premium_premium_index,0.007262734,0.0013587529167504054,0.006433583016877218,0.514161220043573,0.0013587529167504054,8.0,137.0,72.5,0.3419811320754717,1d,target_binarytrend,2025,36,0,0,-0.004280531237382844,0.006998037070883654
distance_to_pivot_zn30,0.007063419,-0.005108280042136593,0.0068054699637603985,0.514161220043573,-0.005108280042136593,9.0,205.0,107.0,0.5047169811320755,1d,target_binarytrend,2025,36,0,0,-0.011073537477594694,0.0008569773933215091
high_mm30,0.0070633763,0.004866483103047737,0.0030996895868678482,0.514161220043573,0.004866483103047737,10.0,91.0,50.5,0.23820754716981132,1d,target_binarytrend,2025,36,0,0,0.0021494853858969156,0.007583480820198558
altcoin_index_index,0.0070557026,0.003359927141636887,0.004025726537117153,0.514161220043573,0.003359927141636887,11.0,111.0,61.0,0.28773584905660377,1d,target_binarytrend,2025,36,0,0,-0.0001687777511240763,0.0068886320343978505
distance_to_pivot,0.0069539947,0.008742154307108164,0.009038864747130572,0.514161220043573,0.008742154307108164,12.0,53.0,32.5,0.15330188679245282,1d,target_binarytrend,2025,36,0,0,0.0008192400296160845,0.01666506858460024
ret_skew_30d,0.0069234157,0.005680312610430604,0.0035566625321289767,0.514161220043573,0.005680312610430604,13.0,83.0,48.0,0.22641509433962265,1d,target_binarytrend,2025,36,0,0,0.002562760446042771,0.008797864774818438
trend_flag_diff1,0.006867187,0.0,0.0,0.514161220043573,0.0,14.0,169.0,91.5,0.43160377358490565,1d,target_binarytrend,2025,36,0,0,0.0,0.0
vwap_zn30,0.006853322,0.012012580732272094,0.004040805544167078,0.514161220043573,0.012012580732272094,15.0,23.0,19.0,0.08962264150943396,1d,target_binarytrend,2025,36,0,0,0.008470658507070773,0.015554502957473414
ichimoku_base_zn30,0.006776845,0.0004971055419596748,0.0030226074570911137,0.514161220043573,0.0004971055419596748,16.0,150.0,83.0,0.3915094339622642,1d,target_binarytrend,2025,36,0,0,-0.0021523267094349006,0.0031465377933542504
low_mm30,0.0067626,0.0025378762101635477,0.00253404996070826,0.514161220043573,0.0025378762101635477,17.0,122.0,69.5,0.3278301886792453,1d,target_binarytrend,2025,36,0,0,0.0003166834857180065,0.004759068934609089
ret_kurt_30d_zn30,0.0066826837,0.0074535316370795135,0.004232215559871794,0.514161220043573,0.0074535316370795135,18.0,65.0,41.5,0.1957547169811321,1d,target_binarytrend,2025,36,0,0,0.003743831135655694,0.011163232138503332
trend_flag_zn30,0.0066819745,0.009772356958406813,0.0031859186431658962,0.514161220043573,0.009772356958406813,19.0,42.0,30.5,0.14386792452830188,1d,target_binarytrend,2025,36,0,0,0.0069797761409009,0.012564937775912726
