feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
target_breakout_prob,0.3515932,0.09097988700472492,0.0037756734587175264,-0.9958891611301155,0.09097988700472492,1.0,1.0,1.0,0.0047169811320754715,4h,target_logsharpe_ratio,2025,36,0,0,0.08767036329902754,0.09428941071042231
target_vol_jump_prob,0.031633817,0.012669833312115353,0.0012427605546708033,-0.9958891611301155,0.012669833312115353,2.0,6.0,4.0,0.018867924528301886,4h,target_logsharpe_ratio,2025,36,0,0,0.011580505656755643,0.013759160967475063
high_mm30,0.02117529,0.0031983329243852497,0.000646664331915931,-0.9958891611301155,0.0031983329243852497,3.0,13.0,8.0,0.03773584905660377,4h,target_logsharpe_ratio,2025,36,0,0,0.0026315066457081545,0.003765159203062345
ma5_mm30,0.018666526,0.005743897816149035,0.0012183825266856047,-0.9958891611301155,0.005743897816149035,4.0,9.0,6.5,0.030660377358490566,4h,target_logsharpe_ratio,2025,36,0,0,0.004675938444460385,0.006811857187837685
ichimoku_conv_mm30,0.018300178,-0.001377650807483799,0.0003540258870593392,-0.9958891611301155,-0.001377650807483799,5.0,193.0,99.0,0.4669811320754717,4h,target_logsharpe_ratio,2025,36,0,0,-0.0016879681795934625,-0.0010673334353741356
taker_imbalance_z,0.016653422,0.034772408578861394,0.001698802941666222,-0.9958891611301155,0.034772408578861394,6.0,2.0,4.0,0.018867924528301886,4h,target_logsharpe_ratio,2025,36,0,0,0.03328334214654802,0.03626147501117477
breakout_recent_high,0.014701235,0.001582368764712272,0.0003137622887638408,-0.9958891611301155,0.001582368764712272,7.0,30.0,18.5,0.08726415094339622,4h,target_logsharpe_ratio,2025,36,0,0,0.0013073439925831403,0.0018573935368414037
hour_sin_mm30,0.014693189,0.020476250387523053,0.004912233075688446,-0.9958891611301155,0.020476250387523053,8.0,4.0,6.0,0.02830188679245283,4h,target_logsharpe_ratio,2025,36,0,0,0.016170488252726656,0.02478201252231945
return_skewness,0.0092145465,0.014552491466364791,0.001298841127146568,-0.9958891611301155,0.014552491466364791,9.0,5.0,7.0,0.0330188679245283,4h,target_logsharpe_ratio,2025,36,0,0,0.0134140070218741,0.015690975910855484
taker_buy_volume_usd_z,0.008818051,0.020596332468385194,0.0010438026621951368,-0.9958891611301155,0.020596332468385194,10.0,3.0,6.5,0.030660377358490566,4h,target_logsharpe_ratio,2025,36,0,0,0.019681399094941873,0.021511265841828515
