feature,score_global,avg_rank_pct,std_rank_pct,pair_coverage,appear_rate,appear_rate_era,rank,keep
high_mm30,0.8519747235387047,0.1520440251572327,0.16662952636748204,15,0.8,1.0,1,True
taker_imbalance_z,0.7714060031595575,0.23223270440251573,0.20451345562167594,15,0.6666666666666666,1.0,2,True
taker_buy_sell_imbalance,0.7605845181674565,0.24300314465408804,0.2399353166636971,15,0.7333333333333333,1.0,3,True
return_skewness,0.7567930489731437,0.24677672955974841,0.22577035875141435,15,0.6666666666666666,1.0,4,True
low_mm30,0.7390205371248025,0.26446540880503144,0.2218179170091866,15,0.6,1.0,5,True
target_breakout_prob,0.7308846761453396,0.272562893081761,0.362494121445471,15,0.6666666666666666,1.0,6,True
distance_to_resistance,0.728909952606635,0.27452830188679245,0.20947516350030773,15,0.6666666666666666,1.0,7,True
cvar_95_30d,0.7267772511848342,0.27665094339622637,0.22391904203858817,15,0.6666666666666666,1.0,8,True
r_sym,0.7063191153238547,0.29701257861635216,0.22078485599161252,15,0.6666666666666666,1.0,9,True
keltner_upper_20_mm30,0.6962875197472354,0.306996855345912,0.22834841258305336,15,0.6666666666666666,1.0,10,True
ewmavolatility,0.6764612954186414,0.32672955974842766,0.2937959153134846,15,0.5333333333333333,1.0,11,True
distance_to_resistance_mm30,0.6763033175355451,0.3268867924528302,0.22042164208637938,15,0.6666666666666666,1.0,12,True
tail_bias_norm,0.672827804107425,0.33034591194968554,0.19438489537133796,15,0.6,1.0,13,True
atr_ratio_price,0.6710110584518167,0.3321540880503145,0.29701255929372095,15,0.6,1.0,14,True
dow_cos_zn30,0.6601895734597155,0.3429245283018868,0.10634450139839767,15,0.7333333333333333,1.0,15,True
taker_buy_volume_usd_z,0.6570300157977883,0.3460691823899371,0.21525016128072247,15,0.5333333333333333,1.0,16,True
logreturn_pct_rank,0.6548183254344393,0.34827044025157233,0.1711111589500184,15,0.6666666666666666,1.0,17,True
donchian_high_20_zn30,0.6542654028436019,0.34882075471698115,0.24351841348416237,15,0.5333333333333333,1.0,18,True
ppo_zn30,0.653001579778831,0.3500786163522013,0.15694463447025844,15,0.6,1.0,19,True
trendline_slope_20_zn30,0.6525276461295418,0.3505503144654088,0.23628769296161758,15,0.6666666666666666,1.0,20,True
rolling_volatility,0.6515797788309636,0.3514937106918239,0.25965228602544144,15,0.5333333333333333,1.0,21,True
distance_to_resistance_zn30,0.6513428120063192,0.3517295597484277,0.15126383888158684,15,0.6,1.0,22,True
altcoin_index_index,0.6486571879936809,0.3544025157232705,0.20227794709791655,15,0.6666666666666666,1.0,23,True
distance_to_support,0.6451026856240125,0.357940251572327,0.21698702211818893,15,0.6666666666666666,1.0,24,True
resistance_level_20_mm30,0.6411532385466036,0.36187106918239,0.2664426613312525,15,0.5333333333333333,1.0,25,True
cvar_95_30d_zn30,0.6308846761453396,0.3720911949685535,0.21040330003555782,15,0.5333333333333333,1.0,26,True
ichimoku_base_mm30,0.6248815165876778,0.37806603773584907,0.20192306004062152,15,0.6,1.0,27,True
boll_bandwidth,0.615481832543444,0.3874213836477987,0.23899596425144543,15,0.5333333333333333,1.0,28,True
funding_rate,0.613428120063191,0.38946540880503144,0.18527047688221532,15,0.6,1.0,29,True
plus_di,0.6121642969984202,0.39072327044025157,0.2946491018208229,15,0.5333333333333333,1.0,30,True
obv_zn30,0.5914691943127963,0.41132075471698115,0.13884737777212133,15,0.6,1.0,31,True
price_above_ma20,0.5856240126382306,0.41713836477987426,0.2578788490928889,15,0.5333333333333333,1.0,32,True
ret_skew_30d_zn30,0.5796208530805688,0.4231132075471698,0.16922959282654082,15,0.5333333333333333,1.0,33,True
momentum,0.5566350710900474,0.44599056603773585,0.2795284684741146,15,0.5333333333333333,1.0,34,True
price_volume_corr_20_mm30,0.5434439178515008,0.4591194968553459,0.2302376021391309,15,0.5333333333333333,1.0,35,True
atr_zn30,0.5423380726698264,0.4602201257861635,0.20938232913789212,15,0.6,1.0,36,True
