feature,reason,value
target_fundflow_strength,variance,0.0
altcoin_marketcap_index,variance,0.0
rich_available,variance,0.0
rich_quality,variance,3.081499206216712e-33
open,corr_cluster,donchian_high_20
high,corr_cluster,donchian_high_20
low,corr_cluster,donchian_high_20
close,corr_cluster,donchian_high_20
ma5,corr_cluster,donchian_high_20
ma20,corr_cluster,donchian_high_20
boll_upper,corr_cluster,donchian_high_20
boll_lower,corr_cluster,donchian_high_20
atr,corr_cluster,donchian_high_20
vwap,corr_cluster,donchian_high_20
donchian_low_20,corr_cluster,donchian_high_20
keltner_upper_20,corr_cluster,donchian_high_20
keltner_lower_20,corr_cluster,donchian_high_20
ichimoku_conv,corr_cluster,donchian_high_20
ichimoku_base,corr_cluster,donchian_high_20
ichimoku_span_a,corr_cluster,donchian_high_20
ichimoku_span_b,corr_cluster,donchian_high_20
psar,corr_cluster,donchian_high_20
supertrend_10_3,corr_cluster,donchian_high_20
ma200,corr_cluster,donchian_high_20
log_close,corr_cluster,donchian_high_20
pivot_point,corr_cluster,donchian_high_20
volume_profile_hvn,corr_cluster,donchian_high_20
volume_profile_lvn,corr_cluster,donchian_high_20
support_level_20,corr_cluster,donchian_high_20
resistance_level_20,corr_cluster,donchian_high_20
amplitude_range,corr_cluster,donchian_high_20
vol_ma,corr_cluster,volume
boll_pctb,corr_cluster,cci
adx_scaled,corr_cluster,adx
range_flag_mm30,corr_cluster,range_flag
high_vol_flag_mm30,corr_cluster,high_vol_flag
stress_flag_mm30,corr_cluster,stress_flag
squeeze_on_mm30,corr_cluster,squeeze_on
stoch_rsi,corr_cluster,stoch_rsi_mm30
psar_flip_flag_mm30,corr_cluster,psar_flip_flag
hour_sin,corr_cluster,hour_sin_zn30
pullback_from_high,corr_cluster,distance_to_resistance
range_to_atr,corr_cluster,atr_ratio_range
open_zn30,corr_cluster,pivot_point_zn30
donchian_low_20_zn30,corr_cluster,support_level_20_zn30
resistance_level_20_zn30,corr_cluster,donchian_high_20_zn30
atr_mm30,corr_cluster,atr_zn30
trendline_slope_20_mm30,corr_cluster,trendline_slope_20_zn30
ma_diff_5_20_mm30,corr_cluster,ma_diff_5_20_zn30
tsi_zn30,corr_cluster,ppo_zn30
psar_mm30,corr_cluster,psar_zn30
mfi_mm30,corr_cluster,mfi_zn30
open_mm30,corr_cluster,pivot_point_mm30
donchian_low_20_mm30,corr_cluster,support_level_20_mm30
donchian_high_20_mm30,corr_cluster,resistance_level_20_mm30
ppo_mm30,corr_cluster,tsi_mm30
parkinson_volatility,corr_cluster,rolling_volatility
funding_rate_oi_close,corr_cluster,funding_rate
funding_rate_vol_close,corr_cluster,funding_rate
oi_vol,corr_cluster,oi_mean_oc
long_short_ratio_ls_acc_global,corr_cluster,short_percent_ls_acc_global
long_percent_ls_acc_global,corr_cluster,short_percent_ls_acc_global
long_short_ratio_ls_acc_top,corr_cluster,long_percent_ls_acc_top
short_percent_ls_acc_top,corr_cluster,long_percent_ls_acc_top
long_short_ratio_ls_pos_top,corr_cluster,long_percent_ls_pos_top
short_percent_ls_pos_top,corr_cluster,long_percent_ls_pos_top
basis_raw,corr_cluster,close_basis_futures_basis
basis_z,corr_cluster,close_basis_futures_basis
taker_buy_volume_usd,corr_cluster,taker_sell_volume_usd
taker_imbalance,corr_cluster,taker_buy_sell_imbalance
taker_sell_volume_usd_z,corr_cluster,taker_buy_volume_usd_z
hour_sin_zn30,vif,286.0788248933219
close_zn30,vif,136.94539158491384
hour_cos_zn30,vif,133.7204982253282
pivot_point_zn30,vif,122.68675837426835
ma5_zn30,vif,64.69352603854875
high_zn30,vif,54.12377057365239
pivot_point_mm30,vif,52.606658266753406
low_zn30,vif,45.792359840666094
kdj_k,vif,44.24111529374704
close_mm30,vif,41.1716235792624
stress_flag,vif,41.14512899464841
volume_zn30,vif,40.78710255871554
psar_flip_flag,vif,39.70708074271365
ma20_mm30,vif,37.148782646553805
williams_r,vif,35.6113362762973
cci,vif,31.629551067991308
keltner_lower_20_zn30,vif,31.12997614514983
keltner_upper_20_zn30,vif,30.24844083547892
ma_diff_5_20,vif,29.74337841907941
tsi,vif,28.826899387896844
