feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
low_mm30,0.16019326,0.00033491114226515963,0.0012309549633567572,0.9179926560587516,0.00033491114226515963,1.0,75.0,38.0,0.1792452830188679,1d,target_drawdown_prob,2025,36,0,0,-0.0007440684560549772,0.0014138907405852963
high_mm30,0.09351038,-0.004154749743116404,0.0012045673001536473,0.9179926560587516,-0.004154749743116404,2.0,209.0,105.5,0.49764150943396224,1d,target_drawdown_prob,2025,36,0,0,-0.005210599534830248,-0.00309889995140256
obv_mm30,0.03271273,-0.0035759713922287606,0.0,0.9179926560587516,-0.0035759713922287606,3.0,205.0,104.0,0.49056603773584906,1d,target_drawdown_prob,2025,36,0,0,-0.0035759713922287606,-0.0035759713922287606
obv_diff1,0.017880008,0.00024768490689865976,0.0014469434425518472,0.9179926560587516,0.00024768490689865976,4.0,81.0,42.5,0.20047169811320756,1d,target_drawdown_prob,2025,36,0,0,-0.0010206169407815891,0.0015159867545789085
hammer_cnt_20,0.014975263,-0.0013227473642313248,0.0,0.9179926560587516,-0.0013227473642313248,5.0,192.5,98.75,0.4658018867924528,1d,target_drawdown_prob,2025,36,0,0,-0.0013227473642313248,-0.0013227473642313248
kdj_j,0.013856066,-0.004224877813040773,0.0024105708493718323,0.9179926560587516,-0.004224877813040773,6.0,210.0,108.0,0.5094339622641509,1d,target_drawdown_prob,2025,36,0,0,-0.006337836324280503,-0.0021119193018010424
macd_bullish_cross,0.013589412,0.0,0.0,0.9179926560587516,0.0,7.0,121.5,64.25,0.30306603773584906,1d,target_drawdown_prob,2025,36,0,0,0.0,0.0
mfi_zn30,0.012393275,0.0011228879028959415,0.0008374482010269201,0.9179926560587516,0.0011228879028959415,8.0,40.0,24.0,0.11320754716981132,1d,target_drawdown_prob,2025,36,0,0,0.0003888321896845494,0.0018569436161073338
boll_upper_zn30,0.0096227,-0.0014014640438186677,9.640784961757314e-05,0.9179926560587516,-0.0014014640438186677,9.0,194.0,101.5,0.47877358490566035,1d,target_drawdown_prob,2025,36,0,0,-0.0014859692498999802,-0.0013169588377373552
distance_to_resistance_zn30,0.008213277,-0.0010581978913850598,0.0005290989456925299,0.9179926560587516,-0.0010581978913850598,10.0,184.0,97.0,0.45754716981132076,1d,target_drawdown_prob,2025,36,0,0,-0.0015219735654667106,-0.000594422217303409
beta_btc_60d,0.008122983,-0.002479401412584137,0.0008451172477951433,0.9179926560587516,-0.002479401412584137,11.0,200.0,105.5,0.49764150943396224,1d,target_drawdown_prob,2025,36,0,0,-0.003220179341674907,-0.001738623483493367
donchian_high_20_zn30,0.007871987,0.0,0.0,0.9179926560587516,0.0,12.0,121.5,66.75,0.31485849056603776,1d,target_drawdown_prob,2025,36,0,0,0.0,0.0
trendline_slope_20,0.007470739,0.00020124501580676135,0.0,0.9179926560587516,0.00020124501580676135,13.0,84.5,48.75,0.22995283018867924,1d,target_drawdown_prob,2025,36,0,0,0.00020124501580676135,0.00020124501580676135
ppo_zn30,0.007186152,0.0,0.0,0.9179926560587516,0.0,14.0,121.5,67.75,0.31957547169811323,1d,target_drawdown_prob,2025,36,0,0,0.0,0.0
r_sym,0.007093378,0.0014281871719932005,0.0014364877199039702,0.9179926560587516,0.0014281871719932005,15.0,24.0,19.5,0.09198113207547169,1d,target_drawdown_prob,2025,36,0,0,0.0001690501692980103,0.002687324174688391
engulfing_up_cnt_20_mm30,0.0069377944,0.0011222404108298667,0.0,0.9179926560587516,0.0011222404108298667,16.0,43.5,29.75,0.1403301886792453,1d,target_drawdown_prob,2025,36,0,0,0.0011222404108298667,0.0011222404108298667
rsi,0.006778191,-0.0037759149990644002,0.0009821712220166709,0.9179926560587516,-0.0037759149990644002,17.0,207.0,112.0,0.5283018867924528,1d,target_drawdown_prob,2025,36,0,0,-0.004636826033309939,-0.0029150039648188613
dow_cos_mm30,0.0067435303,0.00022444808216597333,0.00044889616433194666,0.9179926560587516,0.00022444808216597333,18.0,82.5,50.25,0.23702830188679244,1d,target_drawdown_prob,2025,36,0,0,-0.00016902675444180516,0.0006179229187737519
psar_flip_flag_zn30,0.0065219793,0.0,0.0,0.9179926560587516,0.0,19.0,121.5,70.25,0.3313679245283019,1d,target_drawdown_prob,2025,36,0,0,0.0,0.0
trend_flag_zn30,0.006489627,-0.0011249910000719066,0.0,0.9179926560587516,-0.0011249910000719066,20.0,187.0,103.5,0.4882075471698113,1d,target_drawdown_prob,2025,36,0,0,-0.0011249910000719066,-0.0011249910000719066
oi_mean_oc,0.0064774714,0.0,0.0,0.9179926560587516,0.0,21.0,121.5,71.25,0.33608490566037735,1d,target_drawdown_prob,2025,36,0,0,0.0,0.0
tsi_mm30,0.0064236536,0.000530395756833979,0.0006495994829902761,0.9179926560587516,0.000530395756833979,22.0,69.5,45.75,0.21580188679245282,1d,target_drawdown_prob,2025,36,0,0,-3.900329519509148e-05,0.0010997948088630493
distance_to_resistance,0.006369327,0.0008978917179651935,0.0011855011566498932,0.9179926560587516,0.0008978917179651935,23.0,54.0,38.5,0.18160377358490565,1d,target_drawdown_prob,2025,36,0,0,-0.00014124586211493133,0.0019370292980453183
obv_diff1_zn30,0.006237652,-0.00022499820001438132,0.0004499964000287626,0.9179926560587516,-0.00022499820001438132,24.0,161.0,92.5,0.4363207547169811,1d,target_drawdown_prob,2025,36,0,0,-0.0006194374357314258,0.0001694410357026632
cci_zn30,0.006061674,-0.0009522784270248996,0.0006305339030913896,0.9179926560587516,-0.0009522784270248996,25.0,180.0,102.5,0.4834905660377358,1d,target_drawdown_prob,2025,36,0,0,-0.0015049657614416994,-0.0003995910926080997
price_position_ma200,0.00598843,0.00067334424649792,0.0005497832750529076,0.9179926560587516,0.00067334424649792,26.0,63.0,44.5,0.2099056603773585,1d,target_drawdown_prob,2025,36,0,0,0.00019143795834089989,0.0011552505346549401
amplitude_range_zn30,0.0059491545,-0.0005039748070899241,0.0005136145948890924,0.9179926560587516,-0.0005039748070899241,27.0,169.0,98.0,0.46226415094339623,1d,target_drawdown_prob,2025,36,0,0,-0.0009541778492658706,-5.377176491397763e-05
ret_skew_30d,0.0058839293,-0.0006492562261924739,0.0005499032114938449,0.9179926560587516,-0.0006492562261924739,28.0,173.0,100.5,0.4740566037735849,1d,target_drawdown_prob,2025,36,0,0,-0.0011312676432751808,-0.00016724480910976702
