feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
cvar_95_30d,0.026979746,4.102238034947997e-05,1.1465252682056225e-05,-0.034705867363483064,4.102238034947997e-05,1.0,48.0,24.5,0.11556603773584906,1d,target_logreturn,2025,36,0,0,3.097264327397448e-05,5.1072117424985454e-05
atr_ratio_price,0.020392368,0.0001334339387621189,0.00022574937966989722,-0.034705867363483064,0.0001334339387621189,2.0,16.0,9.0,0.04245283018867924,1d,target_logreturn,2025,36,0,0,-6.444411709543839e-05,0.00033131199461967616
ewmavolatility,0.019470468,0.00024770318480501347,0.00027582873157196196,-0.034705867363483064,0.00024770318480501347,3.0,5.0,4.0,0.018867924528301886,1d,target_logreturn,2025,36,0,0,5.928641579573365e-06,0.0004894777280304535
_orig_idx,0.018389432,0.0,0.0,-0.034705867363483064,0.0,4.0,96.0,50.0,0.2358490566037736,1d,target_logreturn,2025,36,0,0,0.0,0.0
support_level_20_mm30,0.018387657,-7.720756775640436e-05,1.0140180219963401e-05,-0.034705867363483064,-7.720756775640436e-05,5.0,168.0,86.5,0.4080188679245283,1d,target_logreturn,2025,36,0,0,-8.609582760857163e-05,-6.831930790423708e-05
var_95_30d_mm30,0.017836487,2.5954477458565993e-05,4.0200840375386624e-05,-0.034705867363483064,2.5954477458565993e-05,6.0,63.0,34.5,0.16273584905660377,1d,target_logreturn,2025,36,0,0,-9.283112779571203e-06,6.119206769670319e-05
obv_diff1_zn30,0.01463109,0.00017975903647921566,0.0001675563811993508,-0.034705867363483064,0.00017975903647921566,7.0,12.0,9.5,0.04481132075471698,1d,target_logreturn,2025,36,0,0,3.2889392776374145e-05,0.0003266286801820572
price_volume_corr_20_mm30,0.014420832,8.567428856483817e-05,2.101952386614245e-05,-0.034705867363483064,8.567428856483817e-05,8.0,27.0,17.5,0.08254716981132075,1d,target_logreturn,2025,36,0,0,6.724986355084367e-05,0.00010409871357883267
keltner_upper_20_mm30,0.013364621,-2.1443487039364552e-05,4.777909696242362e-07,-0.034705867363483064,-2.1443487039364552e-05,9.0,129.0,69.0,0.32547169811320753,1d,target_logreturn,2025,36,0,0,-2.186228928951376e-05,-2.1024684789215344e-05
return_skewness,0.012658911,0.003306386189762531,0.0004427614995110579,-0.034705867363483064,0.003306386189762531,10.0,1.0,5.5,0.025943396226415096,1d,target_logreturn,2025,36,0,0,0.0029182886239577563,0.0036944837555673055
ichimoku_span_a_zn30,0.012179672,-0.00026700005197004273,0.00023065537303935794,-0.034705867363483064,-0.00026700005197004273,11.0,207.0,109.0,0.5141509433962265,1d,target_logreturn,2025,36,0,0,-0.00046917840061874076,-6.48217033213447e-05
atr_ratio_range,0.011430071,-6.578839402480996e-05,7.710758652095652e-05,-0.034705867363483064,-6.578839402480996e-05,12.0,161.0,86.5,0.4080188679245283,1d,target_logreturn,2025,36,0,0,-0.00013337617360119764,1.799385551577712e-06
boll_upper_zn30,0.011190033,0.0006917558509094785,0.00048162475446869997,-0.034705867363483064,0.0006917558509094785,13.0,2.0,7.5,0.03537735849056604,1d,target_logreturn,2025,36,0,0,0.00026959314017912427,0.0011139185616398327
williams_r_zn30,0.011125719,-9.330125357185636e-05,2.8241726375309398e-05,-0.034705867363483064,-9.330125357185636e-05,14.0,177.0,95.5,0.45047169811320753,1d,target_logreturn,2025,36,0,0,-0.00011805621820289546,-6.854628894081727e-05
ichimoku_base_mm30,0.010910523,-4.653905649012469e-05,8.992039818439422e-06,-0.034705867363483064,-4.653905649012469e-05,15.0,151.0,83.0,0.3915094339622642,1d,target_logreturn,2025,36,0,0,-5.442092690796753e-05,-3.865718607228184e-05
ichimoku_conv_mm30,0.010127822,-7.222748819136065e-05,1.1512510662436588e-05,-0.034705867363483064,-7.222748819136065e-05,16.0,166.0,91.0,0.42924528301886794,1d,target_logreturn,2025,36,0,0,-8.23186487130572e-05,-6.213632766966411e-05
premium_rate_premium_index,0.009810218,-0.00011586528219085651,0.0002475760514239875,-0.034705867363483064,-0.00011586528219085651,17.0,191.0,104.0,0.49056603773584906,1d,target_logreturn,2025,36,0,0,-0.0003328752593801842,0.0001011446949984712
