feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
volume_spike_near_resist,0.029342158,-7.741032207535526e-05,3.060779291282378e-05,-1.0974641309307653,-7.741032207535526e-05,1.0,128.0,64.5,0.30424528301886794,1d,target_logsharpe_ratio,2025,36,0,0,-0.00010423923546832488,-5.058140868238563e-05
return_skewness,0.020543149,0.20780310352202047,0.005684224052621472,-1.0974641309307653,0.20780310352202047,2.0,1.0,1.5,0.007075471698113208,1d,target_logsharpe_ratio,2025,36,0,0,0.2028206614606681,0.21278554558337284
ewmavolatility,0.018879518,-0.007258791220023442,0.004697103664610828,-1.0974641309307653,-0.007258791220023442,3.0,204.0,103.5,0.4882075471698113,1d,target_logsharpe_ratio,2025,36,0,0,-0.01137598411186525,-0.0031415983281816336
cvar_95_30d,0.015662646,0.01116114662477452,0.002572288214392518,-1.0974641309307653,0.01116114662477452,4.0,5.0,4.5,0.02122641509433962,1d,target_logsharpe_ratio,2025,36,0,0,0.008906436593174057,0.013415856656374984
atr_ratio_price,0.015263884,0.01006868462182311,0.0023532328368683062,-1.0974641309307653,0.01006868462182311,5.0,7.0,6.0,0.02830188679245283,1d,target_logsharpe_ratio,2025,36,0,0,0.008005985094495205,0.012131384149151015
ichimoku_base_mm30,0.01492135,-0.00021729090146735964,0.0005351654406118465,-1.0974641309307653,-0.00021729090146735964,6.0,133.0,69.5,0.3278301886792453,1d,target_logsharpe_ratio,2025,36,0,0,-0.000686384092798712,0.0002518022898639927
cvar_95_30d_zn30,0.014372858,0.00753282192454634,0.004184951283399645,-1.0974641309307653,0.00753282192454634,7.0,10.0,8.5,0.04009433962264151,1d,target_logsharpe_ratio,2025,36,0,0,0.0038645503880813557,0.011201093461011325
price_above_ma20,0.013508209,5.521582022716132e-06,1.595851219320644e-06,-1.0974641309307653,5.521582022716132e-06,8.0,95.0,51.5,0.2429245283018868,1d,target_logsharpe_ratio,2025,36,0,0,4.122756753832393e-06,6.9204072915998706e-06
var_95_30d_mm30,0.011591573,-0.0017019937672381857,0.0017825664163339083,-1.0974641309307653,-0.0017019937672381857,9.0,172.0,90.5,0.4268867924528302,1d,target_logsharpe_ratio,2025,36,0,0,-0.0032644821223198634,-0.0001395054121565082
distance_to_resistance_mm30,0.01140668,0.0009981069967197609,0.0024246870632112934,-1.0974641309307653,0.0009981069967197609,10.0,58.0,34.0,0.16037735849056603,1d,target_logsharpe_ratio,2025,36,0,0,-0.0011272249215021134,0.003123438914941635
altcoin_index_index,0.011154532,0.006684229736653035,0.0021045993836456742,-1.0974641309307653,0.006684229736653035,11.0,12.0,11.5,0.054245283018867926,1d,target_logsharpe_ratio,2025,36,0,0,0.0048394670400565675,0.008528992433249503
logreturn_pct_rank,0.010971068,-0.005029876872197647,0.0010951440287884733,-1.0974641309307653,-0.005029876872197647,12.0,197.0,104.5,0.49292452830188677,1d,target_logsharpe_ratio,2025,36,0,0,-0.00598981293765906,-0.004069940806736234
obv_diff1_zn30,0.010950696,0.00019948020724727122,0.0015708753188192384,-1.0974641309307653,0.00019948020724727122,13.0,78.0,45.5,0.21462264150943397,1d,target_logsharpe_ratio,2025,36,0,0,-0.0011774527195988656,0.0015764131340934079
boll_lower_mm30,0.010889169,0.006565105731809506,0.00020018285419915548,-1.0974641309307653,0.006565105731809506,14.0,13.0,13.5,0.06367924528301887,1d,target_logsharpe_ratio,2025,36,0,0,0.0063896377236011635,0.006740573740017849
support_level_20_mm30,0.009926601,-0.0009934096469117915,0.00026744807093828285,-1.0974641309307653,-0.0009934096469117915,15.0,158.0,86.5,0.4080188679245283,1d,target_logsharpe_ratio,2025,36,0,0,-0.0012278382172029125,-0.0007589810766206705
distance_to_pivot_zn30,0.009705049,0.0034029657750081375,0.0018265946105110494,-1.0974641309307653,0.0034029657750081375,16.0,30.0,23.0,0.10849056603773585,1d,target_logsharpe_ratio,2025,36,0,0,0.0018018850061646539,0.0050040465438516216
premium_rate_premium_index,0.009350486,-0.009481981126114957,0.0020767170695333396,-1.0974641309307653,-0.009481981126114957,17.0,208.0,112.5,0.5306603773584906,1d,target_logsharpe_ratio,2025,36,0,0,-0.011302303896819153,-0.007661658355410762
