feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
distance_to_resistance,0.34304667,0.01924905807825771,0.0021566669420128837,-0.03646232094545373,0.01924905807825771,1.0,1.0,1.0,0.0047169811320754715,1d,target_max_drawdown,2025,36,0,0,0.017358656154488086,0.021139460002027332
high_mm30,0.120868936,0.004170993832973699,0.0005628041043305826,-0.03646232094545373,0.004170993832973699,2.0,3.0,2.5,0.01179245283018868,1d,target_max_drawdown,2025,36,0,0,0.003677674284736465,0.004664313381210933
ppo,0.1128008,0.00014475410962639656,5.4149078174188646e-05,-0.03646232094545373,0.00014475410962639656,3.0,36.0,19.5,0.09198113207547169,1d,target_max_drawdown,2025,36,0,0,9.729034989755365e-05,0.00019221786935523947
low_mm30,0.08936556,0.005534020045214014,0.00029748396281757043,-0.03646232094545373,0.005534020045214014,4.0,2.0,3.0,0.014150943396226415,1d,target_max_drawdown,2025,36,0,0,0.00527326385488818,0.005794776235539848
var_95_30d,0.041115165,0.000590430282024719,0.0001328824430250195,-0.03646232094545373,0.000590430282024719,5.0,7.0,6.0,0.02830188679245283,1d,target_max_drawdown,2025,36,0,0,0.00047395368518160595,0.000706906878867832
donchian_high_20_zn30,0.031586234,0.0038603115029029384,0.00013583922026297776,-0.03646232094545373,0.0038603115029029384,6.0,4.0,5.0,0.02358490566037736,1d,target_max_drawdown,2025,36,0,0,0.003741243176539653,0.003979379829266224
rolling_volatility,0.024511192,-0.00048526018095998853,0.00011259631212204506,-0.03646232094545373,-0.00048526018095998853,7.0,212.0,109.5,0.5165094339622641,1d,target_max_drawdown,2025,36,0,0,-0.0005839552000648936,-0.00038656516185508344
resistance_level_20_mm30,0.015282832,9.429024726303887e-05,1.0259177610285004e-05,-0.03646232094545373,9.429024726303887e-05,8.0,45.0,26.5,0.125,1d,target_max_drawdown,2025,36,0,0,8.529768159934116e-05,0.00010328281292673658
ret_skew_30d,0.009973922,0.00016115720166556824,1.7909294216762763e-05,-0.03646232094545373,0.00016115720166556824,9.0,33.0,21.0,0.09905660377358491,1d,target_max_drawdown,2025,36,0,0,0.0001454590131408599,0.0001768553901902766
return_skewness,0.007917123,0.00019805975174345264,4.502750552665267e-05,-0.03646232094545373,0.00019805975174345264,10.0,27.0,18.5,0.08726415094339622,1d,target_max_drawdown,2025,36,0,0,0.00015859140296323426,0.00023752810052367102
