feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
target_breakout_prob,0.53628874,0.000286527866170171,2.7674297920930235e-05,-0.0064434169276601765,0.000286527866170171,1.0,5.0,3.0,0.014150943396226415,1h,target_logreturn,2025,36,0,0,0.0002622702745089048,0.00031078545783143715
target_vol_jump_prob,0.017341372,1.3408144657355014e-06,5.807883821654694e-07,-0.0064434169276601765,1.3408144657355014e-06,2.0,123.0,62.5,0.294811320754717,1h,target_logreturn,2025,36,0,0,8.317310029343679e-07,1.8498979285366347e-06
high_mm30,0.015694128,6.725433280805309e-05,2.5793930533773796e-05,-0.0064434169276601765,6.725433280805309e-05,3.0,10.0,6.5,0.030660377358490566,1h,target_logreturn,2025,36,0,0,4.464495583252624e-05,8.986370978357995e-05
rsi_oversold,0.010047371,0.0,0.0,-0.0064434169276601765,0.0,4.0,154.0,79.0,0.37264150943396224,1h,target_logreturn,2025,36,0,0,0.0,0.0
ewmavolatility,0.009544411,0.002310036286089396,9.816287808808274e-05,-0.0064434169276601765,0.002310036286089396,5.0,1.0,3.0,0.014150943396226415,1h,target_logreturn,2025,36,0,0,0.0022239927297267805,0.002396079842452011
low_mm30,0.00893828,4.365969945559732e-05,7.150879654572224e-06,-0.0064434169276601765,4.365969945559732e-05,6.0,14.0,10.0,0.04716981132075472,1h,target_logreturn,2025,36,0,0,3.7391677077032185e-05,4.9927721834162455e-05
breakout_recent_high,0.007976554,-4.472140386449497e-06,1.2157308535986544e-06,-0.0064434169276601765,-4.472140386449497e-06,7.0,203.0,105.0,0.49528301886792453,1h,target_logreturn,2025,36,0,0,-5.537775464197748e-06,-3.4065053087012464e-06
cvar_95_30d,0.007541985,0.00039174849682298686,9.58271608320026e-06,-0.0064434169276601765,0.00039174849682298686,8.0,3.0,5.5,0.025943396226415096,1h,target_logreturn,2025,36,0,0,0.0003833488758311093,0.00040014811781486444
return_skewness,0.0070042126,0.0006506854956449207,7.89071153904288e-06,-0.0064434169276601765,0.0006506854956449207,9.0,2.0,5.5,0.025943396226415096,1h,target_logreturn,2025,36,0,0,0.0006437689820272012,0.0006576020092626403
high_vol_flag_zn30,0.0059030955,3.573876921743324e-07,2.8251951763160284e-07,-0.0064434169276601765,3.573876921743324e-07,10.0,143.0,76.5,0.3608490566037736,1h,target_logreturn,2025,36,0,0,1.097484163876044e-07,6.050269679610603e-07
