feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
target_breakout_prob,0.66990215,0.0554397168548816,0.0015710844773208967,-1.025496975420591,0.0554397168548816,1.0,4.0,2.5,0.01179245283018868,1h,target_logsharpe_ratio,2025,36,0,0,0.05406260059252538,0.05681683311723783
high_mm30,0.01168999,0.032292001615097335,0.002727147526176844,-1.025496975420591,0.032292001615097335,2.0,8.0,5.0,0.02358490566037736,1h,target_logsharpe_ratio,2025,36,0,0,0.029901551411842225,0.034682451818352444
rsi_overbought,0.011653667,0.0,0.0,-1.025496975420591,0.0,3.0,155.5,79.25,0.3738207547169811,1h,target_logsharpe_ratio,2025,36,0,0,0.0,0.0
low_mm30,0.01135683,0.009358586631130494,0.0015125071678029748,-1.025496975420591,0.009358586631130494,4.0,11.0,7.5,0.03537735849056604,1h,target_logsharpe_ratio,2025,36,0,0,0.008032815644414545,0.010684357617846443
target_vol_jump_prob,0.008761969,0.019724557243634734,0.001929255931857147,-1.025496975420591,0.019724557243634734,5.0,10.0,7.5,0.03537735849056604,1h,target_logsharpe_ratio,2025,36,0,0,0.01803348985906084,0.02141562462820863
return_skewness,0.0064015053,0.289086401041715,0.010835376079810602,-1.025496975420591,0.289086401041715,6.0,2.0,4.0,0.018867924528301886,1h,target_logsharpe_ratio,2025,36,0,0,0.2795887751510322,0.29858402693239783
volume_spike_near_resist,0.005714129,-3.269022646334996e-05,0.0005972994472789227,-1.025496975420591,-3.269022646334996e-05,7.0,161.0,84.0,0.39622641509433965,1h,target_logsharpe_ratio,2025,36,0,0,-0.0005562462759425293,0.0004908658230158294
ewmavolatility,0.0054909065,0.0466225592374502,0.00242788149536103,-1.025496975420591,0.0466225592374502,8.0,6.0,7.0,0.0330188679245283,1h,target_logsharpe_ratio,2025,36,0,0,0.04449442727599329,0.04875069119890711
taker_imbalance_z,0.0052495236,0.023735129107679186,0.0013390441625712526,-1.025496975420591,0.023735129107679186,9.0,9.0,9.0,0.04245283018867924,1h,target_logsharpe_ratio,2025,36,0,0,0.022561405148904815,0.024908853066453556
rolling_volatility,0.0029054612,-5.999038875414975e-05,0.00019672221145401492,-1.025496975420591,-5.999038875414975e-05,10.0,166.0,88.0,0.41509433962264153,1h,target_logsharpe_ratio,2025,36,0,0,-0.00023242500985229365,0.00011244423234399415
cvar_95_30d,0.0028253498,0.03557656664653099,0.0008502480898449499,-1.025496975420591,0.03557656664653099,11.0,7.0,9.0,0.04245283018867924,1h,target_logsharpe_ratio,2025,36,0,0,0.03483129133609099,0.036321841956970996
dow_sin_mm30,0.0027041256,0.0005733078267495361,0.00023301801578852073,-1.025496975420591,0.0005733078267495361,12.0,85.0,48.5,0.22877358490566038,1h,target_logsharpe_ratio,2025,36,0,0,0.0003690585304217175,0.0007775571230773547
