feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
target_breakout_prob,0.08995921,0.024024951544176186,0.002024059485493595,0.5788132508190753,0.024024951544176186,1.0,1.0,1.0,0.0047169811320754715,4h,target_binarytrend,2025,36,0,0,0.02225078518094995,0.02579911790740242
high_mm30,0.009815852,0.002960089353677664,0.0012901031988088072,0.5788132508190753,0.002960089353677664,2.0,41.0,21.5,0.10141509433962265,4h,target_binarytrend,2025,36,0,0,0.001829264041071308,0.00409091466628402
hour_sin_mm30,0.008803643,0.016212415811762672,0.0058629011293528065,0.5788132508190753,0.016212415811762672,3.0,3.0,3.0,0.014150943396226415,4h,target_binarytrend,2025,36,0,0,0.01107335638729015,0.021351475236235193
high_vol_flag_zn30,0.008639106,-0.0007322115656883232,0.0003546050218112968,0.5788132508190753,-0.0007322115656883232,4.0,165.0,84.5,0.39858490566037735,4h,target_binarytrend,2025,36,0,0,-0.0010430365717900025,-0.00042138655958664394
taker_buy_sell_imbalance,0.008517703,0.018790124634128325,0.005971127740876579,0.5788132508190753,0.018790124634128325,5.0,2.0,3.5,0.01650943396226415,4h,target_binarytrend,2025,36,0,0,0.013556200402001891,0.024024048866254758
kdj_j,0.008381721,-0.003705870991925364,0.004571865523501638,0.5788132508190753,-0.003705870991925364,6.0,206.0,106.0,0.5,4h,target_binarytrend,2025,36,0,0,-0.007713287812983995,0.00030154582913326754
taker_imbalance_z,0.007553532,0.010806221047769116,0.004187207233786469,0.5788132508190753,0.010806221047769116,7.0,4.0,5.5,0.025943396226415096,4h,target_binarytrend,2025,36,0,0,0.00713597208360396,0.014476470011934273
squeeze_on,0.0075210463,0.00012631710887580638,0.00021480811847456857,0.5788132508190753,0.00012631710887580638,8.0,120.0,64.0,0.3018867924528302,4h,target_binarytrend,2025,36,0,0,-6.19705086951554e-05,0.00031460472644676815
low_mm30,0.0075137177,-0.00241108703368631,0.00076989265274137,0.5788132508190753,-0.00241108703368631,9.0,190.0,99.5,0.4693396226415094,4h,target_binarytrend,2025,36,0,0,-0.0030859276979939886,-0.0017362463693786315
price_position_ma200_slope_24h,0.0070212884,-0.004858020249171746,0.00508228125353316,0.5788132508190753,-0.004858020249171746,10.0,211.0,110.5,0.5212264150943396,4h,target_binarytrend,2025,36,0,0,-0.009312836183731557,-0.0004032043146119345
tail_bias_norm,0.006556121,-0.003969734573011885,0.005184759200543213,0.5788132508190753,-0.003969734573011885,11.0,208.0,109.5,0.5165094339622641,4h,target_binarytrend,2025,36,0,0,-0.008514376388609664,0.0005749072425858936
volume_spike_near_resist,0.006503844,-0.0007321584995958252,0.00025347045603285693,0.5788132508190753,-0.0007321584995958252,12.0,164.0,88.0,0.41509433962264153,4h,target_binarytrend,2025,36,0,0,-0.0009543351502269424,-0.0005099818489647081
ma5_mm30,0.0062934947,-0.0016653948342919556,0.0017735333519766417,0.5788132508190753,-0.0016653948342919556,13.0,182.0,97.5,0.45990566037735847,4h,target_binarytrend,2025,36,0,0,-0.0032199653593620254,-0.00011082430922188555
altcoin_index_index,0.0060903775,-0.003831681121488728,0.0011837884429523086,0.5788132508190753,-0.003831681121488728,14.0,207.0,110.5,0.5212264150943396,4h,target_binarytrend,2025,36,0,0,-0.004869317441821366,-0.00279404480115609
trend_flag_diff1,0.005884873,-0.0007429069195189042,0.00019974718968717304,0.5788132508190753,-0.0007429069195189042,15.0,166.0,90.5,0.4268867924528302,4h,target_binarytrend,2025,36,0,0,-0.0009179930509452892,-0.0005678207880925191
price_above_ma20,0.005788375,0.0010354730412975854,0.0,0.5788132508190753,0.0010354730412975854,16.0,82.0,49.0,0.23113207547169812,4h,target_binarytrend,2025,36,0,0,0.0010354730412975854,0.0010354730412975854
trend_flag_slope_24h,0.005782587,0.0011970665475702802,0.001137829747959065,0.5788132508190753,0.0011970665475702802,17.0,78.0,47.5,0.2240566037735849,4h,target_binarytrend,2025,36,0,0,0.00019971479957317474,0.0021944182955673857
r_btc,0.0057228943,-0.0005293570914870038,0.005255518881859362,0.5788132508190753,-0.0005293570914870038,18.0,157.0,87.5,0.41273584905660377,4h,target_binarytrend,2025,36,0,0,-0.005136022502420522,0.004077308319446514
r_sym,0.0056889863,0.005003550094397613,0.0017642088814553269,0.5788132508190753,0.005003550094397613,19.0,18.0,18.5,0.08726415094339622,4h,target_binarytrend,2025,36,0,0,0.0034571528281039654,0.00654994736069126
ppo_diff1,0.005595925,-0.0011810519062801727,0.0017454691208174436,0.5788132508190753,-0.0011810519062801727,20.0,173.0,96.5,0.455188679245283,4h,target_binarytrend,2025,36,0,0,-0.0027110230481358147,0.00034891923557546934
supertrend_10_3_zn30,0.005477004,-0.0005921952869667235,0.0009205762498195452,0.5788132508190753,-0.0005921952869667235,21.0,161.0,91.0,0.42924528301886794,4h,target_binarytrend,2025,36,0,0,-0.0013991159476095093,0.00021472537367606245
dow_sin,0.0054192627,0.00016257194669073717,0.002042105755019383,0.5788132508190753,0.00016257194669073717,22.0,117.0,69.5,0.3278301886792453,4h,target_binarytrend,2025,36,0,0,-0.001627412669212277,0.0019525565625937511
support_level_20_mm30,0.00541484,0.0034868141021067167,0.0006675390265756248,0.5788132508190753,0.0034868141021067167,23.0,34.0,28.5,0.13443396226415094,4h,target_binarytrend,2025,36,0,0,0.0029016903468123195,0.004071937857401114
plus_di,0.005385887,0.0033405474084565955,0.003450656096565546,0.5788132508190753,0.0033405474084565955,24.0,35.0,29.5,0.1391509433962264,4h,target_binarytrend,2025,36,0,0,0.00031591398168989747,0.006365180835223293
doji_ratio_20,0.0053320928,-0.0004941631389825841,0.0002519167636857017,0.5788132508190753,-0.0004941631389825841,25.0,155.0,90.0,0.42452830188679247,4h,target_binarytrend,2025,36,0,0,-0.000714977918225592,-0.00027334835973957615
boll_lower_zn30,0.005228219,0.001565976472014463,0.0011206734704578248,0.5788132508190753,0.001565976472014463,26.0,71.0,48.5,0.22877358490566038,4h,target_binarytrend,2025,36,0,0,0.0005836628642889379,0.002548290079739988
squeeze_on_zn30,0.00514946,0.004267954024991893,0.001265350987674255,0.5788132508190753,0.004267954024991893,27.0,25.0,26.0,0.12264150943396226,4h,target_binarytrend,2025,36,0,0,0.003158824982048129,0.005377083067935657
macd_hist,0.0051472825,0.004137640170232859,0.0006283446509307584,0.5788132508190753,0.004137640170232859,28.0,27.0,27.5,0.12971698113207547,4h,target_binarytrend,2025,36,0,0,0.003586871799943274,0.0046884085405224435
macd_bullish_cross,0.0051348773,-0.000544229153983955,0.00046584446451504924,0.5788132508190753,-0.000544229153983955,29.0,158.0,93.5,0.4410377358490566,4h,target_binarytrend,2025,36,0,0,-0.0009525598307062292,-0.0001358984772616806
logreturn_pct_rank,0.0050254413,0.0006935429495412704,0.002465653439329838,0.5788132508190753,0.0006935429495412704,30.0,92.0,61.0,0.28773584905660377,4h,target_binarytrend,2025,36,0,0,-0.0014676975805834169,0.0028547834796659576
ppo,0.004987215,0.0020109751151643263,0.0005964309777296113,0.5788132508190753,0.0020109751151643263,31.0,59.0,45.0,0.21226415094339623,4h,target_binarytrend,2025,36,0,0,0.0014881803128090174,0.0025337699175196353
trendline_slope_20_zn30,0.0049825856,0.002154306527001837,0.0010002099890974176,0.5788132508190753,0.002154306527001837,32.0,56.0,44.0,0.20754716981132076,4h,target_binarytrend,2025,36,0,0,0.0012775838162625466,0.0030310292377411273
taker_buy_volume_usd_z,0.004968766,0.0037962147719822425,0.0018212741327671962,0.5788132508190753,0.0037962147719822425,33.0,30.0,31.5,0.14858490566037735,4h,target_binarytrend,2025,36,0,0,0.002199797607502707,0.005392631936461778
range_flag_zn30,0.0049212053,0.0,0.0,0.5788132508190753,0.0,34.0,131.0,82.5,0.3891509433962264,4h,target_binarytrend,2025,36,0,0,0.0,0.0
trend_flag,0.004905492,-0.00021078414086639352,0.0,0.5788132508190753,-0.00021078414086639352,35.0,144.5,89.75,0.4233490566037736,4h,target_binarytrend,2025,36,0,0,-0.00021078414086639352,-0.00021078414086639352
price_position_ma200_zn30,0.0049027903,-0.00045130226324336943,0.0017297125943305282,0.5788132508190753,-0.00045130226324336943,36.0,154.0,95.0,0.4481132075471698,4h,target_binarytrend,2025,36,0,0,-0.001967462200687916,0.0010648576742011773
ichimoku_conv_zn30,0.0048961323,-0.002412170907290556,0.001461884201902235,0.5788132508190753,-0.002412170907290556,37.0,191.0,114.0,0.5377358490566038,4h,target_binarytrend,2025,36,0,0,-0.003693568907959634,-0.0011307729066214777
atr_ratio_price,0.00489206,-0.00040783246805549124,0.001450066524203653,0.5788132508190753,-0.00040783246805549124,38.0,151.0,94.5,0.44575471698113206,4h,target_binarytrend,2025,36,0,0,-0.0016788718175018463,0.000863206881390864
dow_sin_mm30,0.0048708944,-0.0012496786340809418,0.0007358343870175677,0.5788132508190753,-0.0012496786340809418,39.0,176.0,107.5,0.5070754716981132,4h,target_binarytrend,2025,36,0,0,-0.0018946659122257845,-0.000604691355936099
trend_flag_zn30,0.0048665074,-0.0033808993371016393,0.001173828097582236,0.5788132508190753,-0.0033808993371016393,40.0,201.0,120.5,0.5683962264150944,4h,target_binarytrend,2025,36,0,0,-0.004409805029778149,-0.0023519936444251297
ichimoku_span_a_zn30,0.0048517073,-0.00014770512786959066,0.0012908342624954724,0.5788132508190753,-0.00014770512786959066,41.0,141.0,91.0,0.42924528301886794,4h,target_binarytrend,2025,36,0,0,-0.0012791712460508587,0.0009837609903116773
williams_r_mm30,0.004850716,0.006295214395625992,0.0011021115769971454,0.5788132508190753,0.006295214395625992,42.0,10.0,26.0,0.12264150943396226,4h,target_binarytrend,2025,36,0,0,0.005329171004883589,0.007261257786368396
beta_btc_60d,0.004840948,0.0002599974566616536,0.000290803344238455,0.5788132508190753,0.0002599974566616536,43.0,110.0,76.5,0.3608490566037736,4h,target_binarytrend,2025,36,0,0,5.097086707482471e-06,0.0005148978266158248
amplitude_range_zn30,0.0047796345,0.0007125583569996596,0.0020734251331043798,0.5788132508190753,0.0007125583569996596,44.0,90.0,67.0,0.3160377358490566,4h,target_binarytrend,2025,36,0,0,-0.0011048789042004937,0.002529995618199813
cmf_zn30,0.0047785654,-0.004120299466552924,0.0010467781875598654,0.5788132508190753,-0.004120299466552924,45.0,209.0,127.0,0.5990566037735849,4h,target_binarytrend,2025,36,0,0,-0.005037841002974094,-0.0032027579301317534
support_level_20_zn30,0.004773955,-0.0005242000100920352,0.0011055914980555948,0.5788132508190753,-0.0005242000100920352,46.0,156.0,101.0,0.47641509433962265,4h,target_binarytrend,2025,36,0,0,-0.0014932936861313047,0.0004448936659472341
price_position_ma200_mm30,0.004770844,0.0008208581467682219,0.001732209488018476,0.5788132508190753,0.0008208581467682219,47.0,86.0,66.5,0.3136792452830189,4h,target_binarytrend,2025,36,0,0,-0.0006974904144917106,0.0023392067080281543
