feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
high_mm30,0.20827615,0.0013741002874519514,0.000509267949002574,0.9547798492661642,0.0013741002874519514,1.0,2.0,1.5,0.007075471698113208,4h,target_drawdown_prob,2025,36,0,0,0.0009277072483811439,0.0018204933265227588
target_breakout_prob,0.18972437,0.01115134324627598,0.0006409017793650007,0.9547798492661642,0.01115134324627598,2.0,1.0,1.5,0.007075471698113208,4h,target_drawdown_prob,2025,36,0,0,0.01058956806761618,0.011713118424935779
resistance_level_20_mm30,0.048176263,-7.209001179242502e-05,0.00030848016187608174,0.9547798492661642,-7.209001179242502e-05,3.0,103.0,53.0,0.25,4h,target_drawdown_prob,2025,36,0,0,-0.00034248479556512766,0.0001983047719802776
low_mm30,0.02806483,-0.0006024949688114622,0.0003310014057093844,0.9547798492661642,-0.0006024949688114622,4.0,185.0,94.5,0.44575471698113206,4h,target_drawdown_prob,2025,36,0,0,-0.000892630493186617,-0.0003123594444363074
logreturn_pct_rank,0.020470735,-5.418061496824667e-05,0.00041565225144169307,0.9547798492661642,-5.418061496824667e-05,5.0,99.0,52.0,0.24528301886792453,4h,target_drawdown_prob,2025,36,0,0,-0.0004185158771442352,0.00031015464720774187
trend_flag,0.017708072,0.00023439901067390245,8.143397377126907e-05,0.9547798492661642,0.00023439901067390245,6.0,30.0,18.0,0.08490566037735849,4h,target_drawdown_prob,2025,36,0,0,0.00016301898546994937,0.00030577903587785554
keltner_upper_20_mm30,0.014434893,-0.0001872520532151478,0.0001467515824855226,0.9547798492661642,-0.0001872520532151478,7.0,120.0,63.5,0.29952830188679247,4h,target_drawdown_prob,2025,36,0,0,-0.00031588548679851986,-5.8618619631775767e-05
price_above_ma20,0.013249861,8.29375243589503e-05,0.00010157730760453937,0.9547798492661642,8.29375243589503e-05,8.0,51.5,29.75,0.1403301886792453,4h,target_drawdown_prob,2025,36,0,0,-6.098911432910977e-06,0.00017197396015081157
volume_spike_near_resist,0.011441244,0.00020736026675538533,0.00013116176077951347,0.9547798492661642,0.00020736026675538533,9.0,32.0,20.5,0.09669811320754718,4h,target_drawdown_prob,2025,36,0,0,9.239191439997462e-05,0.00032232861911079603
keltner_lower_20_mm30,0.009032664,-0.0005624143276194316,8.287316936308465e-05,0.9547798492661642,-0.0005624143276194316,10.0,179.0,94.5,0.44575471698113206,4h,target_drawdown_prob,2025,36,0,0,-0.000635055863380462,-0.0004897727918584012
taker_buy_sell_imbalance,0.007130447,-0.0011940409242622962,0.000255088957515007,0.9547798492661642,-0.0011940409242622962,11.0,209.0,110.0,0.5188679245283019,4h,target_drawdown_prob,2025,36,0,0,-0.001417636253993036,-0.0009704455945315565
boll_upper_mm30,0.00696644,-0.0008083007664360542,0.0002270011479423554,0.9547798492661642,-0.0008083007664360542,12.0,200.0,106.0,0.5,4h,target_drawdown_prob,2025,36,0,0,-0.0010072760455617348,-0.0006093254873103738
high_vol_flag_zn30,0.0062939865,0.0,0.0,0.9547798492661642,0.0,13.0,79.5,46.25,0.21816037735849056,4h,target_drawdown_prob,2025,36,0,0,0.0,0.0
taker_buy_volume_usd_z,0.0058413297,-0.001989777604825482,0.00044138922686536713,0.9547798492661642,-0.001989777604825482,14.0,212.0,113.0,0.5330188679245284,4h,target_drawdown_prob,2025,36,0,0,-0.0023766723206218405,-0.0016028828890291235
macd_bullish_cross,0.0054023094,0.0,0.0,0.9547798492661642,0.0,15.0,79.5,47.25,0.22287735849056603,4h,target_drawdown_prob,2025,36,0,0,0.0,0.0
range_flag,0.005203994,0.0,0.0,0.9547798492661642,0.0,16.0,79.5,47.75,0.22523584905660377,4h,target_drawdown_prob,2025,36,0,0,0.0,0.0
tail_bias_norm,0.0051725926,-0.0008796630834812857,0.00035074001068175105,0.9547798492661642,-0.0008796630834812857,17.0,203.0,110.0,0.5188679245283019,4h,target_drawdown_prob,2025,36,0,0,-0.0011871002579561375,-0.0005722259090064339
taker_imbalance_z,0.0051497114,-0.0012214617324738386,0.00044758124710482007,0.9547798492661642,-0.0012214617324738386,18.0,210.0,114.0,0.5377358490566038,4h,target_drawdown_prob,2025,36,0,0,-0.001613783993314198,-0.0008291394716334792
target_vol_jump_prob,0.004546702,-0.00020726158055395238,0.0,0.9547798492661642,-0.00020726158055395238,19.0,126.0,72.5,0.3419811320754717,4h,target_drawdown_prob,2025,36,0,0,-0.00020726158055395238,-0.00020726158055395238
obv_diff1_zn30,0.004380795,-6.14198658639653e-05,9.736528585414679e-05,0.9547798492661642,-6.14198658639653e-05,20.0,101.0,60.5,0.28537735849056606,4h,target_drawdown_prob,2025,36,0,0,-0.00014676430180884508,2.3924570080914492e-05
dow_sin_mm30,0.004351444,4.146876217947515e-05,8.29375243589503e-05,0.9547798492661642,4.146876217947515e-05,21.0,60.0,40.5,0.19103773584905662,4h,target_drawdown_prob,2025,36,0,0,-3.12291832225706e-05,0.0001141667075815209
breakout_recent_high,0.0040154825,0.0,0.0,0.9547798492661642,0.0,22.0,79.5,50.75,0.23938679245283018,4h,target_drawdown_prob,2025,36,0,0,0.0,0.0
adx_scaled_mm30,0.0037105845,-0.0006144482887850966,0.00022051245777227204,0.9547798492661642,-0.0006144482887850966,23.0,186.0,104.5,0.49292452830188677,4h,target_drawdown_prob,2025,36,0,0,-0.0008077359802071227,-0.0004211605973630706
obv_slope_14_mm30,0.00368756,-0.0008726839151640631,0.0001543907139760601,0.9547798492661642,-0.0008726839151640631,24.0,202.0,113.0,0.5330188679245284,4h,target_drawdown_prob,2025,36,0,0,-0.0010080133427297804,-0.0007373544875983458
