feature,tree_importance,perm_mean,perm_std,base_score,delta_metric,tree_rank,perm_rank,rank_avg,rank_pct,period,target,era,block_len,embargo,purge,perm_ci95_low,perm_ci95_high
ppo,0.4484255,0.015451547607043753,0.0005880771345422957,-0.017478070110091455,0.015451547607043753,1.0,2.0,1.5,0.007075471698113208,4h,target_max_drawdown,2025,36,0,0,0.014936075271094607,0.015967019942992898
distance_to_resistance,0.08597622,0.016092631441801026,0.0010256787588585232,-0.017478070110091455,0.016092631441801026,2.0,1.0,1.5,0.007075471698113208,4h,target_max_drawdown,2025,36,0,0,0.015193584370069999,0.016991678513532053
keltner_upper_20_mm30,0.08327455,0.003991726209588535,5.85588593747659e-05,-0.017478070110091455,0.003991726209588535,3.0,3.0,3.0,0.014150943396226415,4h,target_max_drawdown,2025,36,0,0,0.003940397106211779,0.004043055312965291
resistance_level_20_mm30,0.058953144,0.0032181768630948704,7.962881175711307e-05,-0.017478070110091455,0.0032181768630948704,4.0,4.0,4.0,0.018867924528301886,4h,target_max_drawdown,2025,36,0,0,0.003148379132160746,0.0032879745940289948
rolling_volatility,0.050804414,0.00031579638704424054,0.00024871344521562187,-0.017478070110091455,0.00031579638704424054,5.0,10.0,7.5,0.03537735849056604,4h,target_max_drawdown,2025,36,0,0,9.778944023948282e-05,0.0005338033338489983
var_95_30d,0.022817902,-3.367497628697716e-05,1.6494912999852358e-05,-0.017478070110091455,-3.367497628697716e-05,6.0,201.0,103.5,0.4882075471698113,4h,target_max_drawdown,2025,36,0,0,-4.813340501321818e-05,-1.921654756073614e-05
price_above_ma20,0.017603315,0.00011611147330779087,3.0954609662532496e-05,-0.017478070110091455,0.00011611147330779087,7.0,24.0,15.5,0.07311320754716981,4h,target_max_drawdown,2025,36,0,0,8.897856163021223e-05,0.0001432443849853695
price_position_ma200,0.016313942,8.88716114934511e-05,8.549043428339459e-06,-0.017478070110091455,8.88716114934511e-05,8.0,29.0,18.5,0.08726415094339622,4h,target_max_drawdown,2025,36,0,0,8.137804453209206e-05,9.636517845481014e-05
donchian_high_20_zn30,0.009708039,0.0017348418344888482,8.389540046060953e-05,-0.017478070110091455,0.0017348418344888482,9.0,5.0,7.0,0.0330188679245283,4h,target_max_drawdown,2025,36,0,0,0.0016613042736644882,0.0018083793953132083
trendline_slope_20_zn30,0.009280915,0.0007437054404098746,0.00019816700323331652,-0.017478070110091455,0.0007437054404098746,10.0,6.0,8.0,0.03773584905660377,4h,target_max_drawdown,2025,36,0,0,0.000570004403480045,0.0009174064773397042
ma20_zn30,0.006193712,2.370833647635795e-05,6.138685528167529e-05,-0.017478070110091455,2.370833647635795e-05,11.0,69.0,40.0,0.18867924528301888,4h,target_max_drawdown,2025,36,0,0,-3.0099614606871084e-05,7.751628755958698e-05
low_mm30,0.005603382,0.0003763570437188807,6.42887805849904e-05,-0.017478070110091455,0.0003763570437188807,12.0,8.0,10.0,0.04716981132075472,4h,target_max_drawdown,2025,36,0,0,0.0003200054429560667,0.0004327086444816947
cvar_95_30d,0.005245849,7.329384968905243e-05,7.0824928418473e-06,-0.017478070110091455,7.329384968905243e-05,13.0,36.0,24.5,0.11556603773584906,4h,target_max_drawdown,2025,36,0,0,6.708577099479814e-05,7.950192838330671e-05
keltner_lower_20_mm30,0.0046778037,0.0002788788919558187,1.179055973456358e-05,-0.017478070110091455,0.0002788788919558187,14.0,13.0,13.5,0.06367924528301887,4h,target_max_drawdown,2025,36,0,0,0.0002685440106765903,0.0002892137732350471
obv,0.0043863943,-4.5454142784881466e-07,4.864013964398079e-07,-0.017478070110091455,-4.5454142784881466e-07,15.0,153.0,84.0,0.39622641509433965,4h,target_max_drawdown,2025,36,0,0,-8.808910498705865e-07,-2.819180582704273e-08
ppo_zn30,0.0039007037,0.00011235930172916186,1.870525309751112e-05,-0.017478070110091455,0.00011235930172916186,16.0,25.0,20.5,0.09669811320754718,4h,target_max_drawdown,2025,36,0,0,9.596342448391151e-05,0.00012875517897441223
trend_flag,0.003872967,6.40205934210325e-08,1.7586267198684237e-05,-0.017478070110091455,6.40205934210325e-08,17.0,138.0,77.5,0.36556603773584906,4h,target_max_drawdown,2025,36,0,0,-1.5351022265858207e-05,1.5479063452700273e-05
target_breakout_prob,0.003856505,0.00010032238380549215,2.4558188285879653e-05,-0.017478070110091455,0.00010032238380549215,18.0,27.0,22.5,0.10613207547169812,4h,target_max_drawdown,2025,36,0,0,7.87961826681975e-05,0.00012184858494278681
tsi_mm30,0.0035064751,4.557693095232768e-06,8.520210305859788e-06,-0.017478070110091455,4.557693095232768e-06,19.0,122.0,70.5,0.33254716981132076,4h,target_max_drawdown,2025,36,0,0,-2.910600519953962e-06,1.2025986710419497e-05
trend_flag_zn30,0.0034841814,0.0001664168435997995,2.8785975362359343e-05,-0.017478070110091455,0.0001664168435997995,20.0,19.0,19.5,0.09198113207547169,4h,target_max_drawdown,2025,36,0,0,0.00014118482369792262,0.0001916488635016764
